title,shortname,doi,publisher,type,first_publication,last_publication,update_freq,uuid,occ_count
"InboVeg - NICHE-Vlaanderen groundwater related vegetation relevés for Flanders, Belgium",inboveg-niche-vlaanderen-events,https://doi.org/10.15468/gouexm,INBO,sampling_event,2016-06-22,2016-08-03,not_planned,3d1231e8-2554-45e6-b354-e590c56ce9a8,8593
"Waarnemingen.be - Fish occurrences in Flanders and the Brussels Capital Region, Belgium",vissen-natuurpunt-occurrences,https://doi.org/10.15468/7reil0,Natuurpunt,occurrence,2016-10-19,2019-07-19,annually,8124cd73-ac84-43d2-ab39-1d80dc346525,16742
"Waarnemingen.be - Plant occurrences in Flanders and the Brussels Capital Region, Belgium",planten-natuurpunt-occurrences,https://doi.org/10.15468/fyuklz,Natuurpunt,occurrence,2016-12-23,2019-07-19,not_planned,bfc6fe18-77c7-4ede-a555-9207d60d1d86,2300868
"VIS - Reference freshwater monitoring in Flanders, Belgium (post 2013)",vis-freshwater-monitoring-events,https://doi.org/10.15468/klsy8u,INBO,sampling_event,2017-01-09,2019-03-25,as_needed,b2906713-07c4-41b1-887f-adfc0a24b3ab,55086
"VIS - Estuarine monitoring in Flanders, Belgium (post 2013)",vis-estuarine-monitoring-events,https://doi.org/10.15468/jhv16z,INBO,sampling_event,2017-01-24,2019-03-25,annually,702973cf-6935-45bf-ba31-cecee3571cf9,32768
"PINK - Dragonfly (Odonata) monitoring for the permanent surveillance of coastal areas in Flanders, Belgium",pink-odonata-events,https://doi.org/10.15468/wp82td,INBO,sampling_event,2017-01-24,2017-11-09,not_planned,10b6b3f2-ce6e-47d8-bad1-a948349b7bef,2665
Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,bird-tracking-wmh-occurrences,https://doi.org/10.15468/rbguhj,INBO,occurrence,2017-05-12,2017-05-16,as_needed,2fc1d8b5-9c99-4e03-8c3c-11a6e51a298f,293608
"PINK - Amphibia monitoring for the permanent surveillance of coastal areas in Flanders, Belgium",pink-amphibia-events,https://doi.org/10.15468/jvtefa,INBO,sampling_event,2017-06-01,2020-06-17,irregular,fca6d6a7-c13d-4f6e-96e1-0513e30b816c,289
"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",dieren-exoten-natuurpunt-occurrences,https://doi.org/10.15468/k2aiak,Natuurpunt,occurrence,2017-06-27,2021-03-02,monthly,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,746620
"Waarnemingen.be - Non-native plant occurrences in Flanders and the Brussels Capital Region, Belgium",planten-exoten-natuurpunt-occurrences,https://doi.org/10.15468/smdvdo,Natuurpunt,occurrence,2017-06-27,2021-03-01,monthly,7f5e4129-0717-428e-876a-464fbd5d9a47,427687
Dung Beetles of the Western Palaearctic,dbwp-events,https://doi.org/10.15468/zbazdy,INBO,sampling_event,2017-08-21,2017-10-23,not_planned,bcbfd319-8813-4b6d-b529-07dc5a6ccf56,4362
InboVeg - Amphibious vegetation of shallow lakes at Turnhout,inboveg-turnhout-ponds-events,https://doi.org/10.15468/xkuvwe,INBO,sampling_event,2017-10-13,2018-02-01,not_planned,3e2a280e-33ab-449d-a543-dc97e96a664b,1553
"ABV - Common breeding birds in Flanders, Belgium",abv-events,https://doi.org/10.15468/xj0ikb,INBO,sampling_event,2017-10-30,2018-02-01,not_planned,8ae09016-b819-450e-b8f6-c1f249110502,235250
"Waarnemingen.be - Orthoptera occurrences in Flanders and the Brussels Capital Region, Belgium",orthoptera-natuurpunt-occurrences,https://doi.org/10.15468/ffwdxn,Natuurpunt,occurrence,2017-11-16,2019-07-19,annually,958b1d2f-2d11-4e94-a828-c8e2d2c013ca,125650
"Inland water macroinvertebrate occurrences in Flanders, Belgium",vmm-macroinvertebrates-events,https://doi.org/10.15468/4cvbka,VMM,sampling_event,2018-01-17,2021-01-29,as_needed,5ca32e22-1f1b-4478-ba7f-1916c4e88d67,305353
"Invasive species - Fallopia japonica on river dikes along the river Zeeschelde, Rupel and Durme",invasive-fallopia-occurrences,https://doi.org/10.15468/di2s6j,INBO,occurrence,2018-01-29,2018-07-06,not_planned,53762f29-61a9-40a8-9f3c-06238cc59dd4,2295
"Inventory of alien macroinvertebrates in Flanders, Belgium",alien-macroinvertebrates-checklist,https://doi.org/10.15468/yxcq07,UGent,checklist,2018-01-31,2018-10-03,as_needed,289244ee-e1c1-49aa-b2d7-d379391ce265,0
"Checklist of non-native freshwater fishes in Flanders, Belgium",alien-fishes-checklist,https://doi.org/10.15468/xvuzfh,INBO,checklist,2018-02-05,2018-10-03,not_planned,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,0
"Waarnemingen.be - Hemiptera occurrences in Flanders and the Brussels Capital Region, Belgium",hemiptera-natuurpunt-occurrences,https://doi.org/10.15468/dkd0sg,Natuurpunt,occurrence,2018-05-16,2019-07-19,not_planned,37e094f3-dcf2-469f-93a2-c4b9b5fa7275,96249
"RINSE - Registry of non-native species in the Two Seas region countries (Great Britain, France, Belgium and the Netherlands)",rinse-registry-checklist,https://doi.org/10.15468/focajn,INBO,checklist,2018-06-15,2019-05-15,not_planned,3f5e930b-52a5-461d-87ec-26ecd66f14a3,0
RINSE - Pathways and vectors of biological invasions in Northwest Europe,rinse-pathways-checklist,https://doi.org/10.15468/guejza,INBO,checklist,2018-06-29,2019-05-15,not_planned,1738f272-6b5d-4f43-9a92-453a8c5ea50a,0
Ad hoc checklist of alien species in Belgium,ad-hoc-checklist,https://doi.org/10.15468/3pmlxs,INBO,checklist,2018-10-03,2020-09-25,as_needed,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,0
Fish damage at pump stations,visschade-occurrences,https://doi.org/10.15468/hjh68q,INBO,sampling_event,2019-02-01,2021-01-28,not_planned,5d06d34c-f74d-461e-8d8b-c3351beb0db8,7319
Global Register of Introduced and Invasive Species - Belgium,unified-checklist,https://doi.org/10.15468/xoidmd,ISSG,checklist,2019-02-12,2020-05-22,as_needed,6d9e952f-948c-4483-9807-575348147c7e,0
"Validated red lists of Flanders, Belgium",rl-flanders-validated-checklist,https://doi.org/10.15468/8tk3tk,INBO,checklist,2019-02-21,2020-06-23,as_needed,fc18b0b1-8777-4c8a-8cb8-f9f15870d6a9,0
"Non-validated red list of Flanders, Belgium",rl-flanders-nonvalidated-checklist,https://doi.org/10.15468/54nwog,INBO,checklist,2019-02-21,2020-04-09,as_needed,2fc23906-38f3-4bb6-a4a4-4dad908602a2,0
"Invasive species - Ruddy duck (Oxyura jamaicensis) in Flanders, Belgium",invasive-ruddy-duck-occurrences,https://doi.org/10.15468/ufhbyv,INBO,sampling_event,2019-03-11,2019-05-09,as_needed,7522721f-4d97-4984-8231-c9e061ef46df,90
"Invasive species - Chinese muntjac (Muntiacus reevesi) in Flanders, Belgium",invasive-muntjak-occurrences,https://doi.org/10.15468/sr8bn2,INBO,sampling_event,2019-03-14,2019-03-14,as_needed,3c7768dd-8101-4318-8de3-f848878eeea0,69
"Invasive species - Invasive plants near waterways in West and East Flanders, Belgium",invasive-plants-waterways-occurrences,https://doi.org/10.15468/lgu26x,INBO,sampling_event,2019-04-03,2019-04-03,not_planned,d4bf0455-39d9-47a1-b0b7-becfc82e7f13,2052
"Waarnemingen.be - Other insect occurrences in Flanders and the Brussels Capital Region, Belgium",insecten-natuurpunt-occurrences,https://doi.org/10.15468/vcaflk,Natuurpunt,occurrence,2019-04-04,2019-06-12,not_planned,27e9e069-2862-4183-bcec-1e1a7f74d3e7,27273
"Waarnemingen.be - Hymenoptera occurrences in Flanders and the Brussels Capital Region, Belgium",hymenoptera-natuurpunt-occurrences,https://doi.org/10.15468/r0fx1v,Natuurpunt,occurrence,2019-04-18,2019-07-19,not_planned,71cfd412-6327-4ec7-8035-d8b2d0509ac5,263846
Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist,https://doi.org/10.15468/t13kwo,INBO,checklist,2019-05-07,2019-11-08,not_planned,e082b10e-476f-43c1-aa61-f8d92f33029a,0
"Invasive species - New Zealand pigmyweed (Crassula helmsii) occurrences in Flanders, Belgium",invasive-crassula-occurrences,https://doi.org/10.15468/ckq9l7,INBO,sampling_event,2019-05-08,2019-05-15,not_planned,8854d25e-05f9-48f0-88da-7c413b24f535,162
"Waarnemingen.be - Bird occurrences in Flanders and the Brussels Capital Region, Belgium",vogels-natuurpunt-occurrences,https://doi.org/10.15468/0mbhvd,Natuurpunt,occurrence,2019-06-13,2019-07-19,not_planned,e7cbb0ed-04c6-44ce-ac86-ebe49f4efb28,12811851
Dolichopodidae of Portugal - dataset 2009-2018,dolichopodidae-occurrences,https://doi.org/10.15468/latzp3,INBO,sampling_event,2019-06-13,2019-11-21,not_planned,ab0b5afd-bef2-4313-ade5-2df7b7844271,2131
Checklist of alien birds of Belgium,alien-birds-checklist,https://doi.org/10.15468/wr3gis,INBO,checklist,2019-09-12,2020-05-25,as_needed,e1c3be64-2799-4342-8312-49d076993132,0
DAISIE - Inventory of alien invasive species in Europe,daisie-checklist,https://doi.org/10.15468/ybwd3x,INBO,checklist,2019-09-20,2020-06-12,not_planned,39f36f10-559b-427f-8c86-2d28afff68ca,0
"Ecological typology  of waterways, vegetation surveys",ecological-typology-waterways-occurrences,https://doi.org/10.15468/4ycere,INBO,sampling_event,2019-11-28,2020-10-06,unkown,f8de3f7e-0325-4a15-aab4-3412f428676e,4731
"Meetnetten.be - Transects for butterflies in Flanders, Belgium",meetnetten-butterflies-occurrences,https://doi.org/10.15468/kfhvy4,INBO,sampling_event,2019-12-23,2021-01-27,annually,63938753-1fec-4c08-ae39-e9f8a6576521,24124
"Muskrat captures in Flanders, Belgium",mica-legacy-occurrences,https://doi.org/10.15468/pequ4z,INBO,occurrence,2020-05-05,2020-06-04,not_planned,b7ee2a4d-8e10-410f-a951-a7f032678ffe,103625
"Meetnetten.be - Egg counts for butterflies in Flanders, Belgium",meetnetten-butterflies-egg-occurrences,https://doi.org/10.15468/hsfq2u,INBO,sampling_event,2020-05-29,2021-01-27,annually,53b55f0b-eace-46da-b414-351f092e1223,4724
"Meetnetten.be - Site counts for butterflies in Flanders, Belgium",meetnetten-butterflies-area-occurrences,https://doi.org/10.15468/hvgkh4,INBO,sampling_event,2020-06-03,2021-01-28,annually,3dfbaea0-f5df-4978-b3a1-fb22edcde0de,466
"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",meetnetten-libellen-transect-occurrences,https://doi.org/10.15468/y8u6e9,INBO,sampling_event,2020-06-15,2021-01-28,annually,9100f482-848c-42e7-bf7c-19947885ce48,1461
National checklists and red lists for European butterflies,eurobutt-checklist,https://doi.org/10.15468/ye7whj,INBO,checklist,2020-06-18,2020-06-18,as_needed,f9af6ffd-febc-4626-b2e8-809b1c60fa01,0
"Meetnetten.be - Exuviae counts for dragonflies in Flanders, Belgium",meetnetten-libellen-larvenhuidjes-occurrences,https://doi.org/10.15468/ue87ux,INBO,sampling_event,2020-06-25,2021-02-18,annually,64d7725a-4743-461a-ac17-956bffef577b,735
"Meetnetten.be - Population counts for dragonflies in Flanders, Belgium",meetnetten-libellen-populatietelling-occurrences,https://doi.org/10.15468/crbudg,INBO,sampling_event,2020-08-31,2021-02-18,annually,e0bbc7b4-c22e-42b7-8c0c-2deb26495948,7191
"Meetnetten.be - Larvae and metamorph counts for Amphibia in Flanders, Belgium",meetnetten-amfibieen-larven-metamorfen-occurrences,https://doi.org/10.15468/swgure,INBO,sampling_event,2020-09-11,2021-02-18,annually,89d08c4f-4727-45be-83d4-1fd96ddee81d,745
"Meetnetten.be - Fyke counts for Amphibia in Flanders, Belgium",meetnetten-amfibieen-fuiken-occurrences,https://doi.org/10.15468/zeaq2t,INBO,sampling_event,2020-09-11,2021-02-18,annually,ea64939f-0dd1-4f6a-9f16-bd6c37b6c2e5,355
"Meetnetten.be - Chorus counts for Amphibia in Flanders, Belgium",meetnetten-amphibia-roepkoren-occurrences,https://doi.org/10.15468/d4bu8j,INBO,sampling_event,2020-09-22,2021-02-18,annually,9bd8310b-0914-411f-a4ba-0cefdd85df80,180
"Meetnetten.be - Transects for fire salamanders in Flanders, Belgium",meetnetten-vuursalamander-transect-occurrences,https://doi.org/10.15468/nbsk9h,INBO,sampling_event,2020-10-21,2021-02-18,annually,bced6c7a-c7e0-40f7-b009-5f0478104716,147
"Meetnetten.be - Sightings for Natterjack toad in Flanders, Belgium",meetnetten-rugstreeppad-zichtwaarneming-occurrences,https://doi.org/10.15468/2xfw8y,INBO,sampling_event,2020-10-21,2021-02-18,annually,099911ec-84c6-453f-995a-3ad064ec9d71,117
"MICA - Muskrat occurrences collected by RATO in East Flanders, Belgium",mica-rato-occurrences,https://doi.org/10.15468/5fps96,INBO,occurrence,2020-11-13,2021-01-04,as_needed,95b0e787-8508-4247-9e48-18b45fc7d12e,3153
"Invasive plants in Luronium natans habitats in Flanders, Belgium",luronium-natans-occurrences,https://doi.org/10.15468/tar6w7,INBO,sampling_event,2020-12-07,2020-12-08,as_needed,ff66e6e8-dcb0-4e51-89b1-545ab1161877,71
Inventory of the terrestrial isopods in Belgium (2011-2020),spinicornis-occurrences,https://doi.org/10.15468/mw9c66,Natuurpunt,occurrence,2021-02-24,2021-03-01,not_planned,b6412a28-329c-4a24-b605-bc9d1b43b5b2,19425
"Butterfly monitoring scheme in Flanders, Belgium",bms-occurrences,https://doi.org/10.15468/wwrgcd,INBO,sampling_event,2021-03-01,2021-03-01,unkown,81b909c7-5612-4148-8e70-99fea2cdb572,139292
