occurrenceID	type	language	license	rightsHolder	accessRights	datasetID	institutionCode	datasetName	ownerInstitutionCode	basisOfRecord	recordedBy	individualCount	eventID	eventDate	continent	countryCode	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	scientificName	taxonRank	scientificNameAuthorship	vernacularName	verbatimDatasetName	RECOMMENDED_TAXON_VERSION_KEY	SURVEY_KEY	ITEM_NAME
﻿INBO:NBN:BFN00179000029DL	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Anne Ronse	0	BFN0017900000GGA	2009-06-04	Europe	BE	51.33847	4.4543	WGS84	Anne Ronse	Lagarosiphon major	species	(Ridley) Moss		Luronium natans standplaatsonderzoek	NBNSYS0000002117	BFN0017900000006	Luronium natans standplaatsonderzoek
INBO:NBN:BFN001790000AACI	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	GJ Spek	1	BFN00179000032JR	2005-10-31	Europe	BE	51.24325	4.942019999999999	WGS84	GJ Spek	Muntiacus reevesii	species		Chinese muntjak	INBO - Muntjak - Losse waarnemingen	INBSYS0000012720	BFN0017900000044	INBO - Muntjak - Losse waarnemingen
INBO:NBN:BFN0017900009DOC	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Wouter Huygens	1	BFN0017900002LK3	2014-03-08	Europe	BE	51.26218	4.492380000000001	WGS84	Wouter Huygens	Muntiacus reevesii	species		Chinese muntjak	INBO - Muntjak - Losse waarnemingen	INBSYS0000012720	BFN0017900000044	INBO - Muntjak - Losse waarnemingen
INBO:NBN:BFN001790000A4J0	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Bert Goyens	0	BFN001790000310S	2015-02-20	Europe	BE	51.25701	4.49054	WGS84	Bert Goyens	Muntiacus reevesii	species		Chinese muntjak	INBO - Muntjak - Bestrijding	INBSYS0000012720	BFN001790000004K	INBO - Muntjak - Bestrijding
INBO:NBN:BFN0017900009DO8	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Claudia Schneider	1	BFN0017900002LJZ	2014-05-24	Europe	BE	51.27518	4.54044	WGS84	Claudia Schneider	Muntiacus reevesii	species		Chinese muntjak	INBO - Muntjak - Losse waarnemingen	INBSYS0000012720	BFN0017900000044	INBO - Muntjak - Losse waarnemingen
INBO:NBN:BFN001790000AACF	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	GJ Spek	1	BFN00179000032JO	2005-02-28	Europe	BE	51.30803	5.951919999999999	WGS84	GJ Spek	Muntiacus reevesii	species		Chinese muntjak	INBO - Muntjak - Losse waarnemingen	INBSYS0000012720	BFN0017900000044	INBO - Muntjak - Losse waarnemingen
INBO:NBN:BFN001790000A4JO	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Patrick Engels	0	BFN001790000311B	2015-02-24	Europe	BE	51.25803	4.49496	WGS84	Patrick Engels	Muntiacus reevesii	species		Chinese muntjak	INBO - Muntjak - Bestrijding	INBSYS0000012720	BFN001790000004K	INBO - Muntjak - Bestrijding
INBO:NBN:BFN001790000A4K8	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	JWV	0	BFN001790000311U	2015-02-20	Europe	BE	51.26106	4.4958	WGS84	JWV	Muntiacus reevesii	species		Chinese muntjak	INBO - Muntjak - Bestrijding	INBSYS0000012720	BFN001790000004K	INBO - Muntjak - Bestrijding
INBO:NBN:BFN001790000A51G	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Jos Keyers	1	BFN00179000031CR	2016-03-08	Europe	BE	51.04185	5.683269999999999	WGS84	Jos Keyers	Muntiacus reevesii	species		Chinese muntjak	INBO - Muntjak - Losse waarnemingen	INBSYS0000012720	BFN0017900000044	INBO - Muntjak - Losse waarnemingen
INBO:NBN:BFN001790000A4J3	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Michèle Monsieurs	0	BFN001790000310V	2015-02-25	Europe	BE	51.25701	4.49054	WGS84	Michèle Monsieurs	Muntiacus reevesii	species		Chinese muntjak	INBO - Muntjak - Bestrijding	INBSYS0000012720	BFN001790000004K	INBO - Muntjak - Bestrijding
INBO:NBN:BFN001790000A4J5	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Tom Laeman	1	BFN001790000310X	2015-02-27	Europe	BE	51.25701	4.49054	WGS84	Tom Laeman	Muntiacus reevesii	species		Chinese muntjak	INBO - Muntjak - Bestrijding	INBSYS0000012720	BFN001790000004K	INBO - Muntjak - Bestrijding
