occurrenceID	type	language	license	rightsHolder	accessRights	datasetID	institutionCode	datasetName	ownerInstitutionCode	basisOfRecord	recordedBy	individualCount	eventID	eventDate	continent	countryCode	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	scientificName	taxonRank	scientificNameAuthorship	vernacularName	verbatimDatasetName	RECOMMENDED_TAXON_VERSION_KEY	SURVEY_KEY	ITEM_NAME
INBO:NBN:BFN001790000220W	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	An Leyssen | Bert Berten	0	BFN0017900000CNO	2009-06-26	Europe	BE	50.98348	5.38930	WGS84	An Leyssen	Pontederia cordata	species	L.		Luronium natans standplaatsonderzoek	NBNSYS0000002209	BFN0017900000006	Luronium natans standplaatsonderzoek
INBO:NBN:BFN00179000029DL	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Anne Ronse	0	BFN0017900000GGA	2009-06-04	Europe	BE	51.33847	4.45430	WGS84	Anne Ronse	Lagarosiphon major	species	(Ridley) Moss		Luronium natans standplaatsonderzoek	NBNSYS0000002117	BFN0017900000006	Luronium natans standplaatsonderzoek
INBO:NBN:BFN0017900007IO6	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Anne Ronse	0	BFN0017900000MSC	2009-06-08	Europe	BE	51.18602	4.65978	WGS84	Anne Ronse	Impatiens glandulifera	species	Royle	Reuzenbalsemien	Luronium natans standplaatsonderzoek	NBNSYS0000003189	BFN0017900000006	Luronium natans standplaatsonderzoek
INBO:NBN:BFN00179000026DE	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Cécile Herr | Patrik Oosterlynck | Hans Van Calster	0	BFN0017900000F86	2011-06-09	Europe	BE	50.77074	4.38860	WGS84	Cécile Herr	Impatiens glandulifera	species	Royle	Reuzenbalsemien	LSVI BIM - 6430/6510 (grasland/ruigte)	NBNSYS0000003189	BFN001790000001U	LSVI BIM - 6430/6510 (grasland/ruigte)
INBO:NBN:BFN001790000781R	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	Joachim De Maeseneer	0	BFN0017900001J34	2004-07-30	Europe	BE	51.08107	4.17779	WGS84	Joachim De Maeseneer	Impatiens glandulifera	species	Royle	Reuzenbalsemien	Coccinellidae of Belgium	NBNSYS0000003189	BFN001790000003C	Coccinellidae of Belgium
INBO:NBN:BFN0017900005OH1	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	M. Derume	0	BFN0017900000TZ4	2004-07-19	Europe	BE	50.45627	4.11808	WGS84	M. Derume	Impatiens glandulifera	species	Royle	Reuzenbalsemien	Coccinellidae of Belgium	NBNSYS0000003189	BFN001790000003C	Coccinellidae of Belgium
INBO:NBN:BFN00179000076C7	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation	M. Walraven	0	BFN0017900001B5A	1999-08-22	Europe	BE	50.71417	4.74935	WGS84	M. Walraven	Impatiens glandulifera	species	Royle	Reuzenbalsemien	Coccinellidae of Belgium	NBNSYS0000003189	BFN001790000003C	Coccinellidae of Belgium
INBO:NBN:BFN0017900000LBR	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation		0	BFN00179000001JU	1993-06-23	Europe	BE	51.05622	4.19928	WGS84		Impatiens glandulifera	species	Royle	Reuzenbalsemien	Ecologische typologie waterlopen - vegetatieopnamen	NBNSYS0000003189	BFN001790000000B	Ecologische typologie waterlopen - vegetatieopnamen
INBO:NBN:BFN0017900000N26	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation		0	BFN00179000002B1	1993-06-14	Europe	BE	50.96898	4.48093	WGS84		Impatiens glandulifera	species	Royle	Reuzenbalsemien	Ecologische typologie waterlopen - vegetatieopnamen	NBNSYS0000003189	BFN001790000000B	Ecologische typologie waterlopen - vegetatieopnamen
INBO:NBN:BFN0017900000N1G	Event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://doi.org/10.15468/1rcpsq	INBO	invasive-other-occurrences	INBO	HumanObservation		0	BFN00179000002B7	1993-06-14	Europe	BE	51.04207	4.41908	WGS84		Impatiens glandulifera	species	Royle	Reuzenbalsemien	Ecologische typologie waterlopen - vegetatieopnamen	NBNSYS0000003189	BFN001790000000B	Ecologische typologie waterlopen - vegetatieopnamen
