gbifapi_acceptedScientificName	gbifapi_acceptedKey	INBO_identifier
Cotoneaster ×suecicus G. Klotz	3026040	INBSYS0000005532
Cotoneaster ×watereri Exell	3026004	NBNSYS0000004713
Crepidula fornicata (Linnaeus, 1758)	5192789	NBNSYS0000174750
Didemnum vexillum Romanov, 1989	2329770	
Eichhornia crassipes (Mart.) Solms	2765940	NHMSYS0000458290
Eichhornia crassipes (Mart.) Solms	2765940	INBSYS0000005391
Elodea nuttallii (Planch.) H.St.John	5329212	NHMSYS0000458329
Elodea nuttallii (Planch.) H.St.John	5329212	INBSYS0000005372
Eriocheir sinensis H. Milne Edwards, 1853	2225776	NHMSYS0001593547
Euthamia graminifolia (L.) Nutt.	3092782	NBNSYS0000004420
Fraxinus pennsylvanica Marshall	3172348	INBSYS0000005186
Gaillardia grandiflora Hort. ex Van Houtte	5387817	
Gunnera manicata Linden	8078925	NBNSYS0000003613
Gunnera manicata Linden	8078925	NHMSYS0000459162
Gunnera tinctoria (Molina) Mirbel	2984306	NHMSYS0000459164
Gunnera tinctoria (Molina) Mirbel	2984306	NBNSYS0000003612
Heracleum mantegazzianum Sommier & Levier	3034825	INBSYS0000005076
Heracleum persicum Desf.	3628745	
Heracleum sosnowskyi Manden.	3642949	INBSYS0000032618
Herpestes javanicus	2434271	INBSYS0000032619
Homarus americanus H. Milne Edwards, 1837	5972004	INBSYS0000032621
Hyacinthoides hispanica (Mill.) Rothm.	5304257	NBNSYS0000002186
Hyacinthoides hispanica (Mill.) Rothm.	5304257	NHMSYS0000459784
Hydrocotyle ranunculoides L. fil.	7978544	NHMSYS0000459812
Impatiens balfourii Hook. fil.	2891783	NHMSYS0000459879
Impatiens capensis Meerb.	2891774	NBNSYS0000003187
Impatiens edgeworthii Hook. fil.	4936345	
Impatiens glandulifera Royle	2891770	NBNSYS0000003189
Lagarosiphon major (Ridl.) Moss	2865565	NHMSYS0000460065
Lagarosiphon major (Ridl.) Moss	2865565	NBNSYS0000002117
Lepomis gibbosus (Linnaeus, 1758)	2394486	NHMSYS0000544687
Lepomis gibbosus (Linnaeus, 1758)	2394486	NBNSYS0000005043
Lithobates catesbeianus (Shaw, 1802)	2427091	NHMSYS0020194859
Ludwigia grandiflora (Michaux) Greuter & Burdet	5421039	INBSYS0000004874
Ludwigia grandiflora (Michaux) Greuter & Burdet	5421039	NHMSYS0000460478
Ludwigia peploides (Kunth) P. H. Raven	5420991	INBSYS0000004871
Lupinus polyphyllus Lindl.	2964355	NHMSYS0000460487
Lysichiton americanus Hultén & H.St.John	2869311	INBSYS0000004845
Lysichiton americanus Hultén & H.St.John	2869311	NBNSYS0000002350
Lysichiton americanus Hultén & H.St.John	2869311	NHMSYS0000460540
Lysichiton camtschatcensis (L.) Schott	2869301	NBNSYS0000033298
Micropterus dolomieu Lacepède, 1802	5211250	
Microstegium vimineum (Trin.) A.Camus	5289808	
Muntiacus reevesi (Ogilby, 1839)	2440946	NBNSYS0000005147
Muntiacus reevesi (Ogilby, 1839)	2440946	NHMSYS0000080204
Myocastor coypus (Molina, 1782)	4264680	NHMSYS0000080217
Myriophyllum aquaticum (Vellozo) Verdcourt	5361785	INBSYS0000004739
Myriophyllum aquaticum (Vellozo) Verdcourt	5361785	NHMSYS0000460832
Myriophyllum aquaticum (Vellozo) Verdcourt	5361785	NBNSYS0000014129
Myriophyllum heterophyllum Michx.	5361762	NHMSYS0000460834
Myriophyllum heterophyllum Michx.	5361762	NBNSYS0000003611
Nasua nasua (Linnaeus, 1766)	2433536	INBSYS0000012724
Neovison vison (Schreber, 1777)	2433652	NHMSYS0000332758
Nyctereutes procyonoides (Gray, 1834)	2434552	INBSYS0000012539
Oenothera affinis Camb.	3188847	INBSYS0000009677
Oenothera affinis Camb.	3188847	NBNSYS0200002718
Oenothera angustissima Gates	3188889	INBSYS0000009678
Oenothera biennis L.	3188924	NBNSYS0000003599
Oenothera cambrica K. Rostanski	7322292	INBSYS0000009679
Oenothera cambrica K. Rostanski	7322292	NBNSYS0000004772
Oenothera curtiflora W.L.Wagner & Hoch	3667406	
Oenothera deflexa Gates	7322773	INBSYS0000004698
Oenothera elata Kunth	3188829	INBSYS0000009682
Oenothera fallax Renner	7915783	NBNSYS0000004774
Oenothera fallax Renner	7915783	NHMSYS0100002165
Oenothera fruticosa subsp. glauca (Michx.) Straley	8637919	
Oenothera glazioviana M. Micheli	3188894	NHMSYS0000461148
Oenothera glazioviana M. Micheli	3188894	INBSYS0000004697
Oenothera glazioviana M. Micheli	3188894	NBNSYS0000003600
Oenothera indecora Camb.	7322393	NBNSYS0200002722
Oenothera issleri Renn. ex Rostanski	7322373	INBSYS0000009691
Oenothera laciniata Hill	3188867	NBNSYS0200002723
Oenothera lindheimeri (Engelm. & A.Gray) W.L.Wagner & Hoch	3664589	
Oenothera nuda Renner ex Rostanski	3667628	
Oenothera oakesiana (A. Gray) S. Watson	3188884	INBSYS0000009684
Oenothera oehlkersii A. Kappus	8153538	INBSYS0000009685
Oenothera paradoxa Hudziok	3667238	
Oenothera parviflora L.	3188833	
Oenothera perangusta Gates	7322738	NBNSYS0000013948
Oenothera perennis L.	3188838	
Oenothera pycnocarpa Atkinson & Bartlett	3188926	INBSYS0000009686
Oenothera rosea Aiton	3188875	NBNSYS0000005672
Oenothera rosea Aiton	3188875	NBNSYS0200003883
Oenothera rosea Aiton	3188875	INBSYS0000009687
Oenothera royfraseri R.R.Gates	3665940	
Oenothera rubricaulis Klebahn	7322529	INBSYS0000004692
Oenothera rubricauloides Rostanski	3665817	
Oenothera speciosa Nutt.	3188859	
Oenothera stricta Ledeb. ex Link	3188830	INBSYS0000004691
Oenothera subterminalis R.R.Gates	3664677	INBSYS0000004690
Oenothera victorinii Gates & Catcheside	7322143	NHMSYS0000461158
Oenothera wratislaviensis Rostanski	3667721	
Ondatra zibethicus (Linnaeus, 1766)	5219858	INBSYS0000012540
Ondatra zibethicus (Linnaeus, 1766)	5219858	NBNSYS0000040193
Orconectes limosus (Rafinesque, 1817)	2227000	NHMSYS0001593792
Orconectes virilis (Hagen, 1870)	2227064	INBSYS0000045066
Oxyura jamaicensis (Gmelin, 1789)	2498305	NHMSYS0000530524
Pacifastacus leniusculus (Dana, 1852)	2226990	NBNSYS0000036962
Pacifastacus leniusculus (Dana, 1852)	2226990	NHMSYS0000377494
Parthenium hysterophorus L.	3086784	NBNSYS0200002802
Parthenocissus quinquefolia (L.) Planchon	3039194	NBNSYS0000033673
Parthenocissus quinquefolia (L.) Planchon	3039194	NHMSYS0000461527
Parthenocissus tricuspidata (Siebold & Zucc.) Planchon	3039209	NHMSYS0000461528
Parthenocissus tricuspidata (Siebold & Zucc.) Planchon	3039209	INBSYS0000004602
Parthenocissus tricuspidata (Siebold & Zucc.) Planchon	3039209	NBNSYS0000033485
Parthenocissus vitacea (Knerr) A.S. Hitchc.	3039193	NBNSYS0000033674
Parthenocissus vitacea (Knerr) A.S. Hitchc.	3039193	INBSYS0000004603
Parthenocissus vitacea (Knerr) A.S. Hitchc.	3039193	NHMSYS0000461525
Pennisetum setaceum (Forssk.) Chiov.	2706134	
Perccottus glenii Dybowski, 1877	2390064	INBSYS0000012722
Perccottus glenii Dybowski, 1877	2390064	INBSYS0000032652
Pontederia cordata L.	2766030	NBNSYS0000002209
Procambarus clarkii (Girard, 1852)	2227300	NHMSYS0000377495
Procambarus fallax (Hagen, 1870)	2227309	INBSYS0000045069
Procyon lotor (Linnaeus, 1758)	5218786	INBSYS0000012542
Pseudorasbora parva (Temminck & Schlegel, 1846)	2362868	NHMSYS0000544730
Pueraria montana (Lour.) Merr.	2977636	
Rapana venosa (Valenciennes, 1846)	4363583	INBSYS0000032669
Reynoutria bohemica J. Chrtek & A. Chrtková	4038485	INBSYS0000005251
Reynoutria bohemica J. Chrtek & A. Chrtková	4038485	INBSYS0000033059
Sagittaria latifolia Willd.	5328909	NBNSYS0000002106
Sargassum muticum (Yendo) Fensholt, 1955	3197314	
Sarracenia purpurea L.	5421389	NBNSYS0000003523
Sciurus carolinensis Gmelin, 1788	5219681	NBNSYS0000005109
Sciurus carolinensis Gmelin, 1788	5219681	NHMSYS0000332764
Sciurus niger Linnaeus, 1758	5219683	
Sicyos angulatus L.	2874655	NBNSYS0000034270
Solanum eleagnifolium	7299960	NBNSYS0200003195
Spartina pectinata Bosc ex Link	5290030	NBNSYS0000014303
Spartina pectinata Bosc ex Link	5290030	NHMSYS0000463858
Spartina pectinata Bosc ex Link	5290030	INBSYS0000009805
Spartina townsendii H.Groves & J.Groves	5290034	INBSYS0000003939
Spartina townsendii H.Groves & J.Groves	5290034	NBNSYS0000002679
Spartina townsendii H.Groves & J.Groves	5290034	NHMSYS0000463860
Spiraea salicifolia L.	3026454	NBNSYS0000003313
Spiraea tomentosa L.	3026819	NBNSYS0000014176
Spiraea ×pseudosalicifolia Silverside	3026444	
Symphyotrichum salignum (Willd.) G.L.Nesom	3151811	
Tamias sibiricus (Laxmann, 1769)	2437450	INBSYS0000012543
Threskiornis aethiopicus (Latham, 1790)	2480764	NHMSYS0000534047
Trachemys scripta Schoepff, 1792	2443002	NHMSYS0000080227
Trachemys scripta Schoepff, 1792	2443002	INBSYS0000012414
Truellum perfoliatum (L.) Soják	4037171	
Vallisneria spiralis L.	2865526	NBNSYS0000002118
Vespa velutina Lepeletier, 1836	1311477	
