type,language,license,rightsHolder,accessRights,datasetID,datasetName,basisOfRecord,occurrenceID,recordedBy,individualCount,occurrenceStatus,eventID,eventDate_begin,eventDate_end,habitat,samplingProtocol,locationID,locality,continent,countryCode,stateProvince,municipality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,kingdom,taxonRank,nomenclaturalCode
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118253,Piluca Álvarez,1,present,ES:2015:006d:PA,2015-05-05,,along rivulet in the mountains,sweepnet,-,Abrucena,Europe,ES,Almería,-,37.11340,37.11340,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:120534,Francisco Rodríguez-Luque,1,present,ES:2017:003:PA,2017-05-11,,on rocks,sweepnet,-,Laujar de Andarax,Europe,ES,Almería,-,37.09063,37.09063,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118249,Piluca Álvarez,1,present,ES:2015:002a:PA,2015-03-26,,stony ground,sweepnet,-,Vícar,Europe,ES,Almería,-,36.83890,36.83890,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:117961,J. Mortelmans & D. Volckaert,3,present,ES:2020:004:JM,2020-03-11,,-,sweepnet,-,Corredor Verde,Europe,ES,Sevilla,Sanlucar la Mayor,37.39680,37.39680,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118250,Piluca Álvarez,2,present,ES:2015:006c:PA,2015-04-23,,dry river bed,sweepnet,-,Acequias,Europe,ES,Granada,-,36.96290,36.96290,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118258,Piluca Álvarez,4,present,ES:2015:007b:PA,2015-04-24,,on rocks in stony slope,sweepnet,-,El Cerro Gordo,Europe,ES,Granada,-,36.73355,36.73355,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118232,Piluca Álvarez,4,present,ES:2015:001b:PA,2015-04-24,,on rocks in dry riverbed,sweepnet,-,Lobres,Europe,ES,Granada,-,36.78600,36.78600,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:120531,Piluca Álvarez,1,present,ES:2017:001:PA,2017-04-25,,on rocks at reservoir,sweepnet,-,Argés,Europe,ES,Toledo,-,39.79655,39.79655,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:120966,Claire Villemant,1,present,FR-COR:2020:025:MNHN,2019-06-29,2019-06-25,"aulnaie (aulne, sorbier, �rable, gen�t, ajonc, �glantier)",yellow pan tras,,Quenza,Europe,FR,Corse-du-Sud (2A),,41.83273,41.83273,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:121134,"Eddy Poirier, Rémy Poncet & Julien Touroult",3,present,FR-COR:2020:147:MNHN,2020-06-05,2020-02-21,Maquis,Malaise trap,,Sorbollano,Europe,FR,Corse-du-Sud (2A),,41.76987,41.76987,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:121149,Romain Le Divelec,1,present,FR-COR:2020:176:MNHN,2019-06-28,2019-06-24,-,yellow pan tras,,Zicavo,Europe,FR,Corse-du-Sud (2A),,41.87636,41.87636,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:121063,Romain Le Divelec,3,present,FR-COR:2020:086:MNHN,2020-10-20,2020-10-17,-,pink pan traps,,Oletta,Europe,FR,Haute-Corse,,42.65401,42.65401,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:121029,"Jean Ichter, Eddy Poirier, Julien Touroult & Camille Gazay",4,present,FR-COR:2020:060:MNHN,2020-10-21,2020-10-12,-,,,Palasca,Europe,FR,Haute-Corse,,42.66396,42.66396,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:121030,"Jean Ichter, Eddy Poirier, Julien Touroult & Camille Gazay",2,present,FR-COR:2020:060:MNHN,2020-10-21,2020-10-12,-,,,Palasca,Europe,FR,Haute-Corse,,42.66396,42.66396,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:121037,Eddy Poirier,4,present,FR-COR:2020:062:MNHN,2020-10-21,2020-10-12,ripisylve,Malaise trap,,Palasca,Europe,FR,Haute-Corse,,42.65948,42.65948,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:121041,Eddy Poirier,1,present,FR-COR:2020:062:MNHN,2020-10-21,2020-10-12,ripisylve,Malaise trap,,Palasca,Europe,FR,Haute-Corse,,42.65948,42.65948,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:116596,Frédéric Belin,3,present,FR:2022:045:FB,2022-05-03,2022-05-03,on large stones in maquis,collected by hand,,Mandelieu,Europe,FR,Alpes-Maritimes,,43.52177,43.52177,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118397,G. Chessa,1,present,IT:2006:009:GN,2006-05-01,2006-04-17,on left bank of rio d'Oridda on plateau with secondary garrigue,Malaise trap,S3 [SAR06-S3-4°],Domusnovas,Europe,IT,Carbonia-Iglesias,-,39.40893,39.40893,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118405,"D. Birtele, P. Cerretti, E. Gatti, F. Mason & D. Whitmore",5,present,IT:2006:024:GN,2004-09-24,2004-09-21,radura con Foeniculum vulgaris,Malaise trap,Plot Conecofor SAR1,Iglesias,Europe,IT,Carbonia-Iglesias,-,39.34589,39.34589,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118375,G. Chessa,2,present,IT:2006:001:GN,2006-05-01,2006-04-17,at edge of Quercus suber forest in shrubby vegetation in valley,Malaise trap,S1 [SAR06-S1-3'],Iglesias,Europe,IT,Carbonia-Iglesias,-,39.34759,39.34759,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118404,G. Chessa,1,present,IT:2006:015:GN,2006-05-15,2006-05-01,at edge of Quercus suber forest in shrubby vegetation in valley,Malaise trap,S1 [SAR06-S1-3'],Iglesias,Europe,IT,Carbonia-Iglesias,-,39.34759,39.34759,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:119101,G. Chessa,2,present,IT:2006:029:GN,2006-06-12,2006-05-29,at edge of Quercus suber forest in shrubby vegetation in valley,Malaise trap,S1 [SAR06-S1-6°],Iglesias,Europe,IT,Carbonia-Iglesias,-,39.34759,39.34759,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118143,Piluca Álvarez,1,present,ES:2015:004a:PA,2015-08-01,,lush vegetation along mountain rivulet,sweepnet,-,Bayárcal,Europe,ES,Almería,-,37.07460,37.07460,WGS84,30,"Medetera hispanica Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118150,Piluca Álvarez,1,present,ES:2017:001:PA,2017-04-25,,on rocks at reservoir,sweepnet,-,Argés,Europe,ES,Toledo,-,39.79655,39.79655,WGS84,30,"Medetera hispanica Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118191,G. Chessa,1,present,IT:2006:031:GN,2005-07-13,2005-06-15,-,Malaise trap,Plot Conecofor SAR1,Iglesias,Europe,IT,Carbonia-Iglesias,-,39.35443,39.35443,WGS84,30,"Medetera parva Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118170,G. Chessa,1,present,IT:2006:031:GN,2005-07-13,2005-06-15,-,Malaise trap,Plot Conecofor SAR1,Iglesias,Europe,IT,Carbonia-Iglesias,-,39.35443,39.35443,WGS84,30,"Medetera parva Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118161,G. Chessa,1,present,IT:2006:008:GN,2005-08-04,2005-07-13,-,Malaise trap,Plot Conecofor SAR1,Iglesias,Europe,IT,Carbonia-Iglesias,-,39.35443,39.35443,WGS84,30,"Medetera parva Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:116536,Frédéric Belin,1,present,FR:2021:050:FB,2021-06-03,2021-06-03,on flagstones along a stream,collected by hand,,Gourdon,Europe,FR,Alpes-Maritimes,,43.72186,43.72186,WGS84,30,"Medetera rectipyga Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:116603,Frédéric Belin,2,present,FR:2022:069:FB,2022-06-08,2022-06-08,on the soil (stone),collected by hand,,Saint-Vallier-de-Thiey,Europe,FR,Alpes-Maritimes,,43.69925,43.69925,WGS84,30,"Medetera rectipyga Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:116528,Frédéric Belin,1,present,FR:2021:043:FB,2021-05-24,2021-05-24,on a large rock in garigue,collected by hand,,Vence,Europe,FR,Alpes-Maritimes,,43.71860,43.71860,WGS84,30,"Medetera rectipyga Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118312,Ana Gonçalves & Rui Andrade,3,present,ES:2015:231:AG&RA,2015-05-10,,small building next to a road and other buildings in overall agricultural landscape,collected by hand,-,Villaquirán de los Infantes,Europe,ES,Burgos,-,42.21656,42.21656,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118222,Rui Andrade,1,present,ES:2014:215:RA,2014-05-14,,shrubland with some Quercus pyrenaica,sweepnet,-,Villasur de Herreros,Europe,ES,Burgos,-,42.31172,42.31172,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Marc Pollet,http://www.inbo.be/en/norms-for-data-use,"",New Mediterranean Medetera with eye colour patterns,HumanObservation,Med:med:118282,Rui Andrade,1,present,ES:2015:175:RA,2015-04-01,,"small river bordered by lush herbaceous vegetation with Malvaceae, Rubiaceae, Polygonaceae, Juncaceae and grasses, and crossing mediterranean shrubland",sweepnet,-,Valencia del Ventoso,Europe,ES,Badajoz,-,38.28178,38.28178,WGS84,30,"Medetera aglaops Pollet, 2022",Animalia,species,ICZN
