Nr,jaar,verbatimEventDate,eventDate2,day,month,year,eventDate,Gemeente,ADRES,Melder,X,Y,aantalBomen,gemiddeldAantalNestenPerBoom,Opmerkingen
EPR01,2001,21/06/2001,21/06/2001,21,06,2001,2001-06-21,KRUIBEKE,Annekensstraat 4,privé,145327,205590,,1,
EPR02,2001,7/07/2001,7/07/2001,07,07,2001,2001-07-07,KRUIBEKE,Beverenstraat,openbaar,144207,207721,,20,
EPR03,2001,9/06/2001,9/06/2001,09,06,2001,2001-06-09,KRUIBEKE,Molenberg 94,privé,143604,206696,,5,
EPR04,2001,9/06/2001,9/06/2001,09,06,2001,2001-06-09,KRUIBEKE,Portugezenstraat 11,privé,142240,204856,,8,
EPR05,2001,7/06/2001,7/06/2001,07,06,2001,2001-06-07,KRUIBEKE,Portugezenstraat 18,privé,142184,204793,,1,
EPR06,2001,9/07/2001,9/07/2001,09,07,2001,2001-07-09,KRUIBEKE,Portugezenstraat 2b,privé,142600,204321,,1,
EPR07,2002,17/06/2002,17/06/2002,17,06,2002,2002-06-17,KRUIBEKE,Annekensstraat 4,privé,145327,205590,,1,
EPR08,2002,8/07/2002,8/07/2002,08,07,2002,2002-07-08,KRUIBEKE,Barbierstraat 32,privé,144901,205014,,1,
EPR09,2002,25/06/2002,25/06/2002,25,06,2002,2002-06-25,KRUIBEKE,Edmond Gorrebeeckstraat 40,privé,145893,206520,1,3,
EPR10,2002,10/08/2002,10/08/2002,10,08,2002,2002-08-10,KRUIBEKE,Hondenstraat 12,privé,143963,206456,,1,
EPR11,2002,1/06/2002,1/06/2002,01,06,2002,2002-06-01,KRUIBEKE,Kromstraat tussen nrs 12 en 14,openbaar,145076,207006,,1,
EPR12,2002,1/06/2002,1/06/2002,01,06,2002,2002-06-01,KRUIBEKE,Parallelweg naast E17,openbaar,141697,206398,5,5,
EPR13,2002,6/06/2002,6/06/2002,06,06,2002,2002-06-06,KRUIBEKE,Parallelweg naast E18,openbaar,141697,206398,,6,
EPR14,2003,16/06/2003,16/06/2003,16,06,2003,2003-06-16,KRUIBEKE,Barbierstraat 18,privé,145050,204963,,1,
EPR15,2003,31/05/2003,31/05/2003,31,05,2003,2003-05-31,KRUIBEKE,Beverenstraat (omgeving huisnr 39),openbaar,144207,207721,,11,
EPR16,2003,12/06/2003,12/06/2003,12,06,2003,2003-06-12,KRUIBEKE,Broekdam-Noord 51,privé,146334,206992,,2,
EPR17,2003,10/06/2003,10/06/2003,10,06,2003,2003-06-10,KRUIBEKE,Edmond Gorrebeeckstraat 40,privé,145893,206520,,4,
EPR18,2003,5/06/2003,5/06/2003,05,06,2003,2003-06-05,KRUIBEKE,Gladiolenstraat 3,privé,145621,207175,,1,
EPR19,2003,1/07/2003,1/07/2003,01,07,2003,2003-07-01,KRUIBEKE,Hondenstraat 12,privé,143963,206456,,1,
EPR20,2003,4/09/2003,4/09/2003,04,09,2003,2003-09-04,KRUIBEKE,Molenstraat 194,privé,145254,207287,,6,
EPR21,2003,17/06/2003,17/06/2003,17,06,2003,2003-06-17,KRUIBEKE,Patrijzenweg 2,privé,145373,204230,,1,
EPR22,2003,2/09/2003,2/09/2003,02,09,2003,2003-09-02,KRUIBEKE,Polderstraat 148,privé,146015,206015,,1,
EPR23,2003,25/05/2003,25/05/2003,25,05,2003,2003-05-25,KRUIBEKE,Wissekerkelaan 27,privé,144976,203548,,1,
EPR24,2003,20/06/2003,20/06/2003,20,06,2003,2003-06-20,KRUIBEKE,Wissekerkelaan 27,privé,144976,203548,,1,
EPR25,2004,26/06/2004,26/06/2004,26,06,2004,2004-06-26,DENDERMONDE,Botermelkstraat,privé,130275,189865,,,
EPR26,2004,25/06/2004,25/06/2004,25,06,2004,2004-06-25,DENDERMONDE,Bevrijdingslaan 199,privé,127495,190317,,,
EPR27,2004,24/06/2004,24/06/2004,24,06,2004,2004-06-24,DENDERMONDE,Steenweg naar Wetteren 75,privé,124500,188084,,,
EPR28,2004,17/06/2004,17/06/2004,17,06,2004,2004-06-17,DENDERMONDE,Oude Baan 37,privé,128666,189142,1,,
EPR29,2004,21/06/2004,21/06/2004,21,06,2004,2004-06-21,DENDERMONDE,Putteveld 24,privé,133191,190814,1,3,
EPR30,2004,28/06/2004,28/06/2004,28,06,2004,2004-06-28,DENDERMONDE,Kruisstraat 97,privé,131868,188862,2,1,
EPR31,2004,1/07/2004,1/07/2004,01,07,2004,2004-07-01,KRUIBEKE,Beekstraat thv huisnr 3,Openbaar,142691,206442,,2,
EPR32,2004,1/07/2004,1/07/2004,01,07,2004,2004-07-01,KRUIBEKE,Kerkstraat thv huisnr 54,Openbaar,144859,204245,,2,
