Nr,jaar,verbatimEventDate,eventDate2,day,month,year,eventDate,Gemeente,ADRES,Melder,X,Y,aantalBomen,gemiddeldAantalNestenPerBoom,Opmerkingen
EPR33,2004,1/07/2004,1/07/2004,01,07,2004,2004-07-01,KRUIBEKE,Molenstraat thv huisnr 229,Openbaar,145322,207380,,36,
EPR34,2004,29/06/2004,29/06/2004,29,06,2004,2004-06-29,KRUIBEKE,Molenstraat 194,privé,145254,207287,,1,
EPR35,2004,1/07/2004,1/07/2004,01,07,2004,2004-07-01,KRUIBEKE,Pismolenstraat,Openbaar,143464,206623,,2,
EPR36,2004,1/07/2004,1/07/2004,01,07,2004,2004-07-01,KRUIBEKE,Portugezenstraat,Openbaar,142137,204875,,1,
EPR37,2004,18/08/2004,18/08/2004,18,08,2004,2004-08-18,KRUIBEKE,Portugezenstraat 2b,privé,142600,204321,,1,
EPR38,2004,1/07/2004,1/07/2004,01,07,2004,2004-07-01,KRUIBEKE,Vossenstraat,Openbaar,145614,208607,,3,
EPR39,2004,21/06/2004,21/06/2004,21,06,2004,2004-06-21,SINT-GILLIS-WAAS,Potterstraat 181,privé,131903,207845,,,
EPR40,2004,26/06/2004,26/06/2004,26,06,2004,2004-06-26,SINT-GILLIS-WAAS,Buitenstraat 109,privé,129250,215546,,,
EPR41,2004,26/06/2004,26/06/2004,26,06,2004,2004-06-26,STEKENE,Breedstraat 8,privé,127269,214385,1,,
EPR42,2004,26/06/2004,26/06/2004,26,06,2004,2004-06-26,SINT-GILLIS-WAAS,Broekstraat,openbaar,132775,213071,,,
EPR43,2004,26/06/2004,26/06/2004,26,06,2004,2004-06-26,MOERBEKE,struiken langs weg met fietspad achter Dorpvaart 68,openbaar,120447,207816,,,
EPR44,2005,23/06/2005,23/06/2005,23,06,2005,2005-06-23,SINT-NIKLAAS,Goudenleeuwstraat 7,Privé,129876,205557,3,,
EPR45,2005,27/06/2005,27/06/2005,27,06,2005,2005-06-27,SINT-NIKLAAS,Zonneken 9,Privé,137027,207372,?,,
EPR46,2005,30/05/2005,30/05/2005,30,05,2005,2005-05-30,BEVEREN,Dijkgravenstraat,Privé,143508,216521,,3,
EPR47,2005,14/06/2005,14/06/2005,14,06,2005,2005-06-14,BEVEREN,Dijkgravenstraat,Privé,143508,216521,,4,
EPR48,2005,1/07/2005,1/07/2005,01,07,2005,2005-07-01,BEVEREN,Dijkgravenstraat,Privé,143508,216521,,3,
EPR49,2005,24/06/2005,24/06/2005,24,06,2005,2005-06-24,BEVEREN,Dweerse Kromstraat,Privé,143750,210091,,2,
EPR50,2005,6/06/2005,6/06/2005,06,06,2005,2005-06-06,BEVEREN,Gentseweg 332,Privé,139730,209627,,2,
EPR51,2005,30/05/2005,30/05/2005,30,05,2005,2005-05-30,BEVEREN,Jan Frans Faveletstraat (bomen naast nr 49),Privé,143590,216538,,4,
EPR52,2005,2/06/2005,2/06/2005,02,06,2005,2005-06-02,BEVEREN,Jan Frans Faveletstraat (bomen naast nr 49),Privé,143590,216538,,3,
EPR53,2005,14/06/2005,14/06/2005,14,06,2005,2005-06-14,BEVEREN,Jan Frans Faveletstraat (bomen naast nr 49),Privé,143590,216538,,2,
EPR54,2005,1/07/2005,1/07/2005,01,07,2005,2005-07-01,BEVEREN,Kolkstraat,Privé,137160,210579,,2,
EPR55,2005,5/07/2005,5/07/2005,05,07,2005,2005-07-05,BEVEREN,Leurshoek,Privé,142327,213113,,2,
EPR56,2005,3/06/2005,3/06/2005,03,06,2005,2005-06-03,BEVEREN,Jef van Hoofstraat 1 (achteraan tuin),Privé,140394,211360,,1,
EPR57,2005,2/06/2005,2/06/2005,02,06,2005,2005-06-02,BEVEREN,Pastoor Steenssensstraat thv 88,Privé,140711,211245,,2,
EPR58,2005,28/06/2005,28/06/2005,28,06,2005,2005-06-28,BEVEREN,Polderdreef,openbaar,141693,213236,,9,
EPR59,2005,1/07/2005,1/07/2005,01,07,2005,2005-07-01,BEVEREN,Polderstraat thv kruising met Broekstraat,openbaar,139917,213521,,2,
EPR60,2005,24/06/2005,24/06/2005,24,06,2005,2005-06-24,BEVEREN,s Herenwilg,Privé,139993,211708,,2,
EPR61,2005,6/06/2005,6/06/2005,06,06,2005,2005-06-06,BEVEREN,Willem Van Doornyckstraat 71,Privé,140634,207818,,3,
EPR62,2005,7/06/2005,7/06/2005,07,06,2005,2005-06-07,BEVEREN,Zandstraat ter hoogte van huisnr 57,openbaar,140685,208951,,7,
EPR63,2005,25/06/2005,25/06/2005,25,06,2005,2005-06-25,BEVEREN,Aven Ackers 11,Privé,137656,215633,,4,
EPR64,2005,20/05/2005,20/05/2005,20,05,2005,2005-05-20,DENDERMONDE,Olieslagerstraat 122,Privé,132980,189647,,,
EPR65,2005,22/06/2005,22/06/2005,22,06,2005,2005-06-22,DENDERMONDE,Putteveld 5,Privé,133038,190844,,,
EPR66,2005,23/05/2005,23/05/2005,23,05,2005,2005-05-23,EVERGEM,Kluisstraat,Openbaar,104899,206042,,,
EPR67,2005,31/05/2005,31/05/2005,31,05,2005,2005-05-31,KRUIBEKE,Beekdam (ca overkant nr 29),Openbaar,145597,204554,,7,
EPR68,2005,4/06/2005,4/06/2005,04,06,2005,2005-06-04,KRUIBEKE,Broekdam-Noord 51,privé,146334,206992,,2,
EPR69,2005,31/05/2005,31/05/2005,31,05,2005,2005-05-31,KRUIBEKE,Eikenlaan (omtrent nrs 29-30-32),Openbaar,145243,203425,,1,
EPR70,2005,15/06/2005,15/06/2005,15,06,2005,2005-06-15,KRUIBEKE,Lange Heihoekstraat,Openbaar,142384,206647,,24,
EPR71,2005,31/05/2005,31/05/2005,31,05,2005,2005-05-31,KRUIBEKE,Molenstraat thv huisnr 229,Openbaar,145322,207380,,10,
EPR72,2005,14/06/2005,14/06/2005,14,06,2005,2005-06-14,KRUIBEKE,Molenstraat 194,privé,145254,207287,,3,
EPR73,2005,31/05/2005,31/05/2005,31,05,2005,2005-05-31,KRUIBEKE,Parklaan thv huisnr 72-74,Openbaar,145044,203621,,2,
EPR74,2005,14/06/2005,14/06/2005,14,06,2005,2005-06-14,KRUIBEKE,Patrijzenweg 2,privé,145373,204230,,2,
EPR75,2005,8/06/2005,8/06/2005,08,06,2005,2005-06-08,KRUIBEKE,Verkortingsdijk,Openbaar,145890,203766,,1,
EPR76,2005,jun/05,01/06/2005,01,06,2005,2005-06-01,LEBBEKE,Opwijksestraat 91,Openbaar,133651,187057,,,
EPR77,2005,14/06/2005,14/06/2005,14,06,2005,2005-06-14,LOKEREN,Molsbergenstraat 1,Openbaar,125678,199201,2,3,bezoekerscentrum Molsbroek
EPR78,2005,14/06/2005,14/06/2005,14,06,2005,2005-06-14,SINT-GILLIS-WAAS,Ettingestraat 1,privé,130603,208853,,,
EPR79,2005,27/06/2005,27/06/2005,27,06,2005,2005-06-27,SINT-GILLIS-WAAS,Reinakkerweg 4 bus 2,privé,130142,213332,,,
EPR80,2005,6/07/2005,6/07/2005,06,07,2005,2005-07-06,SINT-GILLIS-WAAS,Dennenlaan 12,privé,129610,209784,,,
EPR81,2005,7/09/2005,7/09/2005,07,09,2005,2005-09-07,SINT-GILLIS-WAAS,Reepstraat 109,privé,131191,213119,,,
EPR82,2005,20/06/2005,20/06/2005,20,06,2005,2005-06-20,SINT-NIKLAAS,Bellestraat 6,Privé,135807,207042,1,,
EPR83,2005,jun/05,01/06/2005,01,06,2005,2005-06-01,SINT-NIKLAAS,Bellestraat 74,Privé,136402,207222,1,3,
EPR84,2005,jun/05,01/06/2005,01,06,2005,2005-06-01,SINT-NIKLAAS,Eekhoornstraat (vermoedelijk bomen achter 26-28-30),Openbaar,136970,207136,39,,
EPR85,2005,25/05/2005,25/05/2005,25,05,2005,2005-05-25,SINT-NIKLAAS,Grote Heimelinckstraat 91,Privé,135587,207682,1,,
EPR86,2005,11/07/2005,11/07/2005,11,07,2005,2005-07-11,SINT-NIKLAAS,Gyselstraat 29,Privé,136596,209502,1,,
EPR87,2005,13/06/2005,13/06/2005,13,06,2005,2005-06-13,SINT-NIKLAAS,Haasdonksesteenweg 133,Privé,138976,206568,1,,
EPR88,2005,13/06/2005,13/06/2005,13,06,2005,2005-06-13,SINT-NIKLAAS,Haasdonksesteenweg 141,Privé,138965,206654,1,,
EPR89,2005,14/07/2005,14/07/2005,14,07,2005,2005-07-14,SINT-NIKLAAS,Jef De Pauwstraat 1,Privé,138308,206640,1,,
EPR90,2005,17/06/2005,17/06/2005,17,06,2005,2005-06-17,SINT-NIKLAAS,"Kallohoekstraat 3, bomen linkse kant van Eekhoornstraat",Openbaar,136962,207071,1,,
EPR91,2005,17/06/2005,17/06/2005,17,06,2005,2005-06-17,SINT-NIKLAAS,Kuiperstraat 42,Privé,134299,204508,1,,
EPR92,2005,jun/05,01/06/2005,01,06,2005,2005-06-01,SINT-NIKLAAS,Lange Rekstraat tussen nrs 30 en 40,Openbaar,137241,206580,58,,
EPR93,2005,20/06/2005,20/06/2005,20,06,2005,2005-06-20,SINT-NIKLAAS,Passtraat 343,Privé,136736,205797,1,,
EPR94,2005,jun/05,01/06/2005,01,06,2005,2005-06-01,SINT-NIKLAAS,Tassijnslaan,Openbaar,138641,207230,20,,
EPR95,2005,jun/05,01/06/2005,01,06,2005,2005-06-01,SINT-NIKLAAS,Terekenwijk (thv nrs 82-84),Openbaar,134582,204728,5,,
EPR96,2005,jun/05,01/06/2005,01,06,2005,2005-06-01,SINT-NIKLAAS,Vossekotstraat thv nr 79,Openbaar,138302,207193,50,,
EPR97,2005,20/06/2005,20/06/2005,20,06,2005,2005-06-20,SINT-NIKLAAS,Vossekotstraat 79,Privé,138391,207106,1,,
EPR98,2005,7/06/2005,7/06/2005,07,06,2005,2005-06-07,SINT-NIKLAAS,Zonneken 51,Privé,137296,207471,verschillende,,
EPR99,2005,27/06/2005,27/06/2005,27,06,2005,2005-06-27,SINT-NIKLAAS,Omloopdreef,Privé,131771,205787,1,,
EPR100,2005,8/07/2005,8/07/2005,08,07,2005,2005-07-08,SINT-NIKLAAS,Molenstraat 31c,privé,127974,205985,1,,
EPR101,2005,8/07/2005,8/07/2005,08,07,2005,2005-07-08,SINT-NIKLAAS,Molenstraat 31d,privé,127984,205982,2,,
EPR102,2005,27/06/2005,27/06/2005,27,06,2005,2005-06-27,STEKENE,Breedstraat 8,privé,127269,214385,1,,
EPR103,2005,1/06/2005,1/06/2005,01,06,2005,2005-06-01,TEMSE,Berkenlaan 2,privé,143462,201733,,,
EPR104,2005,18/06/2005,18/06/2005,18,06,2005,2005-06-18,TEMSE,Brandstraat 35,privé,137633,205201,,,
EPR105,2005,18/06/2005,18/06/2005,18,06,2005,2005-06-18,TEMSE,Doornstraat 137,privé,138589,204127,,,
EPR106,2005,2/07/2005,2/07/2005,02,07,2005,2005-07-02,TEMSE,Grote Dweersstraat 17,privé,137906,202662,,,
EPR107,2005,2/07/2005,2/07/2005,02,07,2005,2005-07-02,TEMSE,Hofstraat 31,privé,136062,200762,,,
EPR108,2005,18/06/2005,18/06/2005,18,06,2005,2005-06-18,TEMSE,Hoogkamerstraat 369,privé,137110,203536,,,
EPR109,2005,23/06/2005,23/06/2005,23,06,2005,2005-06-23,TEMSE,Jef De Pauwstraat 3,privé,140092,202981,,,
EPR110,2005,23/06/2005,23/06/2005,23,06,2005,2005-06-23,TEMSE,Jef De Pauwstraat 37,privé,140411,202967,,,
EPR111,2005,18/06/2005,18/06/2005,18,06,2005,2005-06-18,TEMSE,Kapelstraat 271,privé,142131,202232,,,
EPR112,2005,1/06/2005,1/06/2005,01,06,2005,2005-06-01,TEMSE,Koningin Paolalaan 10,privé,139865,202185,,,
EPR113,2005,2/07/2005,2/07/2005,02,07,2005,2005-07-02,TEMSE,Lauwershoek 31,privé,140921,203505,,,
EPR114,2005,2/07/2005,2/07/2005,02,07,2005,2005-07-02,TEMSE,Legen Heirweg 114,privé,134840,200406,,,
EPR115,2005,23/06/2005,23/06/2005,23,06,2005,2005-06-23,TEMSE,Potaardestraat 13,privé,140035,202578,,,
EPR116,2005,18/06/2005,18/06/2005,18,06,2005,2005-06-18,TEMSE,Sparrenlaan 5,privé,143463,201784,,,
EPR117,2005,2/06/2005,2/06/2005,02,06,2005,2005-06-02,TEMSE,Spoorweglaan/ Kattebrug,openbaar,139709,202264,,,
EPR118,2005,2/07/2005,2/07/2005,02,07,2005,2005-07-02,TEMSE,Sweigers-Noord 30,privé,138669,204887,,,
EPR119,2005,2/06/2005,2/06/2005,02,06,2005,2005-06-02,TEMSE,Veldstraat 102,privé,139704,202685,,,
EPR120,2005,28/06/2005,28/06/2005,28,06,2005,2005-06-28,ZELE,Hoekstraat 33,privé,126711,197415,1,,
EPR121,2005,30/06/2005,30/06/2005,30,06,2005,2005-06-30,ZELE,Pieter Gorusstraat kant Waterstraat,Openbaar,128356,194259,2,,
EPR122,2005,9/07/2005,9/07/2005,09,07,2005,2005-07-09,ZELE,Europalaan (N47) 227,privé,128003,194678,2,,
EPR123,2005,18/07/2005,18/07/2005,18,07,2005,2005-07-18,ZELE,Europalaan (N47) 227,privé,128003,194678,1,,
EPR124,2005,14/07/2005,14/07/2005,14,07,2005,2005-07-14,ZELE,Narcislaan 52,Privé,126235,194461,,,
EPR125,2005,27/06/2005,27/06/2005,27,06,2005,2005-06-27,GENT,Renaat De Rudderstraat,Privé,108095,198815,,,
EPR126,2005,27/06/2005,27/06/2005,27,06,2005,2005-06-27,DENDERMONDE,Killeweg,openbaar,131758,191767,,,
EPR127,2005,26/05/2005,26/05/2005,26,05,2005,2005-05-26,GENT,Lage Lakendreef,Privé,100242,193361,,,
EPR128,2005,23/05/2005,23/05/2005,23,05,2005,2005-05-23,KRUIBEKE,Molenstraat 233,Privé,145301,207421,,,
EPR129,2005,27/06/2005,27/06/2005,27,06,2005,2005-06-27,RONSE,Leuzesesteenweg 183A (voetbalplein),openbaar,94942,158827,,,
EPR130,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,ZOMERGEM,Den Boer,Openbaar,93412,201695,,,
EPR131,2006,22/06/2006,22/06/2006,22,06,2006,2006-06-22,BEVEREN,Bosdamlaan-Meidoornlaan 34,Privé,142056,210986,,3,
EPR132,2006,8/06/2006,8/06/2006,08,06,2006,2006-06-08,BEVEREN,Donkerstraat thv huisnr 64,openbaar,141707,212742,,10,
EPR133,2006,16/06/2006,16/06/2006,16,06,2006,2006-06-16,BEVEREN,Floralaan 10,Privé,142377,212404,,5,
EPR134,2006,4/07/2006,4/07/2006,04,07,2006,2006-07-04,BEVEREN,Floralaan tussen nrs 4 en 6,Privé,142486,212348,,4,
EPR135,2006,4/07/2006,4/07/2006,04,07,2006,2006-07-04,BEVEREN,Heirbaan,Privé,142454,208064,,4,
EPR136,2006,27/06/2006,27/06/2006,27,06,2006,2006-06-27,BEVEREN,Hoog Kallostraat 75-77,Privé,144093,215981,,5,
EPR137,2006,27/06/2006,27/06/2006,27,06,2006,2006-06-27,BEVEREN,Jan Frans Faveletstraat (bomen naast nr 49),Privé,143590,216538,,6,
EPR138,2006,15/06/2006,15/06/2006,15,06,2006,2006-06-15,BEVEREN,Klapperstraat 116,Privé,141409,211795,,4,
EPR139,2006,15/06/2006,15/06/2006,15,06,2006,2006-06-15,BEVEREN,Leenstraat,Privé,142100,207174,,4,
EPR140,2006,14/07/2006,14/07/2006,14,07,2006,2006-07-14,BEVEREN,Lindenlaan 156,Privé,140485,211548,,3,
EPR141,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,BEVEREN,Luitenant Van Eepoelstraat 44,Privé,142572,212047,,5,
EPR142,2006,9/06/2006,9/06/2006,09,06,2006,2006-06-09,BEVEREN,Luiseikstraat thv huisnr 1,openbaar,140507,206356,,30,
EPR143,2006,9/06/2006,9/06/2006,09,06,2006,2006-06-09,BEVEREN,Pareinlaan 1T,Privé,142671,212251,,4,
EPR144,2006,9/06/2006,9/06/2006,09,06,2006,2006-06-09,BEVEREN,Polderdreef,openbaar,141693,213236,,20,
EPR145,2006,15/06/2006,15/06/2006,15,06,2006,2006-06-15,BEVEREN,Polderdreef,openbaar,141693,213236,,12,
EPR146,2006,16/06/2006,16/06/2006,16,06,2006,2006-06-16,BEVEREN,Bosdamlaan 1,Privé,141942,211188,,3,
EPR147,2006,11/06/2006,11/06/2006,11,06,2006,2006-06-11,DENDERMONDE,Kalendijk thv huisnr 8,openbaar,131499,190511,,,
EPR148,2006,27/06/2006,27/06/2006,27,06,2006,2006-06-27,DENDERMONDE,Zogsebaan,openbaar,131087,195557,,,
EPR149,2006,27/06/2006,27/06/2006,27,06,2006,2006-06-27,DENDERMONDE,Martelarenbaan thv huisnr 17,openbaar,131277,192016,,,
EPR150,2006,winter 2006,01/01/2006,01,01,2006,2006-01-01,DENDERMONDE,Voortweg,openbaar,132295,193256,,,
EPR151,2006,1/06/2006,1/06/2006,01,06,2006,2006-06-01,EVERGEM,Kluisstraat - Heulewijkstraatje,openbaar,104911,206465,25,1,
EPR152,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,HAMME,Heirbaan thv 211,Openbaar,130565,196518,verschillende,,
EPR153,2006,12/07/2006,12/07/2006,12,07,2006,2006-07-12,KRUIBEKE,Barbierstraat 18,privé,145050,204963,1,1,
EPR154,2006,8/07/2006,8/07/2006,08,07,2006,2006-07-08,KRUIBEKE,Bazelstraat kruising met Holsthumstraat,Openbaar,145740,205985,1,1,
EPR155,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,KRUIBEKE,Beekstraat thv huisnr 3,Openbaar,142691,206442,1,1,
EPR156,2006,10/06/2006,10/06/2006,10,06,2006,2006-06-10,KRUIBEKE,Beverenstraat,openbaar,144207,207721,9,,
EPR157,2006,27/06/2006,27/06/2006,27,06,2006,2006-06-27,KRUIBEKE,Blauwe Gaanweg 2,privé,144839,203172,1,1,
EPR158,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,KRUIBEKE,Breestraat,openbaar,143958,203204,1,1,
EPR159,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,KRUIBEKE,Daalstraat thv huisnrs 76A-76B,openbaar,144250,203702,8,1,
EPR160,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,KRUIBEKE,Filip De Pillecynstraat thv 32,Openbaar,145790,206334,1,2,
EPR161,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,KRUIBEKE,Galgenstraat,Openbaar,145940,209105,1,1,
EPR162,2006,22/07/2006,22/07/2006,22,07,2006,2006-07-22,KRUIBEKE,Heirstraat 31,privé,141955,204630,1,1,
EPR163,2006,17/07/2006,17/07/2006,17,07,2006,2006-07-17,KRUIBEKE,Kattestraat 116,privé,145374,206933,1,1,
EPR164,2006,6/07/2006,6/07/2006,06,07,2006,2006-07-06,KRUIBEKE,Kattestraat 212,Openbaar,144956,207137,1,1,
EPR165,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,KRUIBEKE,Kerkwegels,openbaar,144818,204148,3,1,
EPR166,2006,3/07/2006,3/07/2006,03,07,2006,2006-07-03,KRUIBEKE,Kromstraat 18,privé,145045,206899,1,1,
EPR167,2006,10/06/2006,10/06/2006,10,06,2006,2006-06-10,KRUIBEKE,Molenstraat,Openbaar,145322,207380,17,,
EPR168,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,KRUIBEKE,Molenstraat,Openbaar,145322,207380,16,1,
EPR169,2006,20/06/2006,20/06/2006,20,06,2006,2006-06-20,KRUIBEKE,Sint-Pietersdoorn 8,privé,143337,204379,1,1,
EPR170,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,KRUIBEKE,Verkortingsdijk,openbaar,145890,203766,1,1,
EPR171,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,KRUIBEKE,Vossenstraat thv huisnr 4,Openbaar,145137,208388,2,1,
EPR172,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,LEBBEKE,Macharisdreef thv huisnr 1,Openbaar,132703,188690,,twintigtal,
EPR173,2006,19/06/2006,19/06/2006,19,06,2006,2006-06-19,SINT-GILLIS-WAAS,Margrietstraat 2,privé,134579,216897,,,
EPR174,2006,19/06/2006,19/06/2006,19,06,2006,2006-06-19,SINT-GILLIS-WAAS,Potterstraat 177,privé,131892,207866,,,
EPR175,2006,23/06/2006,23/06/2006,23,06,2006,2006-06-23,SINT-GILLIS-WAAS,Puyveldestraat 60,privé,128898,207924,,,
EPR176,2006,10/07/2006,10/07/2006,10,07,2006,2006-07-10,SINT-GILLIS-WAAS,Klingedijkstraat 110,privé,130413,215242,,,
EPR177,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,SINT-NIKLAAS,Molenstraat 31c,privé,127974,205985,1,2,
EPR178,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,STEKENE,Kiekenhaag,privé,127349,212172,1,,
EPR179,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,WAASMUNSTER,Schrijbergstraat,privé,129171,203121,,,
EPR180,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,WAASMUNSTER,Oudeheerweg-Ruiter 127,privé,127470,200839,,,
EPR181,2006,8/06/2006,8/06/2006,08,06,2006,2006-06-08,ZELE,Veldeken 9,privé,128077,194127,1,10,
EPR182,2006,9/06/2006,9/06/2006,09,06,2006,2006-06-09,ZELE,Europalaan (N47) 227,privé,128003,194678,1,2,
EPR183,2006,19/06/2006,19/06/2006,19,06,2006,2006-06-19,ZELE,Europalaan (N47) 227,privé,128003,194678,1,1,
EPR184,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,ZELE,Dijkstraat 182,privé,127463,192695,1,1,
EPR185,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,ZELE,Dijkstraat 176 (RWZI),privé,127690,193027,10,1,
EPR186,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,ZELE,Dijkstraat,Openbaar,127844,193109,7,5,
EPR187,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,ZELE,Pieter Gorusstraat kant Waterstraat,Openbaar,128356,194259,enkele,,
EPR188,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,ZELE,Waterstraat,Openbaar,128606,194246,10,,
EPR189,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,GENT,Getouwstraat,Openbaar,104240,195830,,,
EPR190,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,MELLE,Schaapswegel,Openbaar,110062,187441,,,
EPR191,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,SINT-MARTENS-LATEM,Hooglatemweg,Openbaar,97910,188857,,,
EPR192,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,WETTEREN,Hofmeers,Openbaar,115073,186850,,,
EPR193,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,ZOMERGEM,Sportlaan,Openbaar,93412,201695,,,
EPR194,2006,28/06/2006,28/06/2006,28,06,2006,2006-06-28,BRAKEL,Ommegangstraat 46,privé,105391,168885,,,
EPR195,2006,3/07/2006,3/07/2006,03,07,2006,2006-07-03,DEINZE,Beekstraat 73,privé,94875,186173,,,
