District,Rivier,Zone,Vegtype1,Vegtype2,Beheer,Opmerking
1,Boven-Zeeschelde1,R,7,0,,4mÂ²
1,Boven-Zeeschelde1,R,7,0,,2mÂ²
2,Rupel,R,7,0,,
2,Rupel,R,7,0,,
2,Rupel,R,7,0,,
1,Boven-Zeeschelde1,R,7,0,,
1,Boven-Zeeschelde1,R,7,0,,
1,Boven-Zeeschelde1,R,7,0,,
1,Boven-Zeeschelde1,R,7,0,,
1,Boven-Zeeschelde1,R,7,0,,
1,Boven-Zeeschelde1,R,7,0,Maaibeheer,
1,Durme,R,7,0,Maaibeheer,
1,Boven-Zeeschelde1,R,7,0,,
1,Boven-Zeeschelde1,R,7,0,,
1,Boven-Zeeschelde1,R,7,0,Maaibeheer,
1,Boven-Zeeschelde1,R,7,0,,
1,Boven-Zeeschelde1,R,7,0,,
1,Boven-Zeeschelde1,R,7,0,Maaibeheer,
1,Boven-Zeeschelde1,R,7,0,Maaibeheer,
1,Boven-Zeeschelde1,T,7,0,,10mÂ² + Groot hoefblad
2,Beneden-Zeeschelde,T,7,0,,
2,Beneden-Zeeschelde,T,7,0,,
2,Beneden-Zeeschelde,T,7,0,,
2,Beneden-Zeeschelde,T,7,0,,
2,Beneden-Zeeschelde,T,7,0,,
2,Beneden-Zeeschelde,T,7,0,,
2,Beneden-Zeeschelde,T,7,0,,
2,Beneden-Zeeschelde,T,7,0,,
2,Beneden-Zeeschelde,T,7,0,,
2,Rupel,T,7,0,,
2,Rupel,T,7,0,,
2,Rupel,T,7,0,,
2,Rupel,T,7,0,,
2,Rupel,T,7,0,,
2,Rupel,T,7,0,,
2,Rupel,T,7,0,,
2,Rupel,T,7,0,,
2,Rupel,T,7,0,,
2,Rupel,T,7,0,Maaibeheer,
2,Rupel,T,7,0,Maaibeheer,
2,Rupel,T,7,0,Maaibeheer,
2,Rupel,T,7,0,,
2,Rupel,T,7,0,,
2,Rupel,T,7,0,,
1,Boven-Zeeschelde1,T,7,0,,
1,Boven-Zeeschelde1,T,7,0,,
1,Boven-Zeeschelde1,T,7,0,Maaibeheer,
1,Boven-Zeeschelde1,T,7,0,Maaibeheer,
1,Boven-Zeeschelde1,T,7,0,,
2,Rupel,R,7,0,,
2,Rupel,R,7,0,,
2,Rupel,R,7,9,Maaibeheer,"2m gemaaid, +9 Salix cinerea, Fraxinus, Salix x dasyclados"
2,Rupel,R,7,0,Maaibeheer,
2,Rupel,R,7,0,Maaibeheer,
