District,Rivier,Zone,Vegtype1,Vegtype2,Beheer,Opmerking
2,Beneden-Zeeschelde,KL,7,0,,
2,Beneden-Zeeschelde,KL,7,0,,
1,Boven-Zeeschelde1,KL,7,0,,Â± 5m.
2,Beneden-Zeeschelde,KL,7,0,,
2,Beneden-Zeeschelde,KL,7,0,,
2,Beneden-Zeeschelde,KL,7,0,,
2,Beneden-Zeeschelde,KL,7,0,Maaibeheer,
2,Beneden-Zeeschelde,KL,7,0,Maaibeheer,
2,Beneden-Zeeschelde,KL,7,0,Maaibeheer,
2,Beneden-Zeeschelde,KL,7,0,,
2,Rupel,KL,7,0,,
2,Rupel,KL,7,0,,
2,Rupel,KL,7,0,,
2,Rupel,KL,7,0,Maaibeheer,
2,Rupel,KL,7,0,Maaibeheer,
2,Rupel,KL,7,0,Maaibeheer,
1,Boven-Zeeschelde1,KL,7,0,,
1,Boven-Zeeschelde1,KL,7,0,,
1,Boven-Zeeschelde1,KL,7,0,Maaibeheer,
1,Boven-Zeeschelde1,KL,7,0,Maaibeheer,
1,Boven-Zeeschelde1,KL,7,0,Maaibeheer,
1,Durme,KL,7,0,,
1,Boven-Zeeschelde1,KL,7,0,Maaibeheer,
1,Boven-Zeeschelde1,KL,7,0,Maaibeheer,
1,Boven-Zeeschelde1,KL,7,0,Maaibeheer,
1,Boven-Zeeschelde1,KR,7,0,,4mÂ²
1,Boven-Zeeschelde1,KR,7,0,,2mÂ²
1,Boven-Zeeschelde1,KR,7,0,,
1,Boven-Zeeschelde1,KR,7,0,,
1,Boven-Zeeschelde1,KR,7,0,Maaibeheer,
1,Durme,KR,7,0,Maaibeheer,
1,Durme,KR,7,0,Maaibeheer,
1,Durme,KR,7,0,Maaibeheer,
1,Durme,KR,7,0,Maaibeheer,
1,Durme,KR,7,0,Maaibeheer,
1,Durme,KR,7,0,Maaibeheer,
1,Durme,KR,7,0,,
1,Boven-Zeeschelde1,KR,7,0,Maaibeheer,
1,Boven-Zeeschelde1,KR,7,0,Maaibeheer,
1,Boven-Zeeschelde1,L,7,0,,1mÂ²
1,Boven-Zeeschelde1,L,7,0,,Â± 5m.
1,Boven-Zeeschelde1,L,7,0,,2mÂ²
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,Maaibeheer,
2,Beneden-Zeeschelde,L,7,0,Maaibeheer,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Beneden-Zeeschelde,L,7,0,,
2,Rupel,L,7,0,,
2,Rupel,L,7,0,,
2,Rupel,L,7,0,,
2,Rupel,L,7,0,,
2,Rupel,L,7,0,,
2,Rupel,L,7,0,Maaibeheer,
2,Rupel,L,7,0,Maaibeheer,
2,Rupel,L,7,0,Maaibeheer,
2,Rupel,L,7,0,,
2,Boven-Zeeschelde2,L,7,0,,
1,Boven-Zeeschelde1,L,7,0,,
1,Boven-Zeeschelde1,L,7,0,Maaibeheer,
1,Boven-Zeeschelde1,L,7,0,,
1,Boven-Zeeschelde1,L,7,0,,
1,Boven-Zeeschelde1,L,7,0,,
1,Boven-Zeeschelde1,L,7,0,Maaibeheer,
1,Boven-Zeeschelde1,L,7,0,,
1,Boven-Zeeschelde1,L,7,0,,
1,Boven-Zeeschelde1,R,7,0,,2mÂ²
1,Boven-Zeeschelde1,R,7,0,,1mÂ²
1,Boven-Zeeschelde1,R,7,0,Maaibeheer,4mÂ²
1,Boven-Zeeschelde1,R,7,0,,4mÂ²
1,Boven-Zeeschelde1,R,7,0,,2mÂ²
1,Boven-Zeeschelde1,R,7,0,,4mÂ²
