code,name,cartodb_id,occurrences
5190402,Stevensvennen LOMMEL,286,872
3153142,Ketenisseschoor (= vroegere Buitenpolder Bayer) KALLO,374,681
7250107,Polders Uitkerke-Zuienkerke (hoofdcomplex 7 ganzentellingen),482,508
3153109,Rhone Poulenc KALLO,487,497
3153309,Ketenisdijk DOEL,525,457
3151104,Plas Tijsmanstunnel ANTWERPEN,529,452
3153102,Steenland KALLO,565,416
7250105,Polders Klemskerke (hoofdcomplex 5 ganzentellingen),568,413
7250101,Polders Damme-Dudzele (hoofdcomplex 1 ganzentellingen),576,404
3153313,Plas Kanaal-Molenberg DOEL,585,388
7250104,Polders Stalhille-Oudenburg (hoofdcomplex 4 ganzentellingen),603,365
7250108,Polders Achterhaven Zeebrugge-Lissewege (hoofdcomplex 8 ganzentellingen),608,362
3153144,Plas Indaver KALLO,611,360
3153143,Steenland Kanaal KALLO,620,348
7250110,Polders Zwin Knokke-Heist (hoofdcomplex 10 ganzentellingen),674,298
7250111,Polders Hoeke-Oostkerke (hoofdcomplex 11 ganzentellingen),725,252
7250103,Polders Houtave (hoofdcomplex 3 ganzentellingen),733,245
3153333,Beek O.T. DOEL,753,228
3151142,Plasje Zwartkopmeeuw ANTWERPEN,762,221
3153319,Henkel DOEL,767,218
3153125,Ketenislaan KALLO,799,184
3153101,Kromme Elleboog KALLO,820,169
3153330,Halterman DOEL,828,159
7250109,Polders Westkapelle-Ramskapelle (hoofdcomplex 9 ganzentellingen),854,144
7250106,Polders Vlissegem (hoofdcomplex 6 ganzentellingen),857,143
7250112,Polders Lapscheure (hoofdcomplex 12 ganzentellingen),874,128
3152403,Verrebroekdok Noord VERREBROEK,912,103
2091304,Oude Durme (Weymeersbroek) HAMME,951,82
7250102,Polders Meetkerke (hoofdcomplex 2 ganzentellingen),964,77
3151503,Weilandcomplex WUUSTWEZEL,972,75
3153145,Plas Lawter KALLO,1004,66
4231502,Demervallei AARSCHOT,1021,61
2053301,Put autostrade (hondeclub) BEERVELDE E3-PUT,1042,57
3154303,Piet-Heintunnel KALLO-DOEL,1058,52
3161325,Blauwe Kei LOMMEL,1063,50
3151164,Schor Scheldelaan (vanaf 2012) ANTWERPEN,1085,45
3153146,HASOP KALLO,1170,29
4232801,Vijvers HOELEDEN,1168,29
4231805,Wachtbekken en vijvers LUBBEEK,1186,26
2091305,Durme brug Waasmunster - Mirabrug,1185,26
3153320,OT Henkel DOEL,1203,24
2052602,Texaco-vlakte DESTELDONK,1303,16
3151202,Weidecomplex ESSEN-Hoek,1333,14
3155103,Weerijsvallei LOENHOUT,1384,12
1040803,Waterspaarbekken (Izegemstraat) ARDOOIE,1421,11
3161327,Sas I MOL,1401,11
3155102,Weilanden LOENHOUT-MEER,1432,10
1031810,Complex Brugge (overige gebieden) BRUGGE,1433,10
3151151,Opel Belgium ANTWERPEN,1488,8
3150110,Keetheuvel KALMTHOUT,1543,6
1040901,Bufferbekken BEVEREN (Roeselare),1589,5
5220702,Sluis Albertkanaal Genk,1632,4
4113201,Ipsvoorde NIEUWENRODE,1691,3
3155104,Weilanden LOENHOUT-HEIBAART,1660,3
2053005,Sifferdok GENT,1690,3
4112105,"Slachthuizen, Anderlecht",1689,3
3154603,Weilanden MEER/MEERLE,1659,3
1010523,Hannecart OOSTDUINKERKE,1808,2
4231702,Laakdal TREMELO,1849,1
1012702,Bellewaerde Zillebeke,1896,1
2053704,"Vrouwkenshoekkreek/Blokkreek, SINT-LAUREINS",1936,1
3130702,Kesselhof KESSEL,1932,1
