A;X;Y
A;2.70161679;51.12985653
A;2.70356859;51.13057823
A;2.69945239;51.12909124
A;2.69781599;51.13161574
A;2.69882407;51.13145692
A;2.69799698;51.12928000
A;2.69933700;51.12916108
A;2.69888424;51.13325227
A;2.69018583;51.13133542
A;2.68983056;51.13559286
A;2.67867553;51.13102838
A;2.71647476;51.12426131
A;2.71620112;51.12510308
A;2.70514639;51.12365754
A;2.70210339;51.12178865
A;2.69984364;51.12452606
A;2.69783016;51.12026326
A;2.69713579;51.12346513
A;2.66524559;51.12216677
A;2.62863787;51.09494340
A;2.62683029;51.09557651
A;2.63335834;51.09975642
A;2.63360164;51.09945281
A;2.63470410;51.09977507
A;2.63261643;51.09650192
A;2.62890707;51.09575850
A;2.63163726;51.09704456
A;2.63380521;51.09876635
A;2.65231314;51.11323822
A;2.65280253;51.11361675
A;2.63047492;51.10945089
A;2.69320572;51.13686731
A;2.71573679;51.12707988
A;3.37159974;51.35195877
A;3.35236441;51.35908851
A;3.35484261;51.36043119
A;3.34661196;51.35928571
A;3.33822840;51.35944382
A;3.33637424;51.36029694
A;3.34449740;51.35930902
A;3.33726174;51.35829939
A;3.33888807;51.35859554
A;3.34254965;51.35852150
A;3.34276037;51.35684344
A;3.33060354;51.35948794
A;3.33454788;51.35564310
A;3.33224623;51.35219968
A;3.33774762;51.34334566
A;3.34021109;51.34353193
A;3.34170636;51.34757090
A;3.33616294;51.34837753
A;3.33229247;51.34392146
A;3.33499639;51.34589466
A;3.33548789;51.35111558
A;3.33318570;51.35119284
A;3.33052704;51.35052721
A;3.32672176;51.34461299
A;3.32859248;51.34408132
A;3.32196450;51.34564487
A;2.67463527;51.11119074
A;2.67899973;51.11120818
A;2.65712599;51.11497947
A;2.64114816;51.10172253
A;2.62964118;51.10179507
A;2.62917784;51.10280278
A;2.63694326;51.10660665
A;2.63206546;51.10488330
A;2.63255543;51.10490762
A;2.63472739;51.10003935
A;2.63626216;51.10015213
A;2.62808261;51.10886499
A;3.33152186;51.35504043
A;3.33327553;51.35415490
A;3.33151847;51.35524983
A;3.32737435;51.35978430
A;3.32873203;51.35955761
A;3.32810273;51.35322386
A;3.32818255;51.35478481
A;3.32833915;51.35411288
A;3.32396149;51.35830842
A;3.32450297;51.35817799
A;3.32769467;51.35798492
A;3.32970845;51.35382499
A;3.37101637;51.34305378
A;3.37024744;51.34698796
A;3.37032529;51.34659709
A;3.37103866;51.34464541
A;3.37152204;51.35126206
A;3.37288483;51.35034543
A;3.36206465;51.35060215
A;3.35683927;51.34836086
A;3.33802885;51.34580271
A;3.33800871;51.34410201
A;3.32918369;51.34824626
A;3.32236640;51.34879404
A;3.32144781;51.34845240
A;3.32187302;51.34910872
A;3.31874988;51.34306226
A;3.32122151;51.34433629
A;3.32054866;51.34313693
A;3.32878213;51.35020823
A;3.31874164;51.33983114
A;3.32326309;51.34203154
A;3.32989934;51.34172539
A;3.31409434;51.33471236
A;3.27571460;51.33673631
A;3.26990589;51.33984475
A;3.25106096;51.33597611
A;3.25559612;51.33536584
A;3.24961929;51.34103669
A;3.22978900;51.33809653
A;3.23007327;51.33758156
A;3.23053078;51.33780623
A;3.23036932;51.33818614
A;3.23049145;51.33843274
A;3.23049806;51.33883843
A;3.31690394;51.34970283
A;3.28075199;51.34538777
A;3.32811624;51.32156732
A;3.23668524;51.32310925
A;3.23640586;51.32295722
A;3.23824975;51.32400152
A;3.23477544;51.32240643
A;3.23439916;51.32235926
A;3.23430676;51.32207521
A;3.23532625;51.32385242
A;3.23331347;51.32475787
A;3.23388830;51.32399581
A;3.36973306;51.33211976
A;3.35579387;51.33229155
A;3.35701534;51.33147540
A;3.35526903;51.33088043
A;3.35559262;51.32983910
A;3.35268101;51.32961116
A;3.33224061;51.32966630
A;3.30869746;51.33382316
A;3.30773427;51.32936257
A;3.30636624;51.32743611
A;3.30610841;51.32656371
A;3.30461624;51.33007421
A;3.30414881;51.32925793
A;3.30305323;51.32858101
A;3.30304967;51.32772539
