A;X;Y
A;3.30136085;51.32869631
A;3.30072574;51.33115586
A;3.23830246;51.32510288
A;3.23018897;51.32711905
A;3.23061507;51.32716775
A;3.23116723;51.32788695
A;3.23059107;51.32814913
A;3.23132500;51.32823054
A;3.23166975;51.32869490
A;3.23061491;51.32911609
A;3.23209174;51.32994970
A;3.23254045;51.32935399
A;3.23237734;51.32901119
A;3.23106354;51.32550802
A;3.22958157;51.33289877
A;3.37249129;51.33952415
A;3.36953454;51.33597545
A;3.36767553;51.33414711
A;3.34848530;51.33630059
A;3.34813441;51.33478513
A;3.33979758;51.33708489
A;3.33968086;51.33491832
A;3.33627851;51.33739804
A;3.33607506;51.33667442
A;3.33082278;51.33963454
A;3.33531907;51.33859277
A;3.34046381;51.34151355
A;3.22729541;51.33758948
A;3.34279908;51.36112981
A;3.33641479;51.36173623
A;3.33375926;51.36098211
A;3.33482765;51.36195755
A;2.72806974;51.14256287
A;2.72114379;51.13846788
A;2.72235440;51.13831818
A;2.72192060;51.13870851
A;2.72158827;51.13913172
A;2.72096498;51.13918458
A;2.72235514;51.13985199
A;2.72069446;51.13897365
A;2.72324449;51.13861653
A;2.71701877;51.13885553
A;2.72089399;51.14028832
A;2.71187316;51.14287699
A;2.72746942;51.13077030
A;2.72687087;51.13147494
A;2.72055192;51.13036540
A;2.72291634;51.13078402
A;2.74088868;51.13384969
A;2.73731699;51.13094196
A;2.74280858;51.14754203
A;2.73298018;51.15239472
A;2.73350631;51.15025263
A;2.73377043;51.14983411
A;2.99754642;51.24899853
A;2.99632866;51.25139590
A;2.99631889;51.24601629
A;2.98960301;51.24890624
A;2.99173726;51.24843364
A;2.99230767;51.24857707
A;2.99199549;51.24908333
A;2.98843083;51.24870182
A;2.98860862;51.24823150
A;2.99174156;51.24607551
A;2.99173771;51.24573499
A;2.99239650;51.24556854
A;2.99080458;51.24512719
A;2.99033772;51.24498095
A;2.99160846;51.24531106
A;2.99206303;51.24629751
A;2.98916424;51.24520257
A;2.98415809;51.25203745
A;2.98642879;51.25734316
A;3.04573455;51.27554079
A;2.99494240;51.26171474
A;3.00183206;51.26417208
A;3.00974390;51.26708832
A;3.00903957;51.26765778
A;3.01105654;51.26848116
A;3.00666489;51.26655192
A;3.05992466;51.28605717
A;3.05945618;51.28671838
A;3.06112056;51.28911991
A;3.06910408;51.28991439
A;2.94547668;51.23854205
A;2.93487052;51.23688358
A;2.86943007;51.20521913
A;2.85054021;51.20064657
A;2.85301527;51.20165853
A;2.85379984;51.20137102
A;2.84932602;51.20096572
A;2.84973813;51.20105036
A;2.85035894;51.20143321
A;2.85109592;51.20167638
A;2.85180103;51.20149094
A;2.89474914;51.21360536
A;2.92106240;51.21969258
A;3.16404815;51.32458506
A;3.16067770;51.32379638
A;3.15659051;51.32291339
A;3.16882160;51.32569182
A;3.22770274;51.33116611
A;3.22706731;51.33088351
A;3.22553288;51.33007015
A;3.22690977;51.33056241
A;3.22858756;51.33079405
A;3.22732973;51.32948608
A;3.22797202;51.32943278
A;3.22741913;51.32777657
A;3.22631662;51.33055577
A;3.22576064;51.33053194
A;3.17323784;51.32670825
A;3.15114511;51.32119410
A;3.15405065;51.32180885
A;2.79327042;51.17759029
A;2.79519843;51.17834928
A;2.79555131;51.17761819
A;2.83675605;51.19596119
A;2.77647225;51.14875919
A;2.77594472;51.14730754
A;2.77705741;51.14677493
A;2.77650431;51.14651667
A;2.77484053;51.14617660
A;2.77291955;51.14952397
A;2.77034668;51.14875510
A;2.77103191;51.15095911
A;2.59004812;51.07458126
A;2.58718462;51.07415811
A;2.57190557;51.08097948
A;2.56496468;51.07961644
A;2.55809587;51.07951115
A;2.56461400;51.07654609
A;2.56255940;51.07432003
A;2.57169123;51.08011714
A;2.79467555;51.17673803
A;2.79211974;51.17563648
A;2.70949693;51.13607659
A;2.70092791;51.12750969
A;2.70676353;51.13361567
A;2.70461695;51.13444706
A;2.70194478;51.13308287
A;2.70331713;51.12856690
A;2.70711509;51.13133906
A;2.70725886;51.13326264
A;2.70000629;51.12927989
A;2.70656430;51.13116430
A;2.70606708;51.12814645
A;2.71120723;51.13012712
A;2.56100468;51.08010371
A;2.56028722;51.08088416
A;2.55926049;51.07994167
A;2.55858174;51.08083093
A;2.55889166;51.08003747
A;2.55751187;51.08044921
A;2.55638366;51.07880162
A;2.55274281;51.08159039
A;2.55332625;51.08097484
A;2.55277796;51.08080129
A;2.55174363;51.08103691
A;2.57918061;51.06533282
A;2.58410095;51.06837920
A;2.57398756;51.06472078
A;2.55967335;51.07200666
A;2.56029375;51.07210673
A;2.56011168;51.07200235
A;2.56028891;51.07235924
A;2.60034262;51.06932509
A;2.60058994;51.06875526
A;2.60001164;51.07039014
A;2.59097290;51.06710854
A;2.59752738;51.06991986
A;2.58852721;51.06574542
A;2.59004710;51.06784489
A;2.59355620;51.07009312
A;2.59425461;51.06963051
A;2.59827768;51.06943520
A;2.58702585;51.06669185
A;2.59441755;51.06894584
A;2.60872129;51.10189137
A;2.60876086;51.10142390
A;2.59753466;51.10093679
A;2.57496764;51.06344454
A;2.57676884;51.06153537
A;2.57794636;51.06195909
A;2.57148849;51.06297849
A;2.56855426;51.06234227
A;2.56948287;51.05914157
A;2.57038962;51.06010616
A;2.57030002;51.06038213
A;2.56973213;51.06115533
A;2.61380647;51.08271540
A;2.61196568;51.08937883
A;2.61032421;51.08942432
A;2.60970555;51.08890258
A;2.60972796;51.08822351
A;2.60741214;51.08725875
A;2.60979563;51.08745857
A;2.60712454;51.08630478
A;2.60850942;51.08789671
A;2.61028745;51.08801749
A;2.61136908;51.08885137
A;2.60894161;51.08750208
A;2.61044774;51.08868810
A;2.61082317;51.08817501
A;2.60259300;51.08972736
A;2.61173387;51.08970710
A;2.57305685;51.08346822
A;2.57518449;51.08772161
A;2.56951779;51.08293557
A;2.55751589;51.08976955
A;2.56069675;51.09065602
A;2.55557940;51.08181977
A;2.55433059;51.08195592
A;2.55402759;51.08215814
A;2.55330144;51.08190857
A;2.55287635;51.08773411
A;2.55290349;51.08712258
A;2.55208252;51.08651340
A;2.54953403;51.08820809
A;2.54978118;51.08831169
A;2.54988182;51.08836280
A;2.54998337;51.08839112
A;2.55202177;51.08786087
A;2.55701491;51.08953532
A;2.61561677;51.09163130
A;2.61332585;51.09727847
A;2.61421976;51.09113845
A;2.61267929;51.09168048
A;2.60351520;51.09811919
A;2.59941484;51.09133387
A;2.55866522;51.05184898
A;2.55510301;51.04769355
A;2.53913425;51.05152296
A;2.54309628;51.06323679
A;2.54358185;51.05805556
A;2.54463647;51.05479948
A;2.54929060;51.05571593
A;2.55254202;51.05924961
A;2.53882892;51.07943516
A;2.54026484;51.06248645
A;2.54191877;51.06105048
A;2.53766668;51.08080565
A;2.53961308;51.08311760
A;2.54015946;51.08167258
A;3.33070376;51.35345187
A;3.33269677;51.35615148
A;3.33716127;51.35864908
A;3.33740979;51.35800855
A;3.34624367;51.36009351
A;3.24681560;51.31115983
A;3.24824123;51.31147023
A;2.99621823;51.24738846
A;2.99660864;51.24757144
A;2.99690219;51.24749155
A;2.99715026;51.24740092
A;2.99738751;51.24733069
A;3.02450997;51.26970609
A;2.66593736;51.11757689
A;2.85251570;51.20212672
A;2.85358351;51.20341350
A;2.64532858;51.10308933
A;3.31549956;51.33038555
A;3.31582702;51.33043961
A;3.34697937;51.34500709
A;3.33292248;51.34389391
A;3.31800466;51.35537340
A;3.33472869;51.35808217
A;2.66455827;51.11837590
A;3.34324638;51.36210875
A;3.34533546;51.36106946
A;3.34896308;51.35872315
A;3.35812967;51.35969613
A;3.35919623;51.35975979
A;3.35983684;51.35936498
A;3.36130298;51.35942747
A;3.35636602;51.36548903
A;3.33480166;51.35359582
A;3.33100092;51.35412663
A;3.33025992;51.35550148
A;3.32235293;51.35694218
A;3.32305243;51.35449513
A;3.32553309;51.35425559
A;3.32615938;51.35441242
A;2.98327728;51.25806815
A;2.98562842;51.25690333
A;3.33475071;51.35249230
A;3.33843736;51.35451307
A;3.34058754;51.35449743
A;3.34301867;51.35501914
A;3.34453943;51.35510086
A;3.34620724;51.35497121
A;3.33795829;51.35149423
A;3.34178163;51.35181522
A;3.34674550;51.35396953
A;3.35426856;51.35628026
A;3.34478515;51.35361393
A;3.34360333;51.35245760
A;3.34599908;51.35685550
A;3.34931142;51.35677426
A;2.56592907;51.05858057
A;2.57178243;51.06038660
A;2.57526746;51.06076751
A;2.59010273;51.06675898
A;2.59051068;51.06688413
A;2.59072794;51.06668907
A;2.59144734;51.06671755
A;2.59132779;51.06691849
A;2.59086131;51.06649275
A;2.59207064;51.06706632
A;2.59196580;51.06687963
A;2.59402067;51.06803008
A;2.99347053;51.24825345
A;2.55051172;51.08863703
A;2.55053344;51.08856575
A;3.04397309;51.28207015
A;2.70911363;51.12389433
A;2.70666408;51.12538114
A;3.32685167;51.35375827
A;3.32981614;51.35766547
A;2.56552341;51.06317394
A;3.33583680;51.35364605
A;3.33783327;51.35375837
A;3.33956576;51.35152227
A;3.34952629;51.35427372
A;3.35336260;51.35725879
A;3.35285571;51.35521728
A;3.36098426;51.35992202
A;2.76876524;51.14903575
A;2.77936635;51.14730456
A;3.23590323;51.32843767
A;3.34705637;51.35691325
A;3.34846257;51.35685205
A;3.34783283;51.35430209
A;3.02319326;51.27306999
A;2.56411617;51.06371017
A;3.07023768;51.29215481
A;2.60290088;51.10343595
A;2.63709059;51.10084685
A;2.63697150;51.10105368
A;2.70343050;51.12930460
A;2.70348935;51.12928331
A;2.70215926;51.12885514
A;2.70285850;51.12898361
A;2.70067369;51.12921386
A;2.70098640;51.12950877
A;2.70138046;51.12959334
A;3.32507656;51.35469209
A;3.33953212;51.35745486
A;3.33910502;51.35763229
A;3.33921028;51.35749262
A;3.33048701;51.35581806
A;3.32684636;51.35352202
A;3.32826265;51.35337273
A;3.32645736;51.35491898
A;3.32625386;51.35492965
A;3.36209432;51.35963252
A;2.56726850;51.07455679
A;2.59786749;51.06916329
A;2.60276578;51.07275586
A;2.73753226;51.15212332
A;2.74187689;51.15199889
A;2.75593507;51.16166530
A;2.75874920;51.16261358
A;3.07046763;51.29565419
A;3.34298657;51.35206351
A;2.55792010;51.08994803
A;2.55845477;51.09015713
A;2.70166991;51.12938066
A;3.16034430;51.32056695
A;3.16585198;51.32517426
A;3.16465045;51.32302583
A;2.63417302;51.10308506
A;3.34726315;51.35260992
A;3.25061507;51.34078808
A;3.00893995;51.24908984
A;3.32412241;51.35480295
A;3.00106652;51.24750156
A;3.12789595;51.30912549
A;2.77700895;51.14734494
A;3.00355968;51.26511953
A;3.22727808;51.33699862
A;3.22738321;51.33604426
A;3.22599380;51.33052660
A;2.75592970;51.16193342
A;2.75752271;51.16246651
A;2.75641762;51.16219575
A;2.84897988;51.20091994
A;2.84901958;51.20024845
A;2.85363845;51.20074453
A;2.85307150;51.20200845
A;2.70568432;51.12385802
A;3.34370576;51.36143069
A;3.34242416;51.36242576
A;3.34247727;51.36149485
A;3.36029630;51.35852041
A;3.35711671;51.35943151
A;3.34745211;51.35275991
A;3.34851160;51.35308803
A;3.05619416;51.28710320
A;3.05357541;51.28625014
A;2.56187833;51.06793915
A;2.56230187;51.06738553
A;2.56149462;51.06851250
A;2.59320281;51.06717963
A;2.59362509;51.06737433
A;2.85377905;51.20266536
A;2.85267704;51.20270064
A;2.85799092;51.20499227
A;3.04409683;51.28040685
A;2.99100793;51.24375264
A;3.04451302;51.27903876
A;3.04364201;51.27742535
A;3.01563940;51.26959748

