WaarnemerNaam1;WaarnemerNaam2;WaarnemerNaam3;PoelCode;Datum;SoortNaamNl;Exuvium;Teneral;Mannetje;Wijfje;Adult onbepaald;Tandem;Eiafzettend;Opmerking_Poel;Opmerking_Soort
Ward Vercruysse;;;BRE_002;13/07/2010;Bloedrode heidelibel;;;3;;;;;;
Ward Vercruysse;;;BRE_002;13/07/2010;Gewone oeverlibel;;;1;;;;;;
Ward Vercruysse;;;BRE_002;13/07/2010;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;BRE_002;13/07/2010;Watersnuffel;;;4;;;;;;
Simon Feys;;;BRE_002;1/09/2010;Lantaarntje;;;1;1;1;;;;Tandems gezien, niet geteld
Simon Feys;;;BRE_002;1/09/2010;Paardenbijter;;;2;1;;;;;Tandems gezien, niet geteld
Simon Feys;;;BRE_002;1/09/2010;Bloedrode heidelibel;;;1;;;;;;
Simon Feys;;;BRE_002;1/09/2010;Bruinrode heidelibel;;;2;;;;;;
Ward Vercruysse;;;BRE_006;21/05/2010;Vuurjuffer;;;6;3;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;BRE_006;21/05/2010;Azuurwaterjuffer;;;25;20;;;;;
Ward Vercruysse;;;BRE_006;21/05/2010;Lantaarntje;;;;50;100;;;;
Simon Feys;;;BRE_006;13/07/2010;Lantaarntje;;2;15;15;25;;;;Tandems gezien, niet geteld
Simon Feys;;;BRE_006;13/07/2010;Gewone oeverlibel;;;2;1;;;;;
Simon Feys;;;BRE_006;13/07/2010;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;BRE_006;1/09/2010;Paardenbijter;;;5;2;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;BRE_006;1/09/2010;Bruinrode heidelibel;;;1;;;;;;
Ward Vercruysse;;;BRE_009;19/05/2014;Azuurwaterjuffer;;;1;;;;;;
Ward Vercruysse;;;BRE_009;5/08/2014;Bruinrode heidelibel;;;;4;;;;;
Ward Vercruysse;;;BRE_009;5/08/2014;Paardenbijter;;;1;2;;;;;
Ward Vercruysse;;;BRE_010;21/05/2010;Tengere grasjuffer;;;2;;;;;;
Ward Vercruysse;;;BRE_010;4/06/2010;Azuurwaterjuffer;;;1;;;;;;
Ward Vercruysse;;;BRE_010;4/06/2010;Lantaarntje;;;1;;2;;;;
Ward Vercruysse;;;BRE_010;4/06/2010;Platbuik;;;1;;;;;;
Ward Vercruysse;;;BRE_010;4/06/2010;Tengere grasjuffer;;;1;;;;;;
Simon Feys;;;BRE_010;13/07/2010;Lantaarntje;;1;2;2;8;;;;Tandems gezien, niet geteld
Simon Feys;;;BRE_010;13/07/2010;Zwervende pantserjuffer;;;7;;;;;;
Ward Vercruysse;;;BRE_010;1/09/2010;Lantaarntje;;;1;1;2;;;;
Ward Vercruysse;;;BRE_010;1/09/2010;Paardenbijter;;;2;;;;;;
Ward Vercruysse;;;BRE_010;1/09/2010;Zwervende pantserjuffer;;;10;;1;;;;
Ward Vercruysse;;;BRE_011;21/05/2010;Lantaarntje;;;;;1;;;;
Ward Vercruysse;;;BRE_011;4/06/2010;Platbuik;;;1;;;;;;
Ward Vercruysse;;;BRE_011;4/06/2010;Tengere grasjuffer;;;;1;;;;;
Ward Vercruysse;;;BRE_011;13/07/2010;Azuurwaterjuffer;;;3;3;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;BRE_011;13/07/2010;Lantaarntje;;1;2;3;;;;;
Ward Vercruysse;;;BRE_011;13/07/2010;Zwervende pantserjuffer;;;1;;;;;;
Simon Feys;;;BRE_011;1/09/2010;Paardenbijter;;;1;1;;;;;Tandems gezien, niet geteld
Simon Feys;;;BRE_011;1/09/2010;Bruinrode heidelibel;;;1;;;;;;
Simon Feys;;;BRE_011;1/09/2010;Lantaarntje;;;;;2;;;;
Simon Feys;;;BRE_011;1/09/2010;Zwervende pantserjuffer;;;8;;;;;;
Ward Vercruysse;;;BRE_012;19/05/2014;Viervlek;;;;1;1;;x;;
Ward Vercruysse;;;BRE_012;5/08/2014;Gewone oeverlibel;;;;1;;;x;;
Ward Vercruysse;;;BRE_012;5/08/2014;Grote keizerlibel;;;;1;;;x;;
Ward Vercruysse;;;BRE_012;19/05/2014;Azuurwaterjuffer;;;6;;;5;;;
Ward Vercruysse;;;BRE_012;19/05/2014;Gaffelwaterjuffer;;;1;;;;;;
Ward Vercruysse;;;BRE_012;19/05/2014;Lantaarntje;;;;;3;;;;
Ward Vercruysse;;;BRE_012;19/05/2014;Platbuik;;;1;1;;;;;
Ward Vercruysse;;;BRE_012;19/05/2014;Tengere grasjuffer;;;3;;;2;;;
Ward Vercruysse;;;BRE_012;19/05/2014;Variabele waterjuffer;;;1;;;;;;
Ward Vercruysse;;;BRE_012;19/05/2014;Vuurjuffer;;;;1;;;;;
Ward Vercruysse;;;BRE_012;2/07/2014;Azuurwaterjuffer;;;1;;;;;;
Ward Vercruysse;;;BRE_012;2/07/2014;Gaffelwaterjuffer;;;10;;;;;;
Ward Vercruysse;;;BRE_012;2/07/2014;Houtpantserjuffer;;1;;;;;;;
Ward Vercruysse;;;BRE_012;2/07/2014;Lantaarntje;;;;;4;1;;;
Ward Vercruysse;;;BRE_012;5/08/2014;Bloedrode heidelibel;;;1;;;;;;
Ward Vercruysse;;;BRE_012;5/08/2014;Bruinrode heidelibel;;;2;1;;;;;
Ward Vercruysse;;;BRE_012;5/08/2014;Houtpantserjuffer;;;4;;;2;;;
Ward Vercruysse;;;BRE_012;5/08/2014;Kleine roodoogjuffer;;;3;;;;;;
Ward Vercruysse;;;BRE_012;5/08/2014;Lantaarntje;;;;;14;5;;;
Ward Vercruysse;;;BRE_012;5/08/2014;Tengere grasjuffer;;1;4;1;;2;;;
Ward Vercruysse;;;BRE_012;5/08/2014;Watersnuffel;;;2;;;;;;
Ward Vercruysse;;;BRE_012;5/08/2014;Zwervende pantserjuffer;;;3;;;;;;
Ward Vercruysse;;;CAB_001;30/05/2012;Grote roodoogjuffer;;;1;;;1;x;;
Ward Vercruysse;;;CAB_001;30/05/2012;Viervlek;;;;1;16;;x;;
Ward Vercruysse;;;CAB_001;4/07/2012;Grote keizerlibel;;;2;2;;;x;;
Ward Vercruysse;;;CAB_001;4/07/2012;Platbuik;;;2;2;;1;x;;
Ward Vercruysse;;;CAB_001;4/07/2012;Viervlek;;;;;2;;x;;
Ward Vercruysse;;;CAB_001;10/08/2012;Grote keizerlibel;;;3;1;;;x;;
Ward Vercruysse;;;CAB_001;14/05/2009;Azuurwaterjuffer;;2;70;50;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_001;24/06/2009;Azuurwaterjuffer;;;90;40;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_001;14/05/2009;Vuurjuffer;;;7;3;1;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_001;14/05/2009;Lantaarntje;;;1;;3;;;;
Ward Vercruysse;;;CAB_001;14/05/2009;Platbuik;;;2;;;;;;
Ward Vercruysse;;;CAB_001;24/06/2009;Gaffelwaterjuffer;;;20;4;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_001;24/06/2009;Gewone oeverlibel;;;2;1;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_001;24/06/2009;Bloedrode heidelibel;;1;;;;;;;
Ward Vercruysse;;;CAB_001;24/06/2009;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;CAB_001;24/06/2009;Houtpantserjuffer;;5;;;;;;;
Ward Vercruysse;;;CAB_001;24/06/2009;Kleine roodoogjuffer;;;1;;;;;;
Ward Vercruysse;;;CAB_001;24/06/2009;Lantaarntje;;;2;;5;;;;
Ward Vercruysse;;;CAB_001;24/06/2009;Platbuik;;;2;;;;;;
Ward Vercruysse;;;CAB_001;24/06/2009;Viervlek;;;;;3;;;;
Ward Vercruysse;;;CAB_001;24/06/2009;Watersnuffel;;;2;;;;;;
Simon Feys;;;CAB_001;10/08/2009;Bloedrode heidelibel;;;35;5;;;;;Tandems gezien, niet geteld
Simon Feys;;;CAB_001;10/08/2009;Houtpantserjuffer;;;20;15;;;;;Tandems gezien, niet geteld
Simon Feys;;;CAB_001;10/08/2009;Kleine roodoogjuffer;;;30;10;;;;;Tandems gezien, niet geteld
Simon Feys;;;CAB_001;10/08/2009;Blauwe glazenmaker;;;1;;;;;;
Simon Feys;;;CAB_001;10/08/2009;Bruinrode heidelibel;;;1;;;;;;
Simon Feys;;;CAB_001;10/08/2009;Lantaarntje;;;10;;;;;;
Simon Feys;;;CAB_001;10/08/2009;Watersnuffel;;;15;;;;;;
Ward Vercruysse;;;CAB_001;30/05/2012;Azuurwaterjuffer;;;25;;;16;;;
Ward Vercruysse;;;CAB_001;30/05/2012;Bruine winterjuffer;;;6;;;;;;
Ward Vercruysse;;;CAB_001;30/05/2012;Gaffelwaterjuffer;;;9;;;;;;
Ward Vercruysse;;;CAB_001;30/05/2012;Gewone oeverlibel;;;1;;3;;;;
Ward Vercruysse;;;CAB_001;30/05/2012;Lantaarntje;;;;;99;1;;;
Ward Vercruysse;;;CAB_001;30/05/2012;Platbuik;;;2;;;;;;
Ward Vercruysse;;;CAB_001;30/05/2012;Tengere grasjuffer;;;4;;;;;;
Ward Vercruysse;;;CAB_001;30/05/2012;Watersnuffel;;;5;;;;;;
Ward Vercruysse;;;CAB_001;30/05/2012;Zwervende heidelibel;;;2;;;;;;
Ward Vercruysse;;;CAB_001;4/07/2012;Azuurwaterjuffer;;;16;;;13;;;
Ward Vercruysse;;;CAB_001;4/07/2012;Bloedrode heidelibel;;;6;;;2;;;
Ward Vercruysse;;;CAB_001;4/07/2012;Bruinrode heidelibel;;;1;1;;;;;
Ward Vercruysse;;;CAB_001;4/07/2012;Gaffelwaterjuffer;;;34;;;29;;;
Ward Vercruysse;;;CAB_001;4/07/2012;Gewone oeverlibel;;;6;1;1;1;;;
Ward Vercruysse;;;CAB_001;4/07/2012;Kleine roodoogjuffer;;;40;;;26;;;
Ward Vercruysse;;;CAB_001;4/07/2012;Lantaarntje;;;23;;;10;;;
Ward Vercruysse;;;CAB_001;4/07/2012;Watersnuffel;;;17;;;1;;;
Ward Vercruysse;;;CAB_001;4/07/2012;Zwervende heidelibel;;;3;;;1;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Azuurwaterjuffer;;;1;;;;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Bloedrode heidelibel;;;7;1;;2;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Bruine winterjuffer;;;4;2;6;;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Bruinrode heidelibel;;;4;;;1;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Gaffelwaterjuffer;;;2;;;;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Gewone oeverlibel;;;3;;;1;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Houtpantserjuffer;;;1;;;;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Kanaaljuffer;;;6;;;;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Kleine roodoogjuffer;;;113;;;59;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Lantaarntje;;;;;102;14;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Tengere grasjuffer;;;3;2;;1;;;
Ward Vercruysse;;;CAB_001;10/08/2012;Watersnuffel;;;12;;;;;;
Ward Vercruysse;;;CAB_002;8/09/2008;Bruinrode heidelibel;;;4;1;;;x;;Tandems gezien, niet geteld
Simon Feys;;;CAB_002;9/06/2008;Azuurwaterjuffer;;;13;3;;;;;Tandems gezien, niet geteld
Simon Feys;;;CAB_002;9/06/2008;Lantaarntje;;;;;8;;;;
Simon Feys;;;CAB_002;9/06/2008;Platbuik;;;1;;;;;;
Simon Feys;;;CAB_002;30/06/2008;Lantaarntje;;;;;1;;;;
Ward Vercruysse;;;CAB_002;8/09/2008;Houtpantserjuffer;;;2;2;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_002;8/09/2008;Bloedrode heidelibel;;;1;;;;;;
Ward Vercruysse;;;CAB_002;8/09/2008;Lantaarntje;;;;1;;;;;
Simon Feys;;;CAB_003;9/06/2008;Azuurwaterjuffer;;;13;6;;;;;Tandems gezien, niet geteld
Simon Feys;;;CAB_003;9/06/2008;Lantaarntje;;;;;5;;;;
Simon Feys;;;CAB_003;9/06/2008;Platbuik;;;2;;;;;;
Simon Feys;;;CAB_003;30/06/2008;Bloedrode heidelibel;;;1;1;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_003;8/09/2008;Heidelibel spec;;;1;;;;;dichtgegroeid met kroos;
Ward Vercruysse;;;CAB_003;8/09/2008;Paardenbijter;;;1;;;;;;
Ward Vercruysse;;;CAB_004;9/06/2008;Azuurwaterjuffer;;;1;1;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_004;9/06/2008;Lantaarntje;;;1;1;10;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_004;30/06/2008;Gewone oeverlibel;;;1;1;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_004;30/06/2008;Lantaarntje;;;2;2;20;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_004;8/09/2008;Paardenbijter;;;1;1;;;x;;
Ward Vercruysse;;;CAB_004;9/06/2008;Gaffelwaterjuffer;;;3;1;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_004;9/06/2008;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;CAB_004;9/06/2008;Platbuik;;;1;;;;;;
Ward Vercruysse;;;CAB_004;8/09/2008;Blauwe glazenmaker;;;1;;;;;;
Ward Vercruysse;;;CAB_004;8/09/2008;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;CAB_004;8/09/2008;Lantaarntje;;;;;2;;;;
Ward Vercruysse;;;CAB_005;9/06/2008;Lantaarntje;;;5;5;30;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_005;30/06/2008;Lantaarntje;;;;1;10;;x;;
Ward Vercruysse;;;CAB_005;9/06/2008;Azuurwaterjuffer;;;3;1;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_005;9/06/2008;Gaffelwaterjuffer;;;3;;;;;;
Ward Vercruysse;;;CAB_005;9/06/2008;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;CAB_005;9/06/2008;Platbuik;;;2;;1;;;;
Ward Vercruysse;;;CAB_005;9/06/2008;Tengere grasjuffer;;;1;;;;;;
Ward Vercruysse;;;CAB_005;30/06/2008;Bruinrode heidelibel;;1;;;;;;;
Ward Vercruysse;;;CAB_005;30/06/2008;Platbuik;;;2;;;;;;
Ward Vercruysse;;;CAB_005;30/06/2008;Watersnuffel;;;2;;;;;;
Ward Vercruysse;;;CAB_005;8/09/2008;Bruinrode heidelibel;;;2;1;;;;;
Ward Vercruysse;;;CAB_005;8/09/2008;Lantaarntje;;;1;;;;;;
Ward Vercruysse;;;CAB_005;8/09/2008;Paardenbijter;;;1;;;;;;
Wouter Van Gompel;;;CAB_006;8/06/2009;Azuurwaterjuffer;;;1;1;;;x;veel algen;Tandems gezien, niet geteld
Wouter Van Gompel;;;CAB_006;8/06/2009;Lantaarntje;;;;;1;;;;
Wouter Van Gompel;;;CAB_006;8/06/2009;Platbuik;;;;;1;;;;
Wouter Van Gompel;;;CAB_006;2/07/2009;Lantaarntje;;;2;1;;;;;Tandems gezien, niet geteld
Simon Feys;;;CAB_006;14/08/2009;Lantaarntje;;;1;1;6;;;;Tandems gezien, niet geteld
Ward Vercruysse;Simon Feys;;CAB_007;9/06/2008;Lantaarntje;;;10;10;30;;;;Tandems gezien, niet geteld
Ward Vercruysse;Simon Feys;;CAB_007;9/06/2008;Watersnuffel;;;21;3;;;;;Tandems gezien, niet geteld
Ward Vercruysse;Simon Feys;;CAB_007;9/06/2008;Gewone oeverlibel;;;2;;;;;;
Ward Vercruysse;Simon Feys;;CAB_007;9/06/2008;Platbuik;;;1;;;;;;
Ward Vercruysse;Simon Feys;;CAB_007;9/06/2008;Viervlek;;;;;1;;;;
Ward Vercruysse;Simon Feys;;CAB_007;30/06/2008;Lantaarntje;;;8;8;40;;;;Tandems gezien, niet geteld
Ward Vercruysse;Simon Feys;;CAB_007;30/06/2008;Azuurwaterjuffer;;;1;;;;;;
Ward Vercruysse;Simon Feys;;CAB_007;30/06/2008;Gaffelwaterjuffer;;;1;;;;;;
Ward Vercruysse;Simon Feys;;CAB_007;30/06/2008;Gewone oeverlibel;;;1;;;;;;
Ward Vercruysse;Simon Feys;;CAB_007;30/06/2008;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;Simon Feys;;CAB_007;30/06/2008;Kleine roodoogjuffer;;;1;;;;;;
Ward Vercruysse;;;CAB_007;8/09/2008;Heidelibel spec;;;1;;;;;;
Ward Vercruysse;;;CAB_007;8/09/2008;Paardenbijter;;;1;;;;;;
Ward Vercruysse;;;CAB_009;25/05/2010;Azuurwaterjuffer;;1;3;;;;;;
Ward Vercruysse;;;CAB_009;25/05/2010;Grote roodoogjuffer;;1;1;;;;;;
Ward Vercruysse;;;CAB_009;25/05/2010;Lantaarntje;;7;1;7;19;;;;
Ward Vercruysse;;;CAB_009;25/05/2010;Watersnuffel;;1;2;;;;;;
Ward Vercruysse;;;CAB_009;28/06/2010;Lantaarntje;;;13;18;30;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_009;28/06/2010;Bloedrode heidelibel;;1;;;;;;;
Ward Vercruysse;;;CAB_009;28/06/2010;Bruinrode heidelibel;;8;;;;;;;
Ward Vercruysse;;;CAB_009;28/06/2010;Gewone oeverlibel;;;1;;;;;;
Ward Vercruysse;;;CAB_009;28/06/2010;Watersnuffel;;;14;;;;;;
Simon Feys;;;CAB_009;20/08/2010;Bruinrode heidelibel;;;1;1;;;;;Tandems gezien, niet geteld
Simon Feys;;;CAB_009;20/08/2010;Bloedrode heidelibel;;;2;;;;;;
Simon Feys;;;CAB_009;20/08/2010;Lantaarntje;;;;1;1;;;;
Simon Feys;;;CAB_009;20/08/2010;Paardenbijter;;;4;;;;;;
Simon Feys;Ward Vercruysse;;CAB_010;28/06/2010;Gewone oeverlibel;;;13;3;;;x;;Tandems gezien, niet geteld
Simon Feys;Ward Vercruysse;;CAB_010;28/06/2010;Grote keizerlibel;;;1;2;;;x;;
Simon Feys;;;CAB_010;20/08/2010;Bloedrode heidelibel;;;3;2;;;x;;Tandems gezien, niet geteld
Simon Feys;;;CAB_010;20/08/2010;Bruinrode heidelibel;;;9;3;;;x;;Tandems gezien, niet geteld
Simon Feys;;;CAB_010;20/08/2010;Vuurlibel;;;2;1;;;x;;
Ward Vercruysse;;;CAB_010;25/05/2010;Grote roodoogjuffer;;;76;8;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_010;25/05/2010;Watersnuffel;;;34;3;;;;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_010;25/05/2010;Azuurwaterjuffer;;;9;1;;;;;
Ward Vercruysse;;;CAB_010;25/05/2010;Bruine winterjuffer;;;1;;2;;;;
Ward Vercruysse;;;CAB_010;25/05/2010;Gaffelwaterjuffer;;1;;;;;;;
Ward Vercruysse;;;CAB_010;25/05/2010;Gewone oeverlibel;;19;;;;;;;
Ward Vercruysse;;;CAB_010;25/05/2010;Lantaarntje;;4;3;8;36;;;;
Ward Vercruysse;;;CAB_010;25/05/2010;Viervlek;;;;;1;;;;
Simon Feys;Ward Vercruysse;;CAB_010;28/06/2010;Lantaarntje;;33;11;13;15;;;;Tandems gezien, niet geteld
Simon Feys;Ward Vercruysse;;CAB_010;28/06/2010;Watersnuffel;;1;92;4;;;;;Tandems gezien, niet geteld
Simon Feys;Ward Vercruysse;;CAB_010;28/06/2010;Azuurwaterjuffer;;;4;;;;;;
Simon Feys;Ward Vercruysse;;CAB_010;28/06/2010;Bruinrode heidelibel;;31;;;;;;;
Simon Feys;Ward Vercruysse;;CAB_010;28/06/2010;Grote roodoogjuffer;;;3;;;;;;
Simon Feys;Ward Vercruysse;;CAB_010;28/06/2010;Houtpantserjuffer;;1;;;;;;;
Simon Feys;Ward Vercruysse;;CAB_010;28/06/2010;Viervlek;;;;;5;;;;
Simon Feys;Ward Vercruysse;;CAB_010;28/06/2010;Vuurlibel;;;9;;;;;;
Simon Feys;;;CAB_010;20/08/2010;Gewone oeverlibel;;;4;;;;;;
Simon Feys;;;CAB_010;20/08/2010;Grote keizerlibel;;;2;;;;;;
Simon Feys;;;CAB_010;20/08/2010;Kleine roodoogjuffer;;;5;;;;;;
Simon Feys;;;CAB_010;20/08/2010;Lantaarntje;;;;;10;;;;
Simon Feys;;;CAB_010;20/08/2010;Paardenbijter;;;8;;;;;;
Simon Feys;;;CAB_010;20/08/2010;Watersnuffel;;;26;;;;;;
Ward Vercruysse;;;CAB_011;12/06/2009;Bruinrode heidelibel;;1;;;;;;;
Ward Vercruysse;;;CAB_011;12/06/2009;Gewone oeverlibel;;;3;;;;;;
Ward Vercruysse;;;CAB_011;12/06/2009;Grote roodoogjuffer;;;1;;;;;;
Ward Vercruysse;;;CAB_011;12/06/2009;Lantaarntje;;;1;2;;;;;
Ward Vercruysse;;;CAB_011;12/06/2009;Platbuik;;;2;;;;;;
Simon Feys;;;CAB_011;14/08/2009;Lantaarntje;;;;;1;;;;
Simon Feys;;;CAB_011;14/08/2009;Watersnuffel;;;1;;;;;;
Wouter Van Gompel;;;CAB_012;24/06/2009;Azuurwaterjuffer;;;6;2;;;x;;Tandems gezien, niet geteld
Ward Vercruysse;;;CAB_012;14/05/2009;Azuurwaterjuffer;;;1;;;;;;
Wouter Van Gompel;;;CAB_012;24/06/2009;Platbuik;;;1;;;;;;
Simon Feys;;;CAB_013;2/07/2009;Kleine roodoogjuffer;;;1;1;;;x;;Tandems gezien, niet geteld
Simon Feys;;;CAB_013;2/07/2009;Watersnuffel;;;2;1;;;x;;Tandems gezien, niet geteld
Simon Feys;;;CAB_013;12/06/2009;Platbuik;;;1;;;;;;
Simon Feys;;;CAB_013;2/07/2009;Gewone oeverlibel;;;2;;;;;;
Ward Vercruysse;;;CAB_014;20/05/2014;Platbuik;;;1;;;;;;
Ward Vercruysse;;;CAB_014;3/07/2014;Azuurwaterjuffer;;;2;;;;;;
Ward Vercruysse;;;CAB_014;3/07/2014;Lantaarntje;;;;;1;;;;
Ward Vercruysse;;;CAB_014;3/07/2014;Platbuik;;;1;;;;;;
Ward Vercruysse;;;CAB_014;4/08/2014;Bruinrode heidelibel;;;3;;;;;;
Ward Vercruysse;;;CAB_014;4/08/2014;Lantaarntje;;;;;4;;;;
Ward Vercruysse;;;CAB_018;8/09/2008;Lantaarntje;;;;1;;;x;;
Ward Vercruysse;;;CAB_018;9/06/2008;Grote keizerlibel;;;1;;;;;;
Ward Vercruysse;;;CAB_018;9/06/2008;Lantaarntje;;;;;2;;;;
Ward Vercruysse;;;CAB_018;9/06/2008;Platbuik;;;1;;;;;;
Ward Vercruysse;;;CAB_018;30/06/2008;Kleine roodoogjuffer;;1;;;;;;;
Ward Vercruysse;;;CAB_018;8/09/2008;Bruinrode heidelibel;;;;;1;;;;
Ward Vercruysse;;;CAB_020;20/05/2014;Azuurwaterjuffer;;;3;3;;1;;;
