WaarnemerNaam1;WaarnemerNaam2;WaarnemerNaam3;PoelCode;Datum;SoortNaamNl;Exuvium;Teneral;Mannetje;Wijfje;Adult onbepaald;Tandem;Eiafzettend;Opmerking_Poel;Opmerking_Soort
Ward Vercruysse;Simon Feys;;BDH_004;16/06/2010;Azuurwaterjuffer;;;2;;;;;;
Simon Feys;Ward Vercruysse;;BDH_004;19/07/2010;Bloedrode heidelibel;;;8;3;;;;;Tandems gezien, niet geteld
Simon Feys;Ward Vercruysse;;BDH_004;19/07/2010;Blauwe glazenmaker;;;1;;;;;;
Ward Vercruysse;;;BDH_005;19/05/2014;Lantaarntje;;;;1;;;x;;
Ward Vercruysse;;;BDH_005;19/05/2014;Azuurwaterjuffer;;;7;;;3;;;
Ward Vercruysse;;;BDH_005;19/05/2014;Platbuik;;;1;;;;;;
Ward Vercruysse;;;BDH_005;2/07/2014;Azuurwaterjuffer;;;5;;;;;;
Ward Vercruysse;;;BDH_005;2/07/2014;Bloedrode heidelibel;;1;;;;;;;
Ward Vercruysse;;;BDH_005;2/07/2014;Bruinrode heidelibel;;3;;;;;;;
Ward Vercruysse;;;BDH_005;5/08/2014;Azuurwaterjuffer;;;1;;;;;;
Ward Vercruysse;;;BDH_005;5/08/2014;Blauwe glazenmaker;;;1;;;;;;
Ward Vercruysse;;;BDH_005;5/08/2014;Bruinrode heidelibel;;;4;2;;1;;;
Ward Vercruysse;;;BDH_005;5/08/2014;Lantaarntje;;;;;1;;;;
Ward Vercruysse;;;BDH_005;5/08/2014;Paardenbijter;;;1;1;;;;;
Ward Vercruysse;;;BDH_006;19/05/2014;Azuurwaterjuffer;;;;;;2;;;
Ward Vercruysse;;;BDH_006;19/05/2014;Gaffelwaterjuffer;;;9;;;2;;;
Ward Vercruysse;;;BDH_006;19/05/2014;Lantaarntje;;;;;2;;;;
Ward Vercruysse;;;BDH_006;19/05/2014;Platbuik;;;1;1;;;;;
Ward Vercruysse;;;BDH_006;19/05/2014;Tengere grasjuffer;;;1;;;;;;
Ward Vercruysse;;;BDH_006;19/05/2014;Viervlek;;;;;1;;;;
Ward Vercruysse;;;BDH_006;2/07/2014;Bruinrode heidelibel;;5;;;;;;;
Ward Vercruysse;;;BDH_006;2/07/2014;Gaffelwaterjuffer;;;13;;;1;;;
Ward Vercruysse;;;BDH_006;2/07/2014;Grote keizerlibel;;;;1;;;;;
Ward Vercruysse;;;BDH_006;2/07/2014;Lantaarntje;;;;;2;;;;
Ward Vercruysse;;;BDH_006;2/07/2014;Platbuik;;;2;;;;;;
Ward Vercruysse;;;BDH_006;5/08/2014;Bruinrode heidelibel;;1;5;;;;;;
Ward Vercruysse;;;BDH_006;5/08/2014;Gaffelwaterjuffer;;;2;;;;;;
Ward Vercruysse;;;BDH_006;5/08/2014;Gewone oeverlibel;;;1;;;;;;
Ward Vercruysse;;;BDH_006;5/08/2014;Kleine roodoogjuffer;;;8;;;;;;
Ward Vercruysse;;;BDH_006;5/08/2014;Lantaarntje;;;;;3;;;;
Ward Vercruysse;;;BDH_006;5/08/2014;Paardenbijter;;;;;4;;;;
Ward Vercruysse;;;BDH_006;5/08/2014;Tengere grasjuffer;;;1;1;;;;;
Ward Vercruysse;;;BDH_006;5/08/2014;Zwervende pantserjuffer;;;2;;;1;;;
Ward Vercruysse;;;BDH_008;19/05/2014;Lantaarntje;;;;;1;;;;
Ward Vercruysse;;;BDH_008;19/05/2014;Tengere grasjuffer;;;;1;;;;;
Ward Vercruysse;;;BDH_008;2/07/2014;Zwervende pantserjuffer;;;1;1;;;;;
Ward Vercruysse;;;BDH_008;5/08/2014;Bruinrode heidelibel;;;1;;;;;;
Ward Vercruysse;;;BDH_008;5/08/2014;Lantaarntje;;;;;9;2;;;
Ward Vercruysse;;;BDH_008;5/08/2014;Tengere grasjuffer;;;3;;;;;;
Ward Vercruysse;;;BDH_009;2/07/2014;Lantaarntje;;;;;2;;;;
Ward Vercruysse;;;BDH_010;2/07/2014;Bruinrode heidelibel;;1;;;;;;;
Ward Vercruysse;;;BDH_011;2/07/2014;Azuurwaterjuffer;;;;;;1;;;
Ward Vercruysse;;;BRE_002;21/05/2010;Azuurwaterjuffer;;;1;;;;;;
Ward Vercruysse;;;BRE_002;21/05/2010;Lantaarntje;;10;;;10;;;;
Ward Vercruysse;;;BRE_002;13/07/2010;Lantaarntje;;;5;5;14;;;;Tandems gezien, niet geteld
