A;X;Y;A;longitude;latitude
A;33307.358356;203508.454856;A;2.70161679;51.12985653
A;33445.752856;203585.660356;A;2.70356859;51.13057823
A;33153.971856;203426.739856;A;2.69945239;51.12909124
A;33045.765856;203710.096856;A;2.69781599;51.13161574
A;33115.915356;203690.845356;A;2.69882407;51.13145692
A;33052.587356;203450.023856;A;2.69799698;51.12928000
A;33146.071356;203434.688356;A;2.69933700;51.12916108
A;33124.615856;203890.434356;A;2.69888424;51.13325227
A;32511.093356;203690.959356;A;2.69018583;51.13133542
A;32496.935356;204165.044856;A;2.68983056;51.13559286
A;31704.809856;203675.077356;A;2.67867553;51.13102838
A;34333.335856;202862.899356;A;2.71647476;51.12426131
A;34316.265856;202956.950356;A;2.71620112;51.12510308
A;33538.930356;202813.447356;A;2.70514639;51.12365754
A;33321.276356;202610.359356;A;2.70210339;51.12178865
A;33169.943856;202918.372356;A;2.69984364;51.12452606
A;33018.350356;202447.422856;A;2.69783016;51.12026326
A;32977.760856;202804.635356;A;2.69713579;51.12346513
A;30742.354356;202710.948856;A;2.66524559;51.12216677
A;28109.081356;199742.584356;A;2.62863787;51.09494340
A;27984.139356;199815.966356;A;2.62683029;51.09557651
A;28452.186356;200270.148856;A;2.63335834;51.09975642
A;28468.435356;200235.984356;A;2.63360164;51.09945281
A;28546.474856;200270.022356;A;2.63470410;51.09977507
A;28391.770356;199909.400856;A;2.63261643;51.09650192
A;28130.058356;199832.797856;A;2.62890707;51.09575850
A;28324.608856;199971.355856;A;2.63163726;51.09704456
A;28480.907356;200159.302856;A;2.63380521;51.09876635
A;29814.203356;201738.751356;A;2.65231314;51.11323822
A;29849.436856;201780.059356;A;2.65280253;51.11361675
A;28275.503856;201353.084356;A;2.63047492;51.10945089
A;32736.310856;204301.459356;A;2.69320572;51.13686731
A;34288.660856;203177.538856;A;2.71573679;51.12707988
A;80531.132856;227375.408356;A;3.37159974;51.35195877
A;79202.004356;228186.752356;A;3.35236441;51.35908851
A;79376.653856;228333.767356;A;3.35484261;51.36043119
A;78801.639356;228214.187356;A;3.34661196;51.35928571
A;78217.958356;228239.843356;A;3.33822840;51.35944382
A;78090.133356;228336.546356;A;3.33637424;51.36029694
A;78654.392856;228218.808356;A;3.34449740;51.35930902
A;78148.861856;228113.459856;A;3.33726174;51.35829939
A;78262.596856;228144.834856;A;3.33888807;51.35859554
A;78517.520356;228133.069356;A;3.34254965;51.35852150
A;78529.619356;227946.181856;A;3.34276037;51.35684344
A;77686.948856;228252.144856;A;3.33060354;51.35948794
A;77955.721356;227820.574356;A;3.33454788;51.35564310
A;77790.051856;227439.728856;A;3.33224623;51.35219968
A;78159.619356;226449.388856;A;3.33774762;51.34334566
A;78331.548356;226467.731856;A;3.34021109;51.34353193
A;78441.942356;226915.625356;A;3.34170636;51.34757090
A;78056.986856;227010.715356;A;3.33616294;51.34837753
A;77780.425356;226518.733856;A;3.33229247;51.34392146
A;77971.872856;226735.626856;A;3.33499639;51.34589466
A;78014.194356;227315.976856;A;3.33548789;51.35111558
A;77853.935856;227326.805356;A;3.33318570;51.35119284
A;77667.689856;227255.338856;A;3.33052704;51.35052721
A;77393.370356;226601.095856;A;3.32672176;51.34461299
A;77522.881356;226540.121856;A;3.32859248;51.34408132
A;77063.535856;226720.551356;A;3.32196450;51.34564487
A;31371.736856;201475.145856;A;2.67463527;51.11119074
A;31677.342856;201470.124856;A;2.67899973;51.11120818
A;30155.603356;201924.637856;A;2.65712599;51.11497947
A;29002.775856;200476.100856;A;2.64114816;51.10172253
A;28197.192356;200502.974856;A;2.62964118;51.10179507
A;28167.371856;200615.812356;A;2.62917784;51.10280278
A;28720.995356;201026.168856;A;2.63694326;51.10660665
A;28374.982856;200842.473856;A;2.63206546;51.10488330
A;28409.353856;200844.376356;A;2.63255543;51.10490762
A;28548.792356;200299.376856;A;2.63472739;51.10003935
A;28656.560356;200309.412356;A;2.63626216;51.10015213
A;28106.483856;201291.843856;A;2.62808261;51.10886499
A;77744.002856;227756.466356;A;3.33152186;51.35504043
A;77864.786356;227656.246856;A;3.33327553;51.35415490
A;77744.091856;227779.765356;A;3.33151847;51.35524983
A;77462.495356;228288.263356;A;3.32737435;51.35978430
A;77556.705356;228261.718856;A;3.32873203;51.35955761
A;77503.004856;227557.703356;A;3.32810273;51.35322386
A;77510.996856;227731.280856;A;3.32818255;51.35478481
A;77520.858856;227656.375356;A;3.32833915;51.35411288
A;77222.480356;228127.408356;A;3.32396149;51.35830842
A;77259.991856;228112.368356;A;3.32450297;51.35817799
A;77482.001356;228087.768856;A;3.32769467;51.35798492
A;77615.794856;227623.013856;A;3.32970845;51.35382499
A;80477.190856;226385.269356;A;3.37101637;51.34305378
A;80429.496356;226823.668356;A;3.37024744;51.34698796
A;80434.336356;226780.110356;A;3.37032529;51.34659709
A;80481.121356;226562.317856;A;3.37103866;51.34464541
