Id;UniqueID;verbatimScientificName;scientificNameFirstMatch;scientificNameDirk;Dimi's comment;gbifapi_matchType;gbifapi_species;vernacularname;gbifapi_matchTypeEERSTEMATCH;gbifapi_usageKey;gbifapi_acceptedKey;gbifapi_acceptedScientificName;gbifapi_canonicalName;gbifapi_class;gbifapi_classKey;gbifapi_confidence;gbifapi_family;gbifapi_familyKey;gbifapi_genus;gbifapi_genusKey;gbifapi_kingdom;gbifapi_kingdomKey;;gbifapi_rank;gbifapi_scientificName;gbifapi_species;gbifapi_status;gbifapi_synonym
2;INBO:RL:NONVAL:ANT:2013:39;Formica rufa x polyctena;;Formica rufa x polyctena;niks aan te doen;NONE;;hybride van Formica rufa-complex;NONE_done;;;;;;;;;;;;;;;;;;;
16;INBO:RL:NONVAL:CAR:1995:840;Bembidion maritimum;Bembidion maritimum (Motschulsky 1850);Bembidion maritimum (Stephens, 1835);ok;EXACT;;Brakwaterpriemkever;NONE Multiple equal matches for Bembidion maritimum;;7582513;Tachys bistriatus (Duftschmid, 1812);Bembidion maritimum;Insecta;216;100;Carabidae;3792;Tachys;8186901;Animalia;1;;SPECIES;Bembidion maritimum (Stephens, 1839);Tachys bistriatus;SYNONYM;True
19;INBO:RL:NONVAL:CAR:1995:865;Bembidion velox;Bembidion velox Erichson 1837;Bembidion velox (Linnaeus, 1760);scientificNameFirstMatch kiezen;NONE Multiple equal matches for Bembidion velox;;Snelle priemkever;NONE Multiple equal matches for Bembidion velox;;;;;;;;;;;;;;;;;;;
22;INBO:RL:NONVAL:CAR:1995:968;Harpalus cordatus;Harpalus cordatus (LeConte 1853);Ophonus cordatus;ok;EXACT;;Duinhalmklimmer;NONE Multiple equal matches for Harpalus cordatus;;9178241;Ophonus cordatus (Duftschmid, 1812);Ophonus cordatus;Insecta;216;100;Carabidae;3792;Ophonus;4475086;Animalia;1;;SPECIES;Ophonus cordatus (Duftschmid, 1812);Ophonus cordatus;ACCEPTED;False
25;INBO:RL:NONVAL:CAR:1995:981;Harpalus nitidulus;Harpalus fulgens;Ophonus laticollis;ok;EXACT;;!!Groene halmklimmer;NONE Multiple equal matches for Harpalus nitidulus;;4475157;Ophonus laticollis Mannerheim, 1825;Ophonus laticollis;Insecta;216;100;Carabidae;3792;Ophonus;4475086;Animalia;1;;SPECIES;Ophonus laticollis Mannerheim, 1825;Ophonus laticollis;ACCEPTED;False
37;INBO:RL:NONVAL:EMP:2001:1967;Hilara quadrivittata;Hilara quadrivitata;Hilara quadrivittata;scientificNameFirstMatch kiezen;FUZZY;Hilara quadrivitata;;FUZZY_done;5079401;5079401;Hilara quadrivitata Meigen, 1822;Hilara quadrivitata;Insecta;216;99;Empididae;9483;Hilara;1551099;Animalia;1;;SPECIES;Hilara quadrivitata Meigen, 1822;Hilara quadrivitata;ACCEPTED;False
39;INBO:RL:NONVAL:EMP:2001:2028;Platypalpus maculimana;Platypalpus articulatus;Platypalpus maculimanus??;ok;EXACT;Platypalpus articulatus;;FUZZY_done;4514760;1457973;Platypalpus articulatus Macquart, 1827;Platypalpus maculimanus;Insecta;216;100;Hybotidae;9706;Platypalpus;1457232;Animalia;1;;SPECIES;Platypalpus maculimanus (Zetterstedt, 1842) Zetterstedt, 1842;Platypalpus articulatus;SYNONYM;True
40;INBO:RL:NONVAL:EMP:2001:2037;Platypalpus ochrocerus;Platypalpus ochrocera;Platypalpus ochrocerus;scientificNameFirstMatch kiezen;FUZZY;Platypalpus ochrocera;;FUZZY_done;1457565;1457565;Platypalpus ochrocera (Collin, 1961);Platypalpus ochrocera;Insecta;216;99;Hybotidae;9706;Platypalpus;1457232;Animalia;1;;SPECIES;Platypalpus ochrocera (Collin, 1961);Platypalpus ochrocera;ACCEPTED;False
44;INBO:RL:NONVAL:FUN:1999:2679;Boletus badius;Boletus badius Pers. 1801;Xerocomus badius;ok;EXACT;;Kastanjeboleet;NONE Multiple equal matches for Boletus badius;;9217057;Xerocomus badius (Fr. : Fr.) E.-J. Gilbert;Xerocomus badius;Agaricomycetes;186;100;Boletaceae;8789;Xerocomus;2519224;Fungi;5;;SPECIES;Xerocomus badius (Fr. : Fr.) E.-J. Gilbert;Xerocomus badius;ACCEPTED;False
45;INBO:RL:NONVAL:FUN:1999:2687;Boletus fraternus ss. O.;Boletus fraternus;Xerocomus fraternus;scientificNameFirstMatch kiezen;NONE;;Wijnrode boleet;NONE_done;;;;;;;;;;;;;;;;;;;
46;INBO:RL:NONVAL:FUN:1999:2691;Boletus parasiticus;Boletus parasiticus Bull. 1790;Pseudoboletus parasiticus;ok;EXACT;;Kostgangerboleet;NONE Multiple equal matches for Boletus parasiticus;;8308057;Pseudoboletus parasiticus (Bull.) Šutara, 1991;Pseudoboletus parasiticus;Agaricomycetes;186;100;Boletaceae;8789;Pseudoboletus;2524802;Fungi;5;;SPECIES;Pseudoboletus parasiticus (Bull.) Šutara, 1991;Pseudoboletus parasiticus;ACCEPTED;False
