Id,UniqueID,TaxonomicGroup,YearPublished,Kingdom,verbatimScientificName,scientificNameFirstMatch,scientificName,gbifapi_species,vernacularname,RLCAsPublished,RLC,RLCEurope,Criteria,Reference,license,rightsHolder,accessRights,datasetName,locationID,locality,countryCode,occurrencestatus,threadStatus,RLC code Translated term,gbifapi_matchType,gbifapi_usageKey
1,INBO:RL:NONVAL:AMP:1996:8,Amphibians,1996,Animalia,Rana esculenta synklepton,Pelophylax esculentus (Linnaeus 1758),ok,,Groene kikker,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,,present,Least Concern (LC),Least Concern (LC) / LC,NONE_done,
2,INBO:RL:NONVAL:ANT:2013:39,Ants,2003,Animalia,Formica rufa x polyctena,,Formica rufa x polyctena,,hybride van Formica rufa-complex,Bedreigd maar mate waarin ongekend,DD(PT),,Regional,Dekoninck_etal_2003,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN) uncertain rate,Endangered (EN) uncertain rate / DD(PT),NONE_done,
3,INBO:RL:NONVAL:ANT:2013:80,Ants,2003,Animalia,Stenamma westwoodi,Stenamma westwoodii,ok,Stenamma westwoodii,Engelse drentelmier,Bedreigd maar mate waarin ongekend,DD(PT),,Regional,Dekoninck_etal_2003,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN) uncertain rate,Endangered (EN) uncertain rate / DD(PT),FUZZY_done,1316667
4,INBO:RL:NONVAL:BIR:1999:145,BreedingBirds,1999,Animalia,Saxicola torquata,Saxicola torquatus,ok,Saxicola torquatus,Roodborsttapuit,Bedreigd,EN,LC,ExpertJudgement,DevosAnselin_1999,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN),Endangered (EN) / EN,FUZZY_done,2492526
5,INBO:RL:NONVAL:CAR:1995:1012,CarabidBeetles,1995,Animalia,Masoreus wetterhali,Masoreus wetterhallii,ok,Masoreus wetterhallii,Duinloper,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,4471202
6,INBO:RL:NONVAL:CAR:1995:1052,CarabidBeetles,1995,Animalia,Pterostichus longicollis,Pterostichus longicollis (Duftschmid 1812),ok,,Langnekzwartschild,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE Multiple equal matches for Pterostichus longicollis,
7,INBO:RL:NONVAL:CAR:1995:1076,CarabidBeetles,1995,Animalia,Tachys parvulus,Elaphropus parvulus,ok,,Zwart knotje,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,NONE_done,
8,INBO:RL:NONVAL:CAR:1995:1077,CarabidBeetles,1995,Animalia,Tachys quadrisignatus,Elaphropus quadrisignatus,ok,,Viervlekknotje,Waarschijnlijk bedreigd,,,,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Probably Endangered,Probably Endangered / DD(PT),NONE_done,
10,INBO:RL:NONVAL:CAR:1995:739,CarabidBeetles,1995,Animalia,Agonum dorsale,Anchomenus dorsalis,ok,,Akkersnelloper,Momenteel niet bedreigd,LC,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,NONE_done,
11,INBO:RL:NONVAL:CAR:1995:751,CarabidBeetles,1995,Animalia,Agonum obscurum,Oxypselaphus obscurus,ok,,Smalhalssnelloper,Momenteel niet bedreigd,LC,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,NONE Multiple equal matches for Agonum obscurum,
12,INBO:RL:NONVAL:CAR:1995:814,CarabidBeetles,1995,Animalia,Bembidion atrocoeruleum,Bembidion atrocaeruleum,ok,,Blauwe priemkever,Uitgestorven in Vlaanderen,,,,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE_done,
14,INBO:RL:NONVAL:CAR:1995:818,CarabidBeetles,1995,Animalia,Bembidion clarki,Bembidion clarkii,ok,Bembidion clarkii,Atlantische priemkever,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,8047965
15,INBO:RL:NONVAL:CAR:1995:839,CarabidBeetles,1995,Animalia,Bembidion mannerheimi,Bembidion mannerheimii,ok,Bembidion mannerheimii,Moerasbospriemkever,Momenteel niet bedreigd,LC,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,FUZZY_done,6097867
16,INBO:RL:NONVAL:CAR:1995:840,CarabidBeetles,1995,Animalia,Bembidion maritimum,Bembidion maritimum (Motschulsky 1850),"Bembidion maritimum (Stephens, 1835)",,Brakwaterpriemkever,Bedreigd,EN,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN),Endangered (EN) / EN,NONE Multiple equal matches for Bembidion maritimum,
17,INBO:RL:NONVAL:CAR:1995:855,CarabidBeetles,1995,Animalia,Bembidion quinquestriatum,Ocys quinquestriatus,ok,,Muurpriemkever,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,NONE_done,
18,INBO:RL:NONVAL:CAR:1995:858,CarabidBeetles,1995,Animalia,Bembidion stephensi,Bembidion stephensii,ok,Bembidion stephensii,Grote leempriemkever,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,6097890
19,INBO:RL:NONVAL:CAR:1995:865,CarabidBeetles,1995,Animalia,Bembidion velox,Bembidion velox Erichson 1837,"Bembidion velox (Linnaeus, 1760)",,Snelle priemkever,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,NONE Multiple equal matches for Bembidion velox,
20,INBO:RL:NONVAL:CAR:1995:888,CarabidBeetles,1995,Animalia,Calosoma maderae auropunctatum,Calosoma auropunctatum,ok,,Goudpuntpoppenrover,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE_done,
