UniqueID,TaxonomicGroup,YearPublished,Kingdom,verbatimScientificName,scientificName,gbifapi_species,vernacularname,RLCAsPublished,RLC,RLCEurope,Criteria,Reference,license,rightsHolder,accessRights,datasetName,locationID,locality,countryCode,occurrencestatus,threadStatus
INBO:RL:NONVAL:AMP:1996:1,Amphibians,1996,Animalia,Alytes obstetricans,Alytes obstetricans,Alytes obstetricans,Vroedmeesterpad,Bedreigd,EN,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN)
INBO:RL:NONVAL:AMP:1996:10,Amphibians,1996,Animalia,Salamandra salamandra,Salamandra salamandra,Salamandra salamandra,Vuursalamander,Kwetsbaar,VU,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Vulnerable (VU)
INBO:RL:NONVAL:AMP:1996:11,Amphibians,1996,Animalia,Triturus alpestris,Triturus alpestris,Ichthyosaura alpestris,Alpenwatersalamander,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC)
INBO:RL:NONVAL:AMP:1996:12,Amphibians,1996,Animalia,Triturus cristatus,Triturus cristatus,Triturus cristatus,Kamsalamander,Zeldzaam,NT,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT)
INBO:RL:NONVAL:AMP:1996:13,Amphibians,1996,Animalia,Triturus helveticus,Triturus helveticus,Lissotriton helveticus,Vinpootsalamander,Zeldzaam,NT,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT)
INBO:RL:NONVAL:AMP:1996:14,Amphibians,1996,Animalia,Triturus vulgaris,Triturus vulgaris,Lissotriton vulgaris,Kleine watersalamander,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC)
INBO:RL:NONVAL:AMP:1996:2,Amphibians,1996,Animalia,Bombina variegata,Bombina variegata,Bombina variegata,Geelbuikvuurpad,Uitgestorven in Vlaanderen,RE,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders
INBO:RL:NONVAL:AMP:1996:3,Amphibians,1996,Animalia,Bufo bufo,Bufo bufo,Bufo bufo,Gewone pad,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC)
INBO:RL:NONVAL:AMP:1996:4,Amphibians,1996,Animalia,Bufo calamita,Bufo calamita,Epidalea calamita,Rugstreeppad,Zeldzaam,NT,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT)
INBO:RL:NONVAL:AMP:1996:5,Amphibians,1996,Animalia,Hyla arborea,Hyla arborea,Hyla arborea,Boomkikker,Met uitsterven bedreigd,CR,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Critically Endangered (CR)
INBO:RL:NONVAL:AMP:1996:6,Amphibians,1996,Animalia,Pelobates fuscus,Pelobates fuscus,Pelobates fuscus,Knoflookpad,Bedreigd,EN,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN)
INBO:RL:NONVAL:AMP:1996:7,Amphibians,1996,Animalia,Rana arvalis,Rana arvalis,Rana arvalis,Heikikker,Zeldzaam,NT,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT)
INBO:RL:NONVAL:AMP:1996:8,Amphibians,1996,Animalia,Rana esculenta synklepton,Rana esculenta,,Groene kikker,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC)
INBO:RL:NONVAL:AMP:1996:9,Amphibians,1996,Animalia,Rana temporaria,Rana temporaria,Rana temporaria,Bruine kikker,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC)
INBO:RL:NONVAL:ANT:2013:31,Ants,2003,Animalia,Anergates atratulus,Anergates atratulus,Anergates atratulus,Woekermier,Met uitsterven bedreigd,CR,,Regional,Dekoninck_etal_2003,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Critically Endangered (CR)
INBO:RL:NONVAL:ANT:2013:33,Ants,2003,Animalia,Formica cunicularia,Formica cunicularia,Formica cunicularia,Bruine renmier,Momenteel niet bedreigd,LC,,Regional,Dekoninck_etal_2003,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC)
