UniqueID,TaxonomicGroup,YearPublished,Kingdom,verbatimScientificName,scientificName,gbifapi_species,vernacularname,RLCAsPublished,RLC,RLCEurope,Criteria,Reference,license,rightsHolder,accessRights,datasetName,locationID,locality,countryCode,occurrencestatus,threadStatus,RLC code Translated term,gbifapi_rank,gbifapi_acceptedKey,gbifapi_acceptedScientificName,gbifapi_canonicalName,gbifapi_class,gbifapi_classKey,gbifapi_confidence,gbifapi_family,gbifapi_familyKey,gbifapi_genus,gbifapi_genusKey,gbifapi_kingdom,gbifapi_kingdomKey,gbifapi_matchType,gbifapi_note,gbifapi_order,gbifapi_orderKey,gbifapi_phylum,gbifapi_phylumKey,gbifapi_rank,gbifapi_scientificName,gbifapi_species,gbifapi_speciesKey,gbifapi_status,gbifapi_synonym,gbifapi_usageKey
INBO:RL:NONVAL:AMP:1996:1,Amphibians,1996,Animalia,Alytes obstetricans,Alytes obstetricans,Alytes obstetricans,Vroedmeesterpad,Bedreigd,EN,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN),Endangered (EN) / EN,SPECIES,2426612,"Alytes obstetricans (Laurenti, 1768)",Alytes obstetricans,Amphibia,131,100,Alytidae,6726,Alytes,2426608,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Alytes obstetricans (Laurenti, 1768)",Alytes obstetricans,2426612,ACCEPTED,False,2426612
INBO:RL:NONVAL:AMP:1996:10,Amphibians,1996,Animalia,Salamandra salamandra,Salamandra salamandra,Salamandra salamandra,Vuursalamander,Kwetsbaar,VU,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Vulnerable (VU),Vulnerable (VU) / VU,SPECIES,2431776,"Salamandra salamandra (Linnaeus, 1758)",Salamandra salamandra,Amphibia,131,100,Salamandridae,6750,Salamandra,2431473,Animalia,1,EXACT,,Caudata,953,Chordata,44,SPECIES,"Salamandra salamandra (Linnaeus, 1758)",Salamandra salamandra,2431776,ACCEPTED,False,2431776
INBO:RL:NONVAL:AMP:1996:11,Amphibians,1996,Animalia,Triturus alpestris,Triturus alpestris,Ichthyosaura alpestris,Alpenwatersalamander,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,SPECIES,2431783,"Ichthyosaura alpestris (Laurenti, 1768)",Triturus alpestris,Amphibia,131,100,Salamandridae,6750,Ichthyosaura,2431782,Animalia,1,EXACT,,Caudata,953,Chordata,44,SPECIES,"Triturus alpestris (Laurenti, 1768)",Ichthyosaura alpestris,2431783,SYNONYM,True,2431785
INBO:RL:NONVAL:AMP:1996:12,Amphibians,1996,Animalia,Triturus cristatus,Triturus cristatus,Triturus cristatus,Kamsalamander,Zeldzaam,NT,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,SPECIES,2431885,"Triturus cristatus (Laurenti, 1768)",Triturus cristatus,Amphibia,131,100,Salamandridae,6750,Triturus,2431679,Animalia,1,EXACT,,Caudata,953,Chordata,44,SPECIES,"Triturus cristatus (Laurenti, 1768)",Triturus cristatus,2431885,ACCEPTED,False,2431885
INBO:RL:NONVAL:AMP:1996:13,Amphibians,1996,Animalia,Triturus helveticus,Triturus helveticus,Lissotriton helveticus,Vinpootsalamander,Zeldzaam,NT,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,SPECIES,5218410,"Lissotriton helveticus (Razoumovsky, 1789)",Triturus helveticus,Amphibia,131,100,Salamandridae,6750,Lissotriton,5218404,Animalia,1,EXACT,,Caudata,953,Chordata,44,SPECIES,"Triturus helveticus (Razoumovsky, 1789)",Lissotriton helveticus,5218410,SYNONYM,True,2431911
INBO:RL:NONVAL:AMP:1996:14,Amphibians,1996,Animalia,Triturus vulgaris,Triturus vulgaris,Lissotriton vulgaris,Kleine watersalamander,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,SPECIES,5218405,"Lissotriton vulgaris (Linnaeus, 1758)",Triturus vulgaris,Amphibia,131,100,Salamandridae,6750,Lissotriton,5218404,Animalia,1,EXACT,,Caudata,953,Chordata,44,SPECIES,"Triturus vulgaris (Linnaeus, 1758)",Lissotriton vulgaris,5218405,SYNONYM,True,2431895
INBO:RL:NONVAL:AMP:1996:2,Amphibians,1996,Animalia,Bombina variegata,Bombina variegata,Bombina variegata,Geelbuikvuurpad,Uitgestorven in Vlaanderen,RE,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,SPECIES,2423435,"Bombina variegata (Linnaeus, 1758)",Bombina variegata,Amphibia,131,100,Bombinatoridae,3077,Bombina,2423434,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Bombina variegata (Linnaeus, 1758)",Bombina variegata,2423435,ACCEPTED,False,2423435
INBO:RL:NONVAL:AMP:1996:3,Amphibians,1996,Animalia,Bufo bufo,Bufo bufo,Bufo bufo,Gewone pad,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,SPECIES,5217160,"Bufo bufo (Linnaeus, 1758)",Bufo bufo,Amphibia,131,100,Bufonidae,6727,Bufo,2423087,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Bufo bufo (Linnaeus, 1758)",Bufo bufo,5217160,ACCEPTED,False,5217160
INBO:RL:NONVAL:AMP:1996:4,Amphibians,1996,Animalia,Bufo calamita,Bufo calamita,Epidalea calamita,Rugstreeppad,Zeldzaam,NT,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,SPECIES,2422507,"Epidalea calamita (Laurenti, 1768)",Bufo calamita,Amphibia,131,100,Bufonidae,6727,Epidalea,2422506,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Bufo calamita Laurenti, 1768",Epidalea calamita,2422507,SYNONYM,True,5216775
INBO:RL:NONVAL:AMP:1996:5,Amphibians,1996,Animalia,Hyla arborea,Hyla arborea,Hyla arborea,Boomkikker,Met uitsterven bedreigd,CR,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Critically Endangered (CR),Critically Endangered (CR) / CR,SPECIES,2427573,"Hyla arborea (Linnaeus, 1758)",Hyla arborea,Amphibia,131,100,Hylidae,6735,Hyla,2423589,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Hyla arborea (Linnaeus, 1758)",Hyla arborea,2427573,ACCEPTED,False,2427573
INBO:RL:NONVAL:AMP:1996:6,Amphibians,1996,Animalia,Pelobates fuscus,Pelobates fuscus,Pelobates fuscus,Knoflookpad,Bedreigd,EN,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN),Endangered (EN) / EN,SPECIES,2430567,"Pelobates fuscus (Laurenti, 1768)",Pelobates fuscus,Amphibia,131,100,Pelobatidae,6743,Pelobates,2430563,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Pelobates fuscus (Laurenti, 1768)",Pelobates fuscus,2430567,ACCEPTED,False,2430567
INBO:RL:NONVAL:AMP:1996:7,Amphibians,1996,Animalia,Rana arvalis,Rana arvalis,Rana arvalis,Heikikker,Zeldzaam,NT,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,SPECIES,2426789,"Rana arvalis Nilsson, 1842",Rana arvalis,Amphibia,131,100,Ranidae,6746,Rana,2422253,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Rana arvalis Nilsson, 1842",Rana arvalis,2426789,ACCEPTED,False,2426789
INBO:RL:NONVAL:AMP:1996:8,Amphibians,1996,Animalia,Rana esculenta synklepton,"Rana esculenta Linnaeus, 1758",,Groene kikker,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,,,,,,,,,,,,,,NONE Multiple equal matches for Rana esculenta,,,,,,,,,,,,
INBO:RL:NONVAL:AMP:1996:9,Amphibians,1996,Animalia,Rana temporaria,Rana temporaria,Rana temporaria,Bruine kikker,Momenteel niet bedreigd,LC,LC,Regional,BauwensClaus_1996,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,SPECIES,2426805,"Rana temporaria Linnaeus, 1758",Rana temporaria,Amphibia,131,100,Ranidae,6746,Rana,2422253,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Rana temporaria Linnaeus, 1758",Rana temporaria,2426805,ACCEPTED,False,2426805
INBO:RL:NONVAL:ANT:2013:31,Ants,2003,Animalia,Anergates atratulus,Anergates atratulus,Anergates atratulus,Woekermier,Met uitsterven bedreigd,CR,,Regional,Dekoninck_etal_2003,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Critically Endangered (CR),Critically Endangered (CR) / CR,SPECIES,1314824,"Anergates atratulus (Schenck, 1852)",Anergates atratulus,Insecta,216,100,Formicidae,4342,Anergates,1314823,Animalia,1,EXACT,,Hymenoptera,1457,Arthropoda,54,SPECIES,"Anergates atratulus (Schenck, 1852)",Anergates atratulus,1314824,ACCEPTED,False,1314824
