Id,UniqueID,TaxonomicGroup,YearPublished,Kingdom,verbatimScientificName,scientificNameFirstMatch,scientificName,gbifapi_species,vernacularname,RLCAsPublished,RLC,RLCEurope,Criteria,Reference,license,rightsHolder,accessRights,datasetName,locationID,locality,countryCode,occurrencestatus,threadStatus,RLC code Translated term,gbifapi_matchType,gbifapi_usageKey,gbifapi_acceptedKey,gbifapi_acceptedScientificName,gbifapi_canonicalName,gbifapi_class,gbifapi_classKey,gbifapi_confidence,gbifapi_family,gbifapi_familyKey,gbifapi_genus,gbifapi_genusKey,gbifapi_kingdom,gbifapi_kingdomKey,gbifapi_matchType,gbifapi_order,gbifapi_orderKey,gbifapi_phylum,gbifapi_phylumKey,gbifapi_rank,gbifapi_scientificName,gbifapi_species,gbifapi_speciesKey,gbifapi_status,gbifapi_synonym,gbifapi_usageKey
2,INBO:RL:NONVAL:ANT:2013:39,Ants,2003,Animalia,Formica rufa x polyctena,,Formica rufa x polyctena,,hybride van Formica rufa-complex,Bedreigd maar mate waarin ongekend,DD(PT),,Regional,Dekoninck_etal_2003,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN) uncertain rate,Endangered (EN) uncertain rate / DD(PT),NONE_done,,,,,,,,,,,,,,NONE,,,,,,,,,,,
16,INBO:RL:NONVAL:CAR:1995:840,CarabidBeetles,1995,Animalia,Bembidion maritimum,Bembidion maritimum (Motschulsky 1850),"Bembidion maritimum (Stephens, 1835)",,Brakwaterpriemkever,Bedreigd,EN,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN),Endangered (EN) / EN,NONE Multiple equal matches for Bembidion maritimum,,7582513,"Tachys bistriatus (Duftschmid, 1812)",Bembidion maritimum,Insecta,216,100,Carabidae,3792,Tachys,8186901,Animalia,1,EXACT,Coleoptera,1470,Arthropoda,54,SPECIES,"Bembidion maritimum (Stephens, 1839)",Tachys bistriatus,7582513,SYNONYM,True,8949009
19,INBO:RL:NONVAL:CAR:1995:865,CarabidBeetles,1995,Animalia,Bembidion velox,Bembidion velox Erichson 1837,"Bembidion velox (Linnaeus, 1760)",,Snelle priemkever,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,NONE Multiple equal matches for Bembidion velox,,,,,,,,,,,,,,NONE Multiple equal matches for Bembidion velox,,,,,,,,,,,
22,INBO:RL:NONVAL:CAR:1995:968,CarabidBeetles,1995,Animalia,Harpalus cordatus,Harpalus cordatus (LeConte 1853),Ophonus cordatus,,Duinhalmklimmer,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE Multiple equal matches for Harpalus cordatus,,9178241,"Ophonus cordatus (Duftschmid, 1812)",Ophonus cordatus,Insecta,216,100,Carabidae,3792,Ophonus,4475086,Animalia,1,EXACT,Coleoptera,1470,Arthropoda,54,SPECIES,"Ophonus cordatus (Duftschmid, 1812)",Ophonus cordatus,9178241,ACCEPTED,False,9178241
25,INBO:RL:NONVAL:CAR:1995:981,CarabidBeetles,1995,Animalia,Harpalus nitidulus,Harpalus fulgens,Ophonus laticollis,,!!Groene halmklimmer,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE Multiple equal matches for Harpalus nitidulus,,4475157,"Ophonus laticollis Mannerheim, 1825",Ophonus laticollis,Insecta,216,100,Carabidae,3792,Ophonus,4475086,Animalia,1,EXACT,Coleoptera,1470,Arthropoda,54,SPECIES,"Ophonus laticollis Mannerheim, 1825",Ophonus laticollis,4475157,ACCEPTED,False,4475157
37,INBO:RL:NONVAL:EMP:2001:1967,EmpididFlies,2001,Animalia,Hilara quadrivittata,Hilara quadrivitata,Hilara quadrivittata,Hilara quadrivitata,,Zeldzaam,NT,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,5079401,5079401,"Hilara quadrivitata Meigen, 1822",Hilara quadrivitata,Insecta,216,99,Empididae,9483,Hilara,1551099,Animalia,1,FUZZY,Diptera,811,Arthropoda,54,SPECIES,"Hilara quadrivitata Meigen, 1822",Hilara quadrivitata,5079401,ACCEPTED,False,5079401
39,INBO:RL:NONVAL:EMP:2001:2028,EmpididFlies,2001,Animalia,Platypalpus maculimana,Platypalpus articulatus,Platypalpus maculimanus??,Platypalpus articulatus,,Zeldzaam,NT,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,4514760,1457973,"Platypalpus articulatus Macquart, 1827",Platypalpus maculimanus,Insecta,216,100,Hybotidae,9706,Platypalpus,1457232,Animalia,1,EXACT,Diptera,811,Arthropoda,54,SPECIES,"Platypalpus maculimanus (Zetterstedt, 1842) Zetterstedt, 1842",Platypalpus articulatus,1457973,SYNONYM,True,4514760
40,INBO:RL:NONVAL:EMP:2001:2037,EmpididFlies,2001,Animalia,Platypalpus ochrocerus,Platypalpus ochrocera,Platypalpus ochrocerus,Platypalpus ochrocera,,Onvoldoende gekend,DD,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Data Deficient (DD),Data Deficient (DD) / DD,FUZZY_done,1457565,1457565,"Platypalpus ochrocera (Collin, 1961)",Platypalpus ochrocera,Insecta,216,99,Hybotidae,9706,Platypalpus,1457232,Animalia,1,FUZZY,Diptera,811,Arthropoda,54,SPECIES,"Platypalpus ochrocera (Collin, 1961)",Platypalpus ochrocera,1457565,ACCEPTED,False,1457565
44,INBO:RL:NONVAL:FUN:1999:2679,Macrofungi,1999,Fungi,Boletus badius,Boletus badius Pers. 1801,Xerocomus badius,,Kastanjeboleet,Momenteel niet bedreigd,LC,,Regional,WalleynVerbeken_1999,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,NONE Multiple equal matches for Boletus badius,,9217057,Xerocomus badius (Fr. : Fr.) E.-J. Gilbert,Xerocomus badius,Agaricomycetes,186,100,Boletaceae,8789,Xerocomus,2519224,Fungi,5,EXACT,Boletales,1063,Basidiomycota,34,SPECIES,Xerocomus badius (Fr. : Fr.) E.-J. Gilbert,Xerocomus badius,9217057,ACCEPTED,False,9217057
45,INBO:RL:NONVAL:FUN:1999:2687,Macrofungi,1999,Fungi,Boletus fraternus ss. O.,Boletus fraternus,Xerocomus fraternus,,Wijnrode boleet,Waarschijnlijk bedreigd,DD(PT),,Regional,WalleynVerbeken_1999,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Probably Endangered,Probably Endangered / DD(PT),NONE_done,,,,,,,,,,,,,,NONE,,,,,,,,,,,
