Id,UniqueID,TaxonomicGroup,YearPublished,Kingdom,verbatimScientificName,scientificNameFirstMatch,scientificName,gbifapi_species,vernacularname,RLCAsPublished,RLC,RLCEurope,Criteria,Reference,license,rightsHolder,accessRights,datasetName,locationID,locality,countryCode,occurrencestatus,threadStatus,RLC code Translated term,gbifapi_matchType,gbifapi_usageKey
2,INBO:RL:NONVAL:ANT:2013:39,Ants,2003,Animalia,Formica rufa x polyctena,,Formica rufa x polyctena,,hybride van Formica rufa-complex,Bedreigd maar mate waarin ongekend,DD(PT),,Regional,Dekoninck_etal_2003,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN) uncertain rate,Endangered (EN) uncertain rate / DD(PT),NONE_done,
16,INBO:RL:NONVAL:CAR:1995:840,CarabidBeetles,1995,Animalia,Bembidion maritimum,Bembidion maritimum (Motschulsky 1850),"Bembidion maritimum (Stephens, 1835)",,Brakwaterpriemkever,Bedreigd,EN,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN),Endangered (EN) / EN,NONE Multiple equal matches for Bembidion maritimum,
19,INBO:RL:NONVAL:CAR:1995:865,CarabidBeetles,1995,Animalia,Bembidion velox,Bembidion velox Erichson 1837,"Bembidion velox (Linnaeus, 1760)",,Snelle priemkever,Zeldzaam,NT,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,NONE Multiple equal matches for Bembidion velox,
22,INBO:RL:NONVAL:CAR:1995:968,CarabidBeetles,1995,Animalia,Harpalus cordatus,Harpalus cordatus (LeConte 1853),Ophonus cordatus,,Duinhalmklimmer,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE Multiple equal matches for Harpalus cordatus,
25,INBO:RL:NONVAL:CAR:1995:981,CarabidBeetles,1995,Animalia,Harpalus nitidulus,Harpalus fulgens,Ophonus laticollis,,!!Groene halmklimmer,Uitgestorven in Vlaanderen,RE,,Regional,Desender_etal_1995,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (RE) in Flanders,Regionally Extinct (RE) in Flanders / RE,NONE Multiple equal matches for Harpalus nitidulus,
37,INBO:RL:NONVAL:EMP:2001:1967,EmpididFlies,2001,Animalia,Hilara quadrivittata,Hilara quadrivitata,Hilara quadrivittata,Hilara quadrivitata,,Zeldzaam,NT,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,5079401
39,INBO:RL:NONVAL:EMP:2001:2028,EmpididFlies,2001,Animalia,Platypalpus maculimana,Platypalpus articulatus,Platypalpus maculimanus??,Platypalpus articulatus,,Zeldzaam,NT,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Near Threatened (NT),Near Threatened (NT) / NT,FUZZY_done,4514760
40,INBO:RL:NONVAL:EMP:2001:2037,EmpididFlies,2001,Animalia,Platypalpus ochrocerus,Platypalpus ochrocera,Platypalpus ochrocerus,Platypalpus ochrocera,,Onvoldoende gekend,DD,,Regional,Grootaert_etal_2001,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Data Deficient (DD),Data Deficient (DD) / DD,FUZZY_done,1457565
44,INBO:RL:NONVAL:FUN:1999:2679,Macrofungi,1999,Fungi,Boletus badius,Boletus badius Pers. 1801,Xerocomus badius,,Kastanjeboleet,Momenteel niet bedreigd,LC,,Regional,WalleynVerbeken_1999,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Least Concern (LC) / LC,NONE Multiple equal matches for Boletus badius,
45,INBO:RL:NONVAL:FUN:1999:2687,Macrofungi,1999,Fungi,Boletus fraternus ss. O.,Boletus fraternus,Xerocomus fraternus,,Wijnrode boleet,Waarschijnlijk bedreigd,DD(PT),,Regional,WalleynVerbeken_1999,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,UnValidated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Probably Endangered,Probably Endangered / DD(PT),NONE_done,
