"type","language","license","rightsHolder","accessRights","datasetID","institutionCode","datasetName","basisOfRecord","occurrenceID","recordedBy","otherCatalogNumbers","eventDate","continent","countryCode","municipality","verbatimLocality","decimalLatitude","decimalLongitude","geodeticDatum","verbatimCoordinateSystem","identifiedBy","scientificName","kingdom","taxonRank","scientificNameAuthorship","nomenclaturalCode"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:2906","","INBO:NBN:BFN0017900009QRO","2011-03-16","Europe","BE","Damme","NULL",51.2917,3.33788,"WGS84","decimal degrees","","Procambarus clarkii","Animalia","species","(Girard, 1852)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:2905","","INBO:NBN:BFN0017900009QRP","2009-01-03/2010-01-02","Europe","BE","Laakdal","NULL",51.08684,5.00311,"WGS84","decimal degrees","","Procambarus clarkii","Animalia","species","(Girard, 1852)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:2904","","INBO:NBN:BFN0017900009QRQ","2009-01-03/2010-01-02","Europe","BE","Geel","NULL",51.10058,4.97994,"WGS84","decimal degrees","","Procambarus clarkii","Animalia","species","(Girard, 1852)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:1815","Warmoes T","INBO:NBN:BFN0017900009QRS","2002-08-15","Europe","BE","Weert","NULL",51.21656,5.58311,"WGS84","decimal degrees","Warmoes T","Orconectes limosus","Animalia","species","(Rafinesque, 1817)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:1831","Warmoes T","INBO:NBN:BFN0017900009QRT","2003-06-06","Europe","BE","Dilsen-Stokkem","NULL",51.02145,5.75043,"WGS84","decimal degrees","Warmoes T","Orconectes limosus","Animalia","species","(Rafinesque, 1817)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:1806","Warmoes T","INBO:NBN:BFN0017900009QRW","2002-05-30","Europe","BE","Ham","NULL",51.09901,5.13642,"WGS84","decimal degrees","Warmoes T","Orconectes limosus","Animalia","species","(Rafinesque, 1817)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:1808","Warmoes T","INBO:NBN:BFN0017900009QRX","2002-06-05","Europe","BE","Lanaken","NULL",50.88051,5.63255,"WGS84","decimal degrees","Warmoes T","Orconectes limosus","Animalia","species","(Rafinesque, 1817)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:1834","Warmoes T","INBO:NBN:BFN0017900009QRZ","2003-06-20","Europe","BE","Lanaken","NULL",50.89109,5.683,"WGS84","decimal degrees","Warmoes T","Orconectes limosus","Animalia","species","(Rafinesque, 1817)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:1833","Warmoes T","INBO:NBN:BFN0017900009QS0","2003-06-20","Europe","BE","Lanaken","NULL",50.90414,5.68637,"WGS84","decimal degrees","Warmoes T","Orconectes limosus","Animalia","species","(Rafinesque, 1817)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:1811","Warmoes T","INBO:NBN:BFN0017900009QS1","2002-07-05","Europe","BE","Maaseik","NULL",51.10958,5.68038,"WGS84","decimal degrees","Warmoes T","Orconectes limosus","Animalia","species","(Rafinesque, 1817)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:1809","Warmoes T","INBO:NBN:BFN0017900009QS2","2002-06-07","Europe","BE","Mechelen","NULL",51.05434,4.43351,"WGS84","decimal degrees","Warmoes T","Orconectes limosus","Animalia","species","(Rafinesque, 1817)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:1841","Warmoes T","INBO:NBN:BFN0017900009QS5","2003-09-18","Europe","BE","Oudenburg","NULL",51.1755,3.04208,"WGS84","decimal degrees","Warmoes T","Orconectes limosus","Animalia","species","(Rafinesque, 1817)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:1828","Warmoes T","INBO:NBN:BFN0017900009QS6","2002-09-28","Europe","BE","Ranst","NULL",51.17625,4.63652,"WGS84","decimal degrees","Warmoes T","Orconectes limosus","Animalia","species","(Rafinesque, 1817)","ICZN"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0","Ghent University","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xjtfoo","INBO","Alien macroinvertebrates in Flanders, Belgium","HumanObservation","PB:Ugent:AqE:1837","Warmoes T","INBO:NBN:BFN0017900009QS8","2003-07-16","Europe","BE","Riemst","NULL",50.81064,5.67092,"WGS84","decimal degrees","Warmoes T","Orconectes limosus","Animalia","species","(Rafinesque, 1817)","ICZN"
