taxonID,TaxonomicGroup,YearPublished,Kingdom,Phylum,Class,Order,Family,Genus,Species,verbatimScientificName,ScientificName,vernacularName,RLCEurope,Criteria,IUCNCriteria,Reference,Biome,Biotope1,Biotope2,Cuddliness,Lifespan,Mobility,NutrientLevel,Spine,license,rightsHolder,accessRights,datasetName,locationID,locality,countryCode,occurrencestatus,threadStatus,RLCAsPublished,RLC,eventDate,language2,Checklist,gbifapi_acceptedKey,gbifapi_acceptedScientificName,gbifapi_canonicalName,gbifapi_class,gbifapi_classKey,gbifapi_confidence,gbifapi_family,gbifapi_familyKey,gbifapi_genus,gbifapi_genusKey,gbifapi_kingdom,gbifapi_kingdomKey,gbifapi_matchType,gbifapi_note,gbifapi_order,gbifapi_orderKey,gbifapi_phylum,gbifapi_phylumKey,gbifapi_rank,gbifapi_scientificName,gbifapi_species,gbifapi_speciesKey,gbifapi_status,gbifapi_synonym,gbifapi_usageKey
INBO:RL:VAL:AMP:2013:15,Amphibians,2013,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,obstetricans,Alytes obstetricans,Alytes obstetricans,Vroedmeesterpad,LC,IUCN,B2a(i)b(iii)c(iv);C2a(i),Jooris_etal_2012,Aquatic,Limnophilous,,Non Cuddly,Longlived,Sedentary,Mesotrophic,Vertebrate,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,Validated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Endangered (EN),Bedreigd,EN,to complete,nl,validated,2426612,"Alytes obstetricans (Laurenti, 1768)",Alytes obstetricans,Amphibia,131,100,Alytidae,6726,Alytes,2426608,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Alytes obstetricans (Laurenti, 1768)",Alytes obstetricans,2426612,ACCEPTED,False,2426612
INBO:RL:VAL:AMP:2013:16,Amphibians,2013,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Bombina variegata,Bombina variegata,Geelbuikvuurpad,LC,IUCN,,Jooris_etal_2012,Aquatic,Limnophilous,,Non Cuddly,Longlived,Sedentary,Mesotrophic,Vertebrate,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,Validated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Regionally Extinct (EX),Regionaal uitgestorven,RE,to complete,nl,validated,2423435,"Bombina variegata (Linnaeus, 1758)",Bombina variegata,Amphibia,131,100,Bombinatoridae,3077,Bombina,2423434,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Bombina variegata (Linnaeus, 1758)",Bombina variegata,2423435,ACCEPTED,False,2423435
INBO:RL:VAL:AMP:2013:17,Amphibians,2013,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Bufo bufo,Bufo bufo,Gewone pad,LC,IUCN,,Jooris_etal_2012,Aquatic,Eurytopic,,Non Cuddly,Longlived,Sedentary,Eutrophic,Vertebrate,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,Validated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Momenteel niet in gevaar,LC,to complete,nl,validated,5217160,"Bufo bufo (Linnaeus, 1758)",Bufo bufo,Amphibia,131,100,Bufonidae,6727,Bufo,2423087,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Bufo bufo (Linnaeus, 1758)",Bufo bufo,5217160,ACCEPTED,False,5217160
INBO:RL:VAL:AMP:2013:18,Amphibians,2013,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,calamita,Bufo calamita,Bufo calamita,Rugstreeppad,LC,IUCN,B2a(i);C2a(i),Jooris_etal_2012,Aquatic,Heathlands,,Non Cuddly,Longlived,Sedentary,Oligotrophic,Vertebrate,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,Validated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Vulnerable (VU),Kwetsbaar,VU,to complete,nl,validated,2422507,"Epidalea calamita (Laurenti, 1768)",Bufo calamita,Amphibia,131,100,Bufonidae,6727,Epidalea,2422506,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Bufo calamita Laurenti, 1768",Epidalea calamita,2422507,SYNONYM,True,5216775
INBO:RL:VAL:AMP:2013:19,Amphibians,2013,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,Hyla arborea,Hyla arborea,Boomkikker,LC,IUCN,B2a(i)b(iii)c(iv);C2a(i),Jooris_etal_2012,Aquatic,Limnophilous,,Non Cuddly,Longlived,Sedentary,Mesotrophic,Vertebrate,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,Validated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Critically Endangered (CR),Ernstig bedreigd,CR,to complete,nl,validated,2427573,"Hyla arborea (Linnaeus, 1758)",Hyla arborea,Amphibia,131,100,Hylidae,6735,Hyla,2423589,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Hyla arborea (Linnaeus, 1758)",Hyla arborea,2427573,ACCEPTED,False,2427573
INBO:RL:VAL:AMP:2013:20,Amphibians,2013,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Ichthyosaura,alpestris,Ichthyosaura alpestris,Ichthyosaura alpestris,Alpenwatersalamander,LC,IUCN,,Jooris_etal_2012,Aquatic,Limnophilous,,Non Cuddly,Longlived,Sedentary,Eutrophic,Vertebrate,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,Validated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Momenteel niet in gevaar,LC,to complete,nl,validated,2431783,"Ichthyosaura alpestris (Laurenti, 1768)",Ichthyosaura alpestris,Amphibia,131,100,Salamandridae,6750,Ichthyosaura,2431782,Animalia,1,EXACT,,Caudata,953,Chordata,44,SPECIES,"Ichthyosaura alpestris (Laurenti, 1768)",Ichthyosaura alpestris,2431783,ACCEPTED,False,2431783
INBO:RL:VAL:AMP:2013:21,Amphibians,2013,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,helveticus,Lissotriton helveticus,Lissotriton helveticus,Vinpootsalamander,LC,IUCN,,Jooris_etal_2012,Aquatic,Limnophilous,,Non Cuddly,Longlived,Sedentary,Oligotrophic,Vertebrate,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,Validated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Momenteel niet in gevaar,LC,to complete,nl,validated,5218410,"Lissotriton helveticus (Razoumovsky, 1789)",Lissotriton helveticus,Amphibia,131,100,Salamandridae,6750,Lissotriton,5218404,Animalia,1,EXACT,,Caudata,953,Chordata,44,SPECIES,"Lissotriton helveticus (Razoumovsky, 1789)",Lissotriton helveticus,5218410,ACCEPTED,False,5218410
INBO:RL:VAL:AMP:2013:22,Amphibians,2013,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,vulgaris,Lissotriton vulgaris,Lissotriton vulgaris,Kleine watersalamander,LC,IUCN,,Jooris_etal_2012,Aquatic,Limnophilous,,Non Cuddly,Longlived,Sedentary,Eutrophic,Vertebrate,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,Validated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Momenteel niet in gevaar,LC,to complete,nl,validated,5218405,"Lissotriton vulgaris (Linnaeus, 1758)",Lissotriton vulgaris,Amphibia,131,100,Salamandridae,6750,Lissotriton,5218404,Animalia,1,EXACT,,Caudata,953,Chordata,44,SPECIES,"Lissotriton vulgaris (Linnaeus, 1758)",Lissotriton vulgaris,5218405,ACCEPTED,False,5218405
INBO:RL:VAL:AMP:2013:23,Amphibians,2013,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Pelobates fuscus,Pelobates fuscus,Knoflookpad,LC,IUCN,"A2c;B2a(i,ii)b(ii,iii)c(iv);C1,C2a(i)",Jooris_etal_2012,Aquatic,Limnophilous,,Non Cuddly,Longlived,Sedentary,Mesotrophic,Vertebrate,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,Validated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Critically Endangered (CR),Ernstig bedreigd,CR,to complete,nl,validated,2430567,"Pelobates fuscus (Laurenti, 1768)",Pelobates fuscus,Amphibia,131,100,Pelobatidae,6743,Pelobates,2430563,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Pelobates fuscus (Laurenti, 1768)",Pelobates fuscus,2430567,ACCEPTED,False,2430567
INBO:RL:VAL:AMP:2013:24,Amphibians,2013,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,kl. Esculentus,Pelophylax kl. esculentus,Pelophylax esculentus,Bastaardkikker,LC,IUCN,,Jooris_etal_2012,Aquatic,Eurytopic,,Non Cuddly,Longlived,Sedentary,Eutrophic,Vertebrate,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,Validated Red Lists of Flanders,http://marineregions.org/mrgid/2469,Flanders,BE,present,Least Concern (LC),Momenteel niet in gevaar,LC,to complete,nl,validated,5784980,"Pelophylax esculentus (Linnaeus, 1758)",Pelophylax esculentus,Amphibia,131,100,Ranidae,6746,Pelophylax,2426629,Animalia,1,EXACT,,Anura,952,Chordata,44,SPECIES,"Pelophylax esculentus (Linnaeus, 1758)",Pelophylax esculentus,5784980,ACCEPTED,False,5784980
