scientificName,genus,species,scientificName 3,gbifapi_acceptedKey,gbifapi_acceptedScientificName,gbifapi_canonicalName,gbifapi_class,gbifapi_classKey,gbifapi_confidence,gbifapi_family,gbifapi_familyKey,gbifapi_genus,gbifapi_genusKey,gbifapi_kingdom,gbifapi_kingdomKey,gbifapi_matchType,gbifapi_order,gbifapi_orderKey,gbifapi_phylum,gbifapi_phylumKey,gbifapi_rank,gbifapi_scientificName,gbifapi_species,gbifapi_speciesKey,gbifapi_status,gbifapi_synonym,gbifapi_usageKey
Accipiter gentilis,Accipiter,gentilis,,2480589,"Accipiter gentilis (Linnaeus, 1758)",Accipiter gentilis,Aves,212,99,Accipitridae,2877,Accipiter,2480577,Animalia,1,EXACT,Accipitriformes,7191147,Chordata,44,SPECIES,"Accipiter gentilis (Linnaeus, 1758)",Accipiter gentilis,2480589,ACCEPTED,False,2480589
Accipiter nisus,Accipiter,nisus,,2480637,"Accipiter nisus (Linnaeus, 1758)",Accipiter nisus,Aves,212,99,Accipitridae,2877,Accipiter,2480577,Animalia,1,EXACT,Accipitriformes,7191147,Chordata,44,SPECIES,"Accipiter nisus (Linnaeus, 1758)",Accipiter nisus,2480637,ACCEPTED,False,2480637
Acrocephalus palustris,Acrocephalus,palustris,,2493136,"Acrocephalus palustris (Bechstein, 1798)",Acrocephalus palustris,Aves,212,99,Acrocephalidae,6101019,Acrocephalus,2493112,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Acrocephalus palustris (Bechstein, 1798)",Acrocephalus palustris,2493136,ACCEPTED,False,2493136
Acrocephalus schoenobaenus,Acrocephalus,schoenobaenus,,2493129,"Acrocephalus schoenobaenus (Linnaeus, 1758)",Acrocephalus schoenobaenus,Aves,212,99,Acrocephalidae,6101019,Acrocephalus,2493112,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Acrocephalus schoenobaenus (Linnaeus, 1758)",Acrocephalus schoenobaenus,2493129,ACCEPTED,False,2493129
Acrocephalus scirpaceus,Acrocephalus,scirpaceus,,2493118,"Acrocephalus scirpaceus (Hermann, 1804)",Acrocephalus scirpaceus,Aves,212,99,Acrocephalidae,6101019,Acrocephalus,2493112,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Acrocephalus scirpaceus (Hermann, 1804)",Acrocephalus scirpaceus,2493118,ACCEPTED,False,2493118
Actitis hypoleucos,Actitis,hypoleucos,,2481800,"Actitis hypoleucos (Linnaeus, 1758)",Actitis hypoleucos,Aves,212,99,Scolopacidae,5282,Actitis,2481797,Animalia,1,EXACT,Charadriiformes,7192402,Chordata,44,SPECIES,"Actitis hypoleucos (Linnaeus, 1758)",Actitis hypoleucos,2481800,ACCEPTED,False,2481800
Aegithalos caudatus,Aegithalos,caudatus,,2495000,"Aegithalos caudatus (Linnaeus, 1758)",Aegithalos caudatus,Aves,212,99,Aegithalidae,2878,Aegithalos,2494997,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Aegithalos caudatus (Linnaeus, 1758)",Aegithalos caudatus,2495000,ACCEPTED,False,2495000
Aix galericulata,Aix,galericulata,,2498388,"Aix galericulata (Linnaeus, 1758)",Aix galericulata,Aves,212,99,Anatidae,2986,Aix,2498386,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Aix galericulata (Linnaeus, 1758)",Aix galericulata,2498388,ACCEPTED,False,2498388
Alauda arvensis,Alauda,arvensis,,8077224,"Alauda arvensis Linnaeus, 1758",Alauda arvensis,Aves,212,99,Alaudidae,7211,Alauda,2490696,Animalia,1,EXACT,Passeriformes,729,Chordata,44,SPECIES,"Alauda arvensis Linnaeus, 1758",Alauda arvensis,8077224,ACCEPTED,False,8077224
Alcedo atthis,Alcedo,atthis,,2475532,"Alcedo atthis (Linnaeus, 1758)",Alcedo atthis,Aves,212,99,Alcedinidae,2984,Alcedo,2475493,Animalia,1,EXACT,Coraciiformes,1447,Chordata,44,SPECIES,"Alcedo atthis (Linnaeus, 1758)",Alcedo atthis,2475532,ACCEPTED,False,2475532
Alopochen aegyptiacus,Alopochen,aegyptiacus,,2498252,"Alopochen aegyptiaca (Linnaeus, 1766)",Alopochen aegyptiaca,Aves,212,96,Anatidae,2986,Alopochen,2498251,Animalia,1,FUZZY,Anseriformes,1108,Chordata,44,SPECIES,"Alopochen aegyptiaca (Linnaeus, 1766)",Alopochen aegyptiaca,2498252,ACCEPTED,False,2498252
Anas acuta,Anas,acuta,,2498112,"Anas acuta Linnaeus, 1758",Anas acuta,Aves,212,99,Anatidae,2986,Anas,2498056,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Anas acuta Linnaeus, 1758",Anas acuta,2498112,ACCEPTED,False,2498112
Anas clypeata,Anas,clypeata,,2498089,"Anas clypeata Linnaeus, 1758",Anas clypeata,Aves,212,99,Anatidae,2986,Anas,2498056,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Anas clypeata Linnaeus, 1758",Anas clypeata,2498089,ACCEPTED,False,2498089
Anas crecca,Anas,crecca,,8214667,"Anas crecca Linnaeus, 1758",Anas crecca,Aves,212,99,Anatidae,2986,Anas,2498056,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Anas crecca Linnaeus, 1758",Anas crecca,8214667,ACCEPTED,False,8214667
Anas penelope,Anas,penelope,,2498111,"Anas penelope Linnaeus, 1758",Anas penelope,Aves,212,99,Anatidae,2986,Anas,2498056,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Anas penelope Linnaeus, 1758",Anas penelope,2498111,ACCEPTED,False,2498111
Anas platyrhynchos,Anas,platyrhynchos,,2498132,"Anas platyrhynchos Linnaeus, 1758",Anas platyrhynchos,Aves,212,99,Anatidae,2986,Anas,2498056,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Anas platyrhynchos Linnaeus, 1758",Anas platyrhynchos,2498132,ACCEPTED,False,2498132
Anas querquedula,Anas,querquedula,,2498083,"Anas querquedula Linnaeus, 1758",Anas querquedula,Aves,212,99,Anatidae,2986,Anas,2498056,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Anas querquedula Linnaeus, 1758",Anas querquedula,2498083,ACCEPTED,False,2498083
Anas strepera,Anas,strepera,,2498151,"Anas strepera Linnaeus, 1758",Anas strepera,Aves,212,99,Anatidae,2986,Anas,2498056,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Anas strepera Linnaeus, 1758",Anas strepera,2498151,ACCEPTED,False,2498151
Anas unox,Anas,unox,,,,,,,,,,,,,,NONE,,,,,,,,,,,
Anser albifrons,Anser,albifrons,,2498017,"Anser albifrons (Scopoli, 1769)",Anser albifrons,Aves,212,99,Anatidae,2986,Anser,2498016,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Anser albifrons (Scopoli, 1769)",Anser albifrons,2498017,ACCEPTED,False,2498017
Anser anser,Anser,anser,,2498036,"Anser anser (Linnaeus, 1758)",Anser anser,Aves,212,99,Anatidae,2986,Anser,2498016,Animalia,1,EXACT,Anseriformes,1108,Chordata,44,SPECIES,"Anser anser (Linnaeus, 1758)",Anser anser,2498036,ACCEPTED,False,2498036
