scientificName,genus,species,scientificName 3
Accipiter gentilis,Accipiter,gentilis,
Accipiter nisus,Accipiter,nisus,
Acrocephalus palustris,Acrocephalus,palustris,
Acrocephalus schoenobaenus,Acrocephalus,schoenobaenus,
Acrocephalus scirpaceus,Acrocephalus,scirpaceus,
Actitis hypoleucos,Actitis,hypoleucos,
Aegithalos caudatus,Aegithalos,caudatus,
Aix galericulata,Aix,galericulata,
Alauda arvensis,Alauda,arvensis,
Alcedo atthis,Alcedo,atthis,
Alopochen aegyptiacus,Alopochen,aegyptiacus,
Anas acuta,Anas,acuta,
Anas clypeata,Anas,clypeata,
Anas crecca,Anas,crecca,
Anas penelope,Anas,penelope,
Anas platyrhynchos,Anas,platyrhynchos,
Anas querquedula,Anas,querquedula,
Anas strepera,Anas,strepera,
Anas unox,Anas,unox,
Anser albifrons,Anser,albifrons,
Anser anser,Anser,anser,
Anser cygnoides,Anser,cygnoides,
Anser indicus,Anser,indicus,
Anser unox,Anser,unox,
Anthus pratensis,Anthus,pratensis,
Anthus trivialis,Anthus,trivialis,
Apus apus,Apus,apus,
Ardeae cinerea,Ardeae,cinerea,
Asio otus,Asio,otus,
Athena noctua,Athena,noctua,
Aythya ferina,Aythya,ferina,
Aythya fuligula,Aythya,fuligula,
Botaurus stellaris,Botaurus,stellaris,
Branta canadensis,Branta,canadensis,
Branta leucopsis,Branta,leucopsis,
Buteo buteo,Buteo,buteo,
Cairina moschata,Cairina,moschata,
Caprimulgus europaeus,Caprimulgus,europaeus,
Carduelis cannabina,Carduelis,cannabina,
Carduelis carduelis,Carduelis,carduelis,
Carduelis chloris,Carduelis,chloris,
Carduelis flammea,Carduelis,flammea,
Carduelis spinus,Carduelis,spinus,
Carduelis….,Carduelis….,,
Certhia brachydactyla,Certhia,brachydactyla,
Cettia cetti,Cettia,cetti,
Charadrius dubius,Charadrius,dubius,
Charadrius hiaticula,Charadrius,hiaticula,
Ciconia ciconia,Ciconia,ciconia,
Ciconia nigra,Ciconia,nigra,
Cignus atratus,Cignus,atratus,
Circus aeruginosus,Circus,aeruginosus,
Circus cyaneus,Circus,cyaneus,
Cisticola juncidis,Cisticola,juncidis,
Coccothraustes coccothraustes,Coccothraustes,coccothraustes,
Columba livia,Columba,livia,
Columba oenas,Columba,oenas,
Columba palumbus,Columba,palumbus,
Corvus corone,Corvus,corone,
Corvus frugilegus,Corvus,frugilegus,
Corvus monedula,Corvus,monedula,
Coturnix coturnix,Coturnix,coturnix,
Cuculus canorus,Cuculus,canorus,
Cygnus olor,Cygnus,olor,
Delichon urbica,Delichon,urbica,
Dendrocopus major,Dendrocopus,major,
Dendrocopus medius,Dendrocopus,medius,
Dendrocopus minor,Dendrocopus,minor,
Dryocopus martius,Dryocopus,martius,
Egretta garzetta,Egretta,garzetta,
Emberiza citrinella,Emberiza,citrinella,
Emberiza schoeniclus,Emberiza,schoeniclus,
Erithacus rubecula,Erithacus,rubecula,
Falco peregrinus,Falco,peregrinus,
Falco subbuteo,Falco,subbuteo,
Falco tinnunculus,Falco,tinnunculus,
Ficedula hypoleuca,Ficedula,hypoleuca,
Fringilla coelebs,Fringilla,coelebs,
Fringilla montifringilla,Fringilla,montifringilla,
Fulica atra,Fulica,atra,
Galerida cristata,Galerida,cristata,
Gallinago gallinago,Gallinago,gallinago,
Gallinula chloropus,Gallinula,chloropus,
Garrulus glandarius,Garrulus,glandarius,
Haematopus ostralegus,Haematopus,ostralegus,
Hippolais icterina,Hippolais,icterina,
Hirundo rustica,Hirundo,rustica,
Ixobrychus minutus,Ixobrychus,minutus,
Lanius collurio,Lanius,collurio,
Lanius excubitor,Lanius,excubitor,
Larus argentatus,Larus,argentatus,
Larus canus,Larus,canus,
Larus fuscus,Larus,fuscus,
Larus melanocephalus,Larus,melanocephalus,
Larus ridibundus,Larus,ridibundus,
Limosa limosa,Limosa,limosa,
Locustella luscinioides,Locustella,luscinioides,
Locustella naevia,Locustella,naevia,
Loxia curvirostra,Loxia,curvirostra,
Lululla arborea,Lululla,arborea,
Luscinia megarhynchos,Luscinia,megarhynchos,
Luscinia svecica,Luscinia,svecica,
Miliaria calandra,Miliaria,calandra,
Milvus migrans,Milvus,migrans,
Milvus milvus,Milvus,milvus,
Motacilla alba,Motacilla,alba,
Motacilla cinerea,Motacilla,cinerea,
Motacilla flava,Motacilla,flava,
Motacilla flava flavissima,Motacilla,flava,flavissima
Muscicapa striata,Muscicapa,striata,
Netta rufina,Netta,rufina,
Numenius arquata,Numenius,arquata,
Nycticorax nycticorax,Nycticorax,nycticorax,
Oenanthe oenanthe,Oenanthe,oenanthe,
Oriolus oriolus,Oriolus,oriolus,
Panurus biarmicus,Panurus,biarmicus,
Parus ater,Parus,ater,
Parus caeruleus,Parus,caeruleus,
Parus cristatus,Parus,cristatus,
Parus major,Parus,major,
Parus montanus,Parus,montanus,
Parus palustris,Parus,palustris,
Passer domesticus,Passer,domesticus,
Passer montanus,Passer,montanus,
Perdix perdix,Perdix,perdix,
Pernis apivorus,Pernis,apivorus,
Phalacrocorax carbo,Phalacrocorax,carbo,
Phasianus colchicus,Phasianus,colchicus,
Phoenicurus ochruros,Phoenicurus,ochruros,
Phoenicurus phoenicurus,Phoenicurus,phoenicurus,
Phylloscopus collybita,Phylloscopus,collybita,
Phylloscopus sibilatrix,Phylloscopus,sibilatrix,
Phylloscopus trochilus,Phylloscopus,trochilus,
Pica pica,Pica,pica,
Picus viridis,Picus,viridis,
Platalea leucorodia,Platalea,leucorodia,
Podiceps cristatus,Podiceps,cristatus,
Podiceps nigricollis,Podiceps,nigricollis,
Porzana porzana,Porzana,porzana,
Prunella modularis,Prunella,modularis,
Psittacula krameri,Psittacula,krameri,
Pyrrhula pyrrhula,Pyrrhula,pyrrhula,
Rallus aquaticus,Rallus,aquaticus,
Recurvirostra avosetta,Recurvirostra,avosetta,
Regulus ignicapillus,Regulus,ignicapillus,
Regulus regulus,Regulus,regulus,
Remiz pendulinus,Remiz,pendulinus,
Riparia riparia,Riparia,riparia,
Saxicola rubetra,Saxicola,rubetra,
Saxicola torquata,Saxicola,torquata,
Scolopax rusticola,Scolopax,rusticola,
Serinus serinus,Serinus,serinus,
Sitta europaea,Sitta,europaea,
Sterna albifrons,Sterna,albifrons,
Sterna hirundo,Sterna,hirundo,
Streptopelia decaocto,Streptopelia,decaocto,
Streptopelia turtur,Streptopelia,turtur,
Strix aluco,Strix,aluco,
Sturnus vulgaris,Sturnus,vulgaris,
Sylvia atricapilla,Sylvia,atricapilla,
Sylvia borin,Sylvia,borin,
Sylvia cantillans,Sylvia,cantillans,
Sylvia communis,Sylvia,communis,
Sylvia curruca,Sylvia,curruca,
Tachybaptus ruficollis,Tachybaptus,ruficollis,
Tadorna ferruginea,Tadorna,ferruginea,
Tadorna tadorna,Tadorna,tadorna,
Tringa totanus,Tringa,totanus,
Troglodytes troglodytes,Troglodytes,troglodytes,
Turdus merula,Turdus,merula,
Turdus philomelos,Turdus,philomelos,
Turdus pilaris,Turdus,pilaris,
Turdus viscivorus,Turdus,viscivorus,
Tyto alba,Tyto,alba,
Vanellus vanellus,Vanellus,vanellus,
