name,orcid,researcherid
Anny Anselin,,
Bert Van Der Krieken,,
Dimitri Brosens,0000-0002-0846-9116,
Dirk Maes,,B-1819-2009
Eric Stienen,,
Filiep T'Jollyn,,
Gerlinde Van Thuyne,,
Francisco Hernandez,,
Frederic Piesschaert,,
Gilles San Martin y Gomez,,
Glenn Vermeersch,,
Geert De Blust,,
Hendrik Devriese,,
Hugo Verreycken,,B-2593-2010
Jan Breine,,
Jan Gabriëls,,
Jan Stevens,,
Jorg Lambrechts,,
Koen Devos,,
Koen Lock,,
Kris Decleer,,B-3274-2009
Luc Lens,,
Marc Herremans,,
Peter Desmet,0000-0002-8442-8025,
Tim Adriaens,0000-0001-7268-4200,F-6936-2010
Tom De Boeck,,
Tom Van Den Neucker,,
Willem Bouten,0000-0002-5250-8872,
