LocationWVCode;LocationWVNaam;IsStandardizedLocationWV;active;RegioWVNaam;LocationGeometry;decimalLatitude;decimalLongitude
1010101;Spaarbekken MERKEM;1;true;Westkust/IJzervallei;0x0000000001040B000000442DF18476B006403AE2314BDB7E494093C1B0715DB20640904E86665E7E49404E77EC2FDEB20640C48CF6115A7E4940313F36B524AC0640DA785016FC7D4940D29EDA7E8CA00640F39E5B5EE77D4940FC01ADBE039706400D93EB192F7E4940F43C77A574950640CF73664DA47E49404A575DA5569C06402962BD19057F494013EF803A22A706403ADF6290167F4940F32420848AA806408B4212D7187F4940442DF18476B006403AE2314BDB7E494001000000020000000002000000FFFFFFFF0000000006000000000000000003;50.98829;2.83012
1010102;Eendenkooi MERKEM;1;true;Westkust/IJzervallei;0x00000000010405000000DDC505AF169806400E296A6ECF7D4940E43F263CB09A06400E83B04AE47D4940DAC187728D9E064024400ACAA97D49401C3909A1469B0640B69D55AD957D4940DDC505AF169806400E296A6ECF7D494001000000020000000002000000FFFFFFFF0000000006000000000000000003;50.98231;2.82579
1010103;Vallei Martjesvaart MERKEM;1;true;Westkust/IJzervallei;0x00000000010479000000A4D1C5E765960640496A5328D47A494096F388A044990640FE474BA5E37A4940458C3DEDEAAD0640CC8E3FF2497B49406A98838E5BAF064008AB7F68507B4940E4C1F35A81B1064050F06D4B4F7B49408E9705DE1CB3064034F315884A7B49405ACF8B71E6BA0640DB79AA2D087B494040E16D483DC506404C8A550EB77A4940614AF7A811C606406F695AEFB07A49407F6B877177C6064015076375A77A494036EB187EA8C70640538F02EDA27A49400E02F18D35C80640E151F1BE937A49409EB6FA3392C806409679D886847A494091E79B9E9BC806407772695F727A49409E31BD8933C906407C105697657A4940B1A4495E6BC70640B9A2A80D5E7A4940702101F14BC806406A5860E9397A494024F2C1D549C906400B8F42983A7A49402073C380A3C906408306C41B317A4940D6002B09B7C906408E9B3EC9227A49403EEFB29E90CA0640BCC09870237A4940F2422AE94ECA06400D00676C2D7A4940301BCCEB18CD06405DF5FFFF2D7A4940BD54533D8FCD0640DA0510EF1B7A4940285AFADED9CB0640F2FFE381077A494019FC9C8A27CD06403B92FD64FA79494007E5BD010ACE0640DB02B544017A49404187EAC264CF0640019C0E41F2794940CE06E26572CD0640F41C09BCDE7949405F9F2FB5B3CE0640144CE616D2794940E72CDABD5FCE0640BE177F96D079494082A55006ECCE0640D92042D7C2794940633A334258CD06408B30EEB2B3794940238E726A2BCE064049BCCE5AA979494064ABA3BFC6CE0640663DB54DAD7949404D706C8567CF0640BD77FABDA67949407EF61AAF61D0064006164497AE7949404CE5AB755FD00640405AF9E3B27949400915FA04DCD106401B04051AC0794940589B5AE52AD3064057D67999B07949405ADF561F20D4064051ED7695AA794940F21D38E7B3D50640175E9CB9B9794940CF3AF4F0F4D606408FF9988EAD7949403AAE75F6D1D7064078748A85A7794940D5E8FEA300D80640A3FC9DE7AA794940DCF1D74184DB0640FF8C85158C7949401F50F67BC2DB0640953BDBC988794940315C86E92DDC0640311410BE8B7949408230A56BCEDC0640B5637DA885794940D1FB5B8768DD0640ABA1BFFE8B79494023F44EC8E6DE0640DCA019717E79494026C7BDA498DD06401FF8BD17757949402EE35FC0E5DE0640F16A0BEF68794940567D1455D3DF06403DEA30BA71794940CC17B2A497E00640A05FA2A06C794940E41F3BCE49DD0640D85BD52352794940AB45555ED1DD06401EB32E784D794940AE8644045BDF06401EF72AC75879494082D30086BEDF06408AC6BD9953794940A34062571EE006408C7AD396557949401D82A8DFC4E20640639878CD3C794940D126707E41E2064056310B5A3979494077269E1332E50640B6C6ACC11D794940B24787D988E30640C5978E9BC2784940D8D114EDE2E10640C02CB8AA787849408EB31662E5E10640246FB4E37378494068E6BF94FBE0064093EB54597B78494050CBF57267E00640153423F780784940BD0B80F89FDF0640FF4D9C468C784940130E5B9FF4DE06402F7038F68F784940F8369D74C0DC064012052C539E7849405F0117FCE2DB064090F4E750A57849404729015129DB0640A432B44AAD78494080A1770FB0D90640E8B17FB5C8784940423C5FBF9DD806406C34A742D878494037E004BA13D806407C3147B5E1784940A9A5DDEED1D50640DBF048EDF2784940D5F9B995A7D30640529B169905794940A0D43CE532D106403AF3F18D1B79494023F69BE491D006408A050198227949406488A794DBCE06402BBD5E7F277949400A92168E4ACD0640F7AAFC842A794940729A16D519CC06408DA82C932E794940F5039BB36ECB0640129744C8317949400AF5829F6ECA064064E6206635794940B2B34D0D23CA06408B6CB8123B7949408A5FF3DFDEC906401AA38BD5497949405DB5E94032C9064074E769E84F7949409A570B3498C60640932C83BE677949402C47031BABC5064071E8A16975794940B3E6D8C180C4064099D0177784794940DD36A196ADC3064031B416CF8E794940C2A259C2E7C206406A2611C69679494059D0EC08F0C10640ABB2CF90A1794940FA75106F00C1064050A8DA02B47949404064CF0917C006407D415D83BA79494089EBB0E1BEBD0640458302E3C7794940E8E9FD91AFBB0640A79557D7D4794940E57D28DCA1BA064088253950DB794940E1518A8122B90640DC3827C6EA794940D5CDC8E2E3B706403C778429F2794940B18AACFAF7B60640BA59E570FD79494065C9B3C464B6064083C11325017A494030ACA742E9B506407EDBE3D2057A49409A981A3D30B30640002CF31D137A494014B97A5A6AB006408AE343D5217A4940E55E49EBF6AD064007AED4EA347A49402C6A5F6725AB0640A9A6C5AA427A49403E685B5479A90640460BADEB4A7A49407855D0DD17A80640762852694F7A4940E963500CAAA60640028AB15E547A494092366AAF82A4064098DCD8D2607A4940C972ED5B43A20640EF668DC76C7A4940852A55EE03A1064097A85599757A49402B01F8234DA006407F16CBD6777A4940320AD1DF3F9F0640A14D935A7D7A4940E13139168A9E06400E0FD1AE7D7A4940714FD5BC199D06406816F66A877A494075E795ED259C0640A86B45908A7A494009D1048B9F9B0640EA18D3D78C7A4940A4D1C5E765960640496A5328D47A494001000000020000000002000000FFFFFFFF0000000006000000000000000003;50.95415;2.84333
1010104;Kanaal van Ieper Knokkebrug - Drie Grachten;1;true;Westkust/IJzervallei;0x00000000010449000000A4D1C5E765960640496A5328D47A49408995A96900960640A4CE021DD07A49402131714572940640AF72F6D6E27A494033BF5D89909306409A666302ED7A49401109E0A170930640CD06C0CFED7A4940243F0B332E930640D2EE7971EA7A49400AD349DD34930640534DA3C1E77A4940DB04BB1407930640F949E115DB7A494092A6AA44BD920640A9052D97D17A494069BCBDC46E9206409D42187EC77A4940800B293B39920640BF710185C97A4940CDCFE0D08C9206407A0B8B26D47A4940144C6B8FA29206405EB4DFA8DC7A494032E3554BB29206400137119DE67A49409B43BB46D492064018DFADD1EB7A4940912C88A4BE920640CABE1EFCF67A49405DB451D072920640F2E0907AFB7A4940056CDAFC658F0640EE0A6E4C2B7B4940BA9274F6118C0640D59780976A7B49400E7CAABA9E8A0640B9F6D5688A7B4940BB77C95989890640AB36A32EA27B494096700D84568606409560F8EBE77B4940D68146A5A1840640FE798913087C4940D4B83194247F0640A2AACA31727C4940F8CFFF625D7E06406E0A577F857C49409FA0B6BDAE7A0640B42692D7BC7C49408A774885B07806401D2A3485DC7C4940CE33327771760640BF8E1057137D49408A0C7715DB74064066A8A9E83E7D4940F4659F76077406407CB7BEB8557D4940FA175F739D720640D3AC4BC57C7D4940187819AD51720640ADB4940E817D49405A0004B526720640E7E39CE2827D49401E1955C09E710640EF268113837D494000A771D9B6720640AC7115F9967D4940957AD2A0E5720640ED5686FE8D7D49409CEB2DF86C740640CF23DD16667D49405567ABA252750640EB9F716D4D7D494021191DB6F37506405EB762453F7D49400DD69F85667606403EB0FCAA367D4940D5F65EB883760640C551EA95337D49409D2977FE7677064053418C84177D49400709B2AC0E79064083611F62EE7C49407501B1E8F1790640332D4539DA7C49408227FAD0CD7A064005A4276DCC7C49408FBD3566427B0640D8B7F5DCC77C4940B0CC72C2BF7B0640933F3899C17C4940B2643AEE8A7C06400B9AB2A6B57C4940F53386263F7D06404ABD3271A87C494040B1BDCEF67D06403A3E012B9C7C494018C0DAC7B87E0640FE37BBB2927C4940DEFF8BD66B7F064095DBA6A9877C4940B26BB158DB7F06407CFC60D07D7C4940F2691529B2800640F0E023BB6A7C494005553E40DC8106401B1C6579567C49408521D2A1BC8206401483C597477C49401AFFEECA9B830640B6CEAB95337C49402D013512888506405A209DEF0D7C49407B0D4BF8CF860640C85AB05AF57B4940DC61E04D528706401A53F812ED7B4940A319B599728806402F83EFECD47B49403A98178B6189064034F853C6C07B49405A530D519B8A0640BC181013A57B4940D4B2406E5C8B0640AC91EC8C957B4940E27418E76F8C06400E5FC7677F7B4940E16C4AB87C8F0640AD6180D4407B49402E83FB7A2F9106405E82567B1F7B494028388923C0930640042D8935FB7A49406DF02003AF940640D0A86683EE7A49408373B1E0BB94064009AF2D81EC7A49406D649279049606406AE219D3D97A4940A912590801960640366FCAE3D87A4940A4D1C5E765960640496A5328D47A494001000000020000000002000000FFFFFFFF0000000006000000000000000003;50.96992;2.81421
1010105;Kanaal Van Ieper Drie Grachten - Steenstraete;1;true;Westkust/IJzervallei;0x000000000104420000003EF7191C0EC10640A64F5DA8C77549404077E174BDC00640571E0162C37549401FBB4C4B6BBF064093F06134D07549409542EA55D3BD064090A88BA1DA7549406027804245BC0640B1569CCEE87549402DF8AB27D8BA06401A10E49A12764940C72804EB83B906405A64A2153A764940D5FBC3869AB806401700CF434A76494005D7DF7B98B706407936C74B5C764940BCA5E59839B50640EC7FFCCC7876494081159E5B9BB3064078FA00D5A5764940148642B8DEB206408E2B8483C2764940AC991C2F5EB20640EC2F8BE7D576494087A4D09C02B2064057CDB817EE764940DC155AD290B10640AFF94122F8764940102077C348B0064078C15FA40F7749408F4DA2B477AE06400E8F61CC377749403787C6D0C9AA0640AB6FC99B8B774940A9080697C8A9064060148DAA9F7749407AA8F24F2FA90640F503C5ACA97749404FAE4DFEE6A80640D9261EDAAF774940B7F34F0B13A70640E0459F2BF077494057C642DF89A606402C96A0EA13784940E1DAE3E296A506408620C237457849407FA145084BA406407E79D9BC63784940B82BA22BAC9F06409E9F5176D1784940C9A1118FAD9C0640852635361679494027EFE4E6EB9C064006726AD5357949408C2FF15BBF9D0640C37ACF0B797949406729D601619E06409C9B7E949779494059A9CD1C699F06403FDD6B99D479494083F42CA1389F064036D789B5E5794940D67CA061C69E06402FB1C83C037A494028FA007EC99E06404B35261A107A494001BD00B0189F0640D2935E7C227A4940D42FFDB5A99E06405E6BD5C7397A49403053B58B2D9E0640B4029C97447A494048CECD35769C064048ED4DAF607A49409016827A1E9B0640503DB5B3827A4940F312CD4E859A0640CA5706528C7A4940C65F2CACD29706405B17F3C7B07A4940641E547230970640A9D21693BC7A49408995A96900960640A4CE021DD07A4940A4D1C5E765960640496A5328D47A494009D1048B9F9B0640EA18D3D78C7A4940906717EC7F9D0640ABCAFF2E647A4940DAA1C05E2AA006401F70D0393C7A494050C0FB90D5A0064082A7BE6BCF794940FE236451CD9E0640A974A074707949407F0F6432E99D0640A3D12AD519794940653C9E4D41A006400B0E45B3E0784940B755ED31CAA6064072B747684E78494060340FB9B1A706404A6CEE2C1C7849409DFA97EE8AA80640D7F1A0B9D97749402969D50218AC0640CCDC3915887749402E137DB656B206407EA2EDA0FF76494001107F6DB5B3064069DB9BCEEE76494047AD4EECEBB30640A29288BEDD76494053EC1703FAB30640ED9C91BEC2764940A31206855CB406409B1E886CB57649402BD0DFBC71B506406C078C60957649403FC3E92E3AB70640A569B73372764940365B3D9F96B9064045C4455F5A764940242B4C1301BB0640648F8FB7357649404AF2F61BCDBC0640CD8748870B7649403EF7191C0EC10640A64F5DA8C775494001000000020000000002000000FFFFFFFF0000000006000000000000000003;50.93895;2.83256
1010106;Kanaal Van Ieper Steenstraete - sas Boezinge;1;true;Westkust/IJzervallei;0x0000000001041A0000004077E174BDC00640571E0162C37549403EF7191C0EC10640A64F5DA8C775494004140C7FA8C2064024916BBCB47549405B69D26A90C40640BCA17D1199754940A88D70CD65C706401B5295087C75494076CDFE6523C706401905B2E976754940D38748806DC80640C28DF11D5B754940AE330891F8C806401FFED74759754940891050109EC80640EB39B884367549400E84648B24C90640F094317217754940BC82978E25CA06406CD8DC6203754940482A7FBF41CB0640B8094BEDE074494039D42757FDCB0640C2DCEB7DBA744940E095668619CD0640C4E31AEF847449401265D3D342CC064042771E798074494078966C5A34CB0640A24BBD899B744940C3AE2F3F7EC906408DD7A077B6744940ABFB7F51ACC90640685EA4BDBC744940CF9B2DB0EEC906408264B9F5D47449404231914C35C906408EC3F31BF774494081D701BE61C7064099A51CB924754940DC50A4F776C70640EA59A1E547754940481905DC69C60640447D646F6F754940FA4969CA46C40640B0711D0E8B754940CCD502940AC2064049BFF475A97549404077E174BDC00640571E0162C375494001000000020000000002000000FFFFFFFF0000000006000000000000000003;50.91490;2.84786
1010201;Kleiputten STUIVEKENSKERKE;1;true;Westkust/IJzervallei;0x000000000104250000007C29895F0FB106400A823793C189494085F51A2B4FB10640942D5CD7A489494055CDFD47F0B106407AE33F918F894940DB700A988BB206403A8D355C85894940214F262F99B3064065A5EFB377894940694BEB2FC3B30640E6C83251768949407CDA8D72DAB20640BB91A79B6C894940E0AEB1C1C2B20640CCD6917565894940DB049DBA62B206403F39723B60894940DAC149C888B1064020F5FE584F89494071673003DEAF0640709B2C1246894940FABC7FF5BAAF064024F6712943894940D780E48938AF0640D9835BC0408949406947D1C8F6AD0640F9E8647D4089494054E9222496A90640D7E4E208438949409B880B653FA9064068E5E21E338949402BACA0ECDAA90640D0B8A3802F8949406437D1738CA906409F619BB12B894940D28029AC50A6064049661CBA3B894940BB107F6BB1A30640B9C6F3B3008949407AD8AA2DBD9E064059D3C8E3F78849402ACF07E3FB990640A985812C198949407E7527B9019C0640B9045D042A894940394CA429B69E064046BB24BB3C8949405BA8082D419C06404FCEB12858894940D43E7961BBA206404A6F16CC6A89494054FF41672FA30640405CF38F88894940CD8C58EABBA10640359CC525AF894940B0ED84C15FA50640222833F9B78949409398C5CA55A706406A949747BD894940AD67A05703A806408F48762AC189494040FBE77C18A90640EB3BF6D4C289494049D10EC258AA0640B45C28F9C58949404842054848AB0640B9A0FB9FC9894940F2C3008505AC0640E133DE81CB89494040661B199FAC064079D0D9A1CB8949407C29895F0FB106400A823793C189494001000000020000000002000000FFFFFFFF0000000006000000000000000003;51.07349;2.83185
1010301;Handzamebroeken ESEN;1;true;Westkust/IJzervallei;0x0000000001043E0000008108946BC83B07403B7A8EC80A8449403CD14039B34307406EEB09AEAD8449408BC3FC9570450740C4105823AB844940007C73B3A9460740B4DF700A9184494001E2D9E01D480740F46B0244898449403763E03F104A0740678694997A844940F736E3AED14B074014E8BF057C8449405C1F511C91560740DE87DE0E84844940074F0D8F795A07404E655A9D7A84494062B9CD7F735F0740917F83C46F844940306F977C466307405C10C07A5A844940C3EB0EF411640740AB7520C95C8449406C4D03AA29650740BAFE49706A844940538F89B6886A07401446AECA6F844940FB919F25C16B07401D6711228E844940257C455AA36D07405E26E8AD9C844940DC013235896F0740A134F017BC844940D748E6D2A17107403E723D5ADC84494038A30838D9700740181023A0128549400425700B14700740383857152D8549404DCB2B1F1E720740594E60C43E854940FCF5EDC4C07507408FE788E93085494010254255817A0740B7F50927108549403171EB4A5F7D0740298AC31703854940387A209F517E07407DEFB917F78449403B494255EB810740D2DE93FDDD844940110F66564983074067524DF0D4844940118D9FD6E283074016790B92C48449401FA4D5F9E6840740F417D94CB9844940344EEE1B1D86074017B59262B7844940D6FA62CA188807403972F1A2BA844940FC22A07F05890740194F5719BA844940DD86E907AB8C0740D2137BE7AD8449404BDEE091AC8F074007302C4DA28449408DE04DA854910740896CFB6F96844940A19AB4B83D9307400405DF1E75844940B7E18B34C29307406EC63F786A84494032F80C247B9407409BA79F2864844940024713492B950740FC50547D4A844940CD584D650E970740066B1E5A35844940ECB9B2F06A980740735E012A2F8449403EE52B48F99A0740C1791C630A844940F0AE4333579C0740BEBB3F550184494065AFFDE9169B07404EB6F4C1F2834940296CE0F61CA007400C0DB6C5D78349408BD2A97A05A1074039E4B2D4DF834940F94B36D663A10740570607BCD8834940EBC575FFFCA00740367D9EC1CB83494033C93574A5A10740DB9D43D9C18349406F1BD36E7F9F07400C01C87BA5834940612F3FDF95A10740313A71D596834940FF996D76F79C07401458FA1B728349405196D3F925920740887C781D0D83494000739540668A0740C11FF217C68249407484E5B0CE880740C1408248B08249408591685A1E720740677C35310B834940BBB630568B530740364173C889834940B6D7CFACEB3A0740698037F6E98349400ED346E2A13A0740491AFA0DEC834940443B0BEAB93B0740765A5962FD834940C7FDFCC8DE3B07402CC7DD79058449408108946BC83B07403B7A8EC80A84494001000000020000000002000000FFFFFFFF0000000006000000000000000003;51.03053;2.93138
1010501;Spaarbekken NIEUWPOORT;1;true;Westkust/IJzervallei;0x0000000001044B000000646FA1C78B2E0640B1B71087A091494091245B695D2E06403D0FBACD9D91494078A8B27DAB2C0640E3671CD188914940881822F7F32A0640C4B2B03F749149407A2F3CA9962B0640824200056F914940CC428571CE2B0640FB4F6E1A72914940FCF1FF5FDB2C06401F5171146991494088447BE7602D0640A59EF0EB6791494083E8D9FB82300640813BCC986291494038FCC3D69D3306401F0B04565D914940279A02CC02380640E2B20263559149402F130750D73D0640736409344B914940FF7142F659400640FE665EA8469149400C53BF9FAF420640718D0F6E42914940FD6364A24143064027A0346C41914940C2B06DCD70430640CF17548B40914940381BAFC39C430640ABFFFCF43E914940D59AA32FC94306405A12D1853C9149403965F7F6EE430640EEA01F18399149404096175BF44306402155A0C73591494065FAB5B3734306406880A2211A91494030634C6D18430640A5DE9BB705914940A6832003D5420640C2A0EDF8F6904940B9FD0F7EC842064040818092F3904940F6258F127B420640B305604ADD904940C71C9230F23E064072A3F2E2E19049409F9A9344AA3E064084430D6CD19049409CE9F01D703706402C45636DDE904940107A8F70C33106401BF6BE6AE8904940A07F75E39F3106402278875DE3904940241DA505B62A0640C4903468EF904940825B5FE92C2A06408E51BBF0F490494013695E7FFC29064097DB59E7F5904940D2E5359DC2280640D724B3C5F790494097AD4E891E1F064037D534C40991494030375D01551B064047C58263199149403B67DF99431B0640F7EBA0021C9149404EAF8824511B06403BF46B6A2091494063AA028AD5170640476450D1279149401D07975CF1170640A00B2C7929914940486414A6B316064012088F772C914940734F9A715914064044C4DD18309149407A397BCD6F13064092224B2731914940C86379816212064028DE0A2F33914940F653E2CEBB110640B068316C34914940F70156A18B1106403EABBEBB35914940A7D19DAEC0110640156621EE3F91494005AA6804191406402DD314C73D91494024F10E57201606408647EBA338914940887A6A9489170640285C0CFF34914940F82A9423FF190640F341E8E12F91494091ECBC0FED1B064065452F7D2C9149400F03E116981C0640981B61B72B9149404C6FD742451D06405C2E544F2A914940DD3D88F5871E064048CFAE0A28914940A8B01BA39B1F0640520E7F5E2691494002DF813FE91F0640482D82A8259149402F67CF45692006408EE026B524914940A03291BFF020064000A5DE4423914940289F342B642106402247DA60229149403E0D302886210640C014789E22914940DBE53B1FCC2206404E364F7C279149404357F32BDA220640112FFC0F28914940CA02BF9A8E230640291D1B56309149407E007F174C240640EAB0067A3891494068B429F30A250640C304186541914940A20B824A6926064031CC868251914940F385F1C025260640D3C9238053914940916652667E260640E22C34DF58914940231A37E4562806409509EBF268914940C43FE6FB472A0640A2A0FC087A9149400ED5EB52AE2A0640A53F7ECD76914940C2D179E2172E06409DFC5325A0914940842B2AB4372E0640D22C5CB5A1914940646FA1C78B2E0640B1B71087A091494001000000020000000002000000FFFFFFFF0000000006000000000000000003;51.13381;2.77424
1010502;Novus Portus NIEUWPOORT;1;true;Westkust/IJzervallei;0x000000000104350000005626AC3AC3FE05402E8EBAA086924940D8D3DFF95AFF0540CCC6538F80924940CACD6575D1FF054064B1AC4E849249402875FE3D7D010640471DAA8BEB91494058EA1ABF17FB0540100838ACE49149403082885BE5FA054074A2DCEBEB9149406CD612885AFA054011700470EB91494007692209E5F905400B7999A3F69149405305ABFFB8F80540C2F15894FC914940AB23BCF1C4F70540871A89545592494002C93AFACDF50540A286EB45599249404DAE5771CCF60540E4AA822ADD914940F880AC0C36F50540EC7CBC43DA9149407D11420973F50540E1E88E4BAF91494082BDB30040F90540BD980E015D9149405BFF08D341F90540AC866EB959914940F3A3904299FB05405AEB532A3E91494075B4718DB8FC05406ACB6E693E9149405280DD51C6FD0540915CFDD13C9149401CB75554BFFE0540D0B7A9383F9149406879A6659D0606401634983F4C914940D6ABCFCE9C090640A1A7CCB352914940AE7FF9CF1F0A0640F738062538914940AE86031968040640E27FE8382A914940C40E0A2FB0000640EC27DAAA24914940BDA9C8AD0CFE054081BDEF432291494079FF513EF5FC0540AD03EF932491494020241FF355FA0540B7902A4B2B91494069F89480C2F705403C0AF90C3E91494095E774FB71F40540DADC86FA67914940F17309735BF40540CACAD57A5E9149406B3DBDF6C6F3054019327BB75E914940A0B43DC82FF30540B5EB5376749149408D5206D87AF205402DE98401AF914940225E2CEEB1F0054029F019F2A2914940668359B8EBED05402F40C915CE914940FE68D25380EB05402BCB6A95FC914940C237FFB877EA0540473F64780592494042DA33F043E905404243E34119924940CB90AB0A0AE80540D90512FA37924940BEB7498664E70540726EA6374C924940D26677B195E60540A396D3FF599249408DBBCFCABEE80540290513F25F9249403909A4A841EA0540CF2D8BA764924940C20E3EF0BDEC05405A04D0DB49924940B07CBF47B2EF05400ACE16D861924940F9BBFD8CD8F10540A08612E46C924940DA1DE6A56DF505404D035A7E7492494045CFC22983F505407F41E4126B924940EF42F93D99F6054002B012506B92494030A4C21084F80540C6631C3C7D9249408F2A9D4643FE05400070A23C839249405626AC3AC3FE05402E8EBAA08692494001000000020000000002000000FFFFFFFF0000000006000000000000000003;51.14034;2.74537
1010503;"Noordzee NIEUWPOORT ";0;false;Westkust/IJzervallei;0x00000000010428000000F0FC15C6221706401A350083C7954940EDCDA6FB53100640B2AA10F69C954940AA7D36732A080640E08133F86D954940312C83D411020640A3D827D54F954940DA757A9E99FF05404D9DDE6F41954940B7EDAE0C44FB0540A517AAE129954940D3883075A4F105407C3423C100954940B7B160C815E9054009D1EAEDD094494008257ED3BDE105402CC7E1C0A994494017EEC79436DA05406AD81A5B84944940173BE88450D105408AEDFE185C94494068EF699213CB054046D6B68A3D9449407F75C44CDBC10540DB6E3961139449400EF7D49B23C0054009083D84099449404030AB9E49BF05401E373BB6119449402506E5F395BE0540AC18C3C017944940D71F9F608CBB054055629012F493494069724CA6E1BB0540B4A2F05CF0934940112FA896BBAF054037075B84679449407E79830B07B30540433CAD2D8A944940B9BB2DCBD7B60540C8FAE02BA694494010C7AB7D07BB054054F04DFBB2944940E88C8B76EABF05406A581D13B4944940C07505E794C40540F89BA8DCCC9449406FDFDCC3EECA0540663CF705E6944940AF5EBC6DF2CF05403533E2CBF9944940BE01B1E754D90540667949A013954940B51A168AFFDB0540D00A36C9219549403C35FCCE27E0054099F7DE253C954940A363A2374EE405407A4D35E6599549403E799D1852EB0540E5861D4878954940ED831B9400ED05405D5842597A954940F51793637EF30540E1479417A1954940B0E6504C56F90540304D62D1BB954940ADE8EE4D59FD054056B695F6CB9549401D5FF875FF000640DC5080E6E795494067AFF6ADD30506401EC94D1804964940D55180B1AB0A06402F4FC28119964940270EAE58B6120640CF68E7465D964940F0FC15C6221706401A350083C795494001000000020000000002000000FFFFFFFF0000000006000000000000000003;51.16451;2.73636
