LocationWVCode;LocationWVNaam;StartDate;EndDate;RegioWVNaam
1036902;A11 Put WESTKAPELLE;2017-10-01 00:00:00.000;NULL;Noord-West-Vlaanderen
1038506;Wachtbekken speelbos TORHOUT;2017-10-01 00:00:00.000;NULL;Noord-West-Vlaanderen
2060113;Zwartegat EKE;2017-10-01 00:00:00.000;NULL;Gent en Kanaalzone
3121417;GGG Zennegat MECHELEN;2017-10-01 00:00:00.000;NULL;Mechelen
2090305;Wijmeers-Noord UITBERGEN;2017-12-31 00:00:00.000;NULL;Denderland
2090306;Wijmeers-Ontpoldering UITBERGEN;2017-12-31 00:00:00.000;NULL;Denderland
1030232;Nieuw Dievegat KNOKKE_HEIST;2019-10-01 00:00:00.000;NULL;Noord-West-Vlaanderen
3151303;Blue Gate HOBOKEN;2019-10-01 00:00:00.000;NULL;Antwerpen
3154304;Doeldok Noord DOEL;2020-10-01 00:00:00.000;NULL;Antwerpen
3154305;Doeldok Zuid DOEL;2020-10-01 00:00:00.000;NULL;Antwerpen
3150115;Driehoek Wildert-Achterbroek-Nieuwmoer KALMTHOUT;2020-10-01 00:00:00.000;NULL;Antwerpen
2080608;Klein Broek TEMSE;2021-10-01 00:00:00.000;NULL;Durme-Waasland
2080609;Groot Broek WAASMUNSTER-TEMSE;2021-10-01 00:00:00.000;NULL;Durme-Waasland
2055602;Aardgasweide MERELBEKE;2018-10-01 00:00:00.000;NULL;Gent en Kanaalzone
2055603;De Staken MERELBEKE;2018-10-01 00:00:00.000;NULL;Gent en Kanaalzone
2055604;Paardenweide MERELBEKE;2018-10-01 00:00:00.000;NULL;Gent en Kanaalzone
2055605;De Putten MERELBEKE;2018-10-01 00:00:00.000;NULL;Gent en Kanaalzone
2091306;Broek voor Baasrode HAMME;2021-10-01 00:00:00.000;NULL;Durme-Waasland
2091307;Grote Wal HAMME;2021-10-01 00:00:00.000;NULL;Durme-Waasland
2091308;Groot Schoor HAMME;2021-10-01 00:00:00.000;NULL;Durme-Waasland
3157701;De Kluis HOOGSTRATEN;2021-10-01 00:00:00.000;NULL;Antwerpen
3121005;GGG Battenbroek WALEM (MECHELEN);2021-10-01 00:00:00.000;NULL;Mechelen
3120606;Bovenzanden HEINDONK;2021-10-01 00:00:00.000;NULL;Mechelen
3120304;Monding Barebeek MUIZEN (MECHELEN);2021-10-01 00:00:00.000;NULL;Mechelen
3150116;De Markgraaf KALMTHOUT;2021-10-01 00:00:00.000;NULL;Antwerpen
