code,name,active,centroid_latitude,centroid_longitude
1010101,Spaarbekken MERKEM,true,50.9882918,2.8301190
1010102,Eendenkooi MERKEM,true,50.9823053,2.8257871
1010103,Vallei Martjesvaart MERKEM,true,50.9541550,2.8433346
1010104,Kanaal van Ieper Knokkebrug - Drie Grachten,true,50.9699218,2.8142067
1010201,Kleiputten STUIVEKENSKERKE,true,51.0734883,2.8318494
1010301,Handzamebroeken ESEN,true,51.0305312,2.9313843
1010501,Spaarbekken NIEUWPOORT,true,51.1338148,2.7742376
1010502,Novus Portus NIEUWPOORT,true,51.1403378,2.7453666
1010503,Noordzee NIEUWPOORT (Lombardsijde),false,51.1645056,2.7363607
1010506,Sluizencomplex NIEUWPOORT,true,51.1348123,2.7564800
1010509,Ijzer brug St.Joris - Spaarbekken,true,51.1307186,2.7904594
1010513,Kreek Nieuwendamme NIEUWPOORT,true,51.1361166,2.7656450
1010515,Ijzermonding / havengeul NIEUWPOORT,true,51.1566326,2.7382540
1010516,Put Florizoone NIEUWPOORT,true,51.1358429,2.7622243
1010518,Lenspolder NIEUWPOORT,true,51.1334936,2.7257673
1010519,Polders Nieuwendamme NIEUWPOORT,true,51.1376186,2.7934327
1010521,Hemmepolder NIEUWPOORT,true,51.1484394,2.7469791
1010522,Polder SINT-JORIS (NIEUWPOORT),true,51.1250480,2.7773328
1010601,Noordzee DE PANNE,false,51.1103614,2.5850119
1010701,Zandput NIEUWKAPELLE,true,50.9930692,2.8022600
1010702,Strand DE PANNE (grens) - KOKSIJDE (bad),true,51.1061509,2.5875781
1010703,Polder Nieuwkapelle,true,50.9968631,2.8096221
1010801,Blankaart WOUMEN,true,50.9840204,2.8598508
1010802,IJzerbroeken MERKEM,true,50.9788835,2.8243952
1010803,Rhillebroeken WOUMEN,true,50.9958564,2.8418923
1010804,Vallei Steenbeek MERKEM,true,50.9732169,2.8580705
1010901,Bezinkingsbekkens suikerfabriek VEURNE,true,51.0688565,2.6772154
1010902,Pistelhoek Veurne,true,51.0634575,2.6509468
1010903,De Moeren Noord VEURNE,true,51.0507349,2.5857976
1010904,De Moeren Zuid VEURNE,true,51.0311741,2.5951392
1010905,De Buitenmoeren Noord VEURNE,true,51.0561263,2.6237890
1010906,De Buitenmoeren Zuid VEURNE,true,51.0305610,2.6252181
1010907,Polder Wulpendamme VEURNE,true,51.0855116,2.6905424
1011001,Drie Vijvers' ADINKERKE,true,51.0743194,2.5630311
1011002,Kanaal VEURNE - ADINKERKE,true,51.0692354,2.6399669
1011004,Weiden Kanaal VEURNE - ADINKERKE,true,51.0713395,2.6214424
1011005,Putten Markey ADINKERKE,true,51.0685751,2.5927124
1011006,Kanaal Adinkerke - Franse grens,true,51.0716737,2.5758222
1011007,Plasje autostrade ADINKERKE,true,51.0657270,2.5883970
1011008,Zandwinning A19 ADINKERKE,true,51.0650587,2.6019191
1011101,Westbroek LO-RENINGE,true,50.9507306,2.7541712
1011201,IJzerbroeken NOORDSCHOTE,true,50.9647426,2.8075327
1011202,IJzerbroeken RENINGE,true,50.9555808,2.7926842
1011203,Vallei Ieperlee NOORDSCHOTE,true,50.9477202,2.8256848
1011204,Vallei Kemmelbeek RENINGE,true,50.9376190,2.8073042
1011205,Weiden Pereboom (LO IJzer) LO-RENINGE,true,50.9751165,2.7845642
1011206,Polder Grote Beverdijk LO-RENINGE,true,50.9683772,2.7562107
1011301,Put BULSKAMP,true,51.0547954,2.6516528
1011302,Polders BULSKAMP,true,51.0489722,2.6583052
1011401,Bethoosterse Broeken DIKSMUIDE (Esen),true,51.0357263,2.8910285
1011402,Handzamebroeken WERKEN,true,51.0239349,2.9589253
1011403,Handzamebroeken HANDZAME,true,51.0237544,2.9856594
1011404,Handzamebroeken BEERST-VLADSLO,true,51.0465607,2.8907310
1011405,Handzamebroeken HANDZAME-KORTEMARK,true,51.0246729,3.0197457
1011406,Handzamebroeken VLADSLO,true,51.0392146,2.9200732
1011501,Koolhofput NIEUWPOORT (Ramskapelle),true,51.1207848,2.7565714
