occurrenceid,type,modified,language,license,rightsholder,accessrights,datasetid,institutioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,dynamicproperties,sex,lifestage,organismid,organismname,samplingprotocol,samplingeffort,eventdate,minimumelevationinmeters,minimumdistanceabovesurfaceinmeters,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,scientificname,kingdom,phylum,class,_order,family,genus,specificepithet,taxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode
586:20130517104509,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1232}",2013-05-17T10:45:09Z,0,-3,51.2788525,3.595629,WGS84,10,2013-05-17T10:45:09Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517110549,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1240}",2013-05-17T11:05:49Z,0,-8,51.2788864,3.5957664,WGS84,18,2013-05-17T11:05:49Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517112552,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1203}",2013-05-17T11:25:52Z,0,-7,51.2788342,3.5956213,WGS84,11,2013-05-17T11:25:52Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517114558,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1206}",2013-05-17T11:45:58Z,0,-17,51.2788258,3.5956001,WGS84,11,2013-05-17T11:45:58Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517120615,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1217}",2013-05-17T12:06:15Z,0,-23,51.27886,3.5955443,WGS84,15,2013-05-17T12:06:15Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517122703,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1248}",2013-05-17T12:27:03Z,0,0,51.2788443,3.5956378,WGS84,5,2013-05-17T12:27:03Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517124745,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1242}",2013-05-17T12:47:45Z,0,0,51.2788429,3.5956432,WGS84,8,2013-05-17T12:47:45Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517130749,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1204}",2013-05-17T13:07:49Z,0,0,51.2788506,3.5956388,WGS84,9,2013-05-17T13:07:49Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517132808,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1219}",2013-05-17T13:28:08Z,0,-2,51.2788475,3.5956581,WGS84,10,2013-05-17T13:28:08Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517134806,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1198}",2013-05-17T13:48:06Z,0,-1,51.2787757,3.5956875,WGS84,13,2013-05-17T13:48:06Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
