occurrenceid,type,modified,language,license,rightsholder,accessrights,datasetid,institutioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,dynamicproperties,sex,lifestage,organismid,organismname,samplingprotocol,samplingeffort,eventdate,minimumelevationinmeters,minimumdistanceabovesurfaceinmeters,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,scientificname,kingdom,phylum,class,_order,family,genus,specificepithet,taxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode
586:20130516200127,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":}",2013-05-16T20:01:27Z,0,0,51.2788585,3.5956399,WGS84,9,2013-05-16T20:01:27Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130516210208,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3641}",2013-05-16T21:02:08Z,0,2,51.2788953,3.595643,WGS84,11,2013-05-16T21:02:08Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130516220232,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3624}",2013-05-16T22:02:32Z,0,2,51.2788883,3.5955786,WGS84,14,2013-05-16T22:02:32Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130516230231,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3599}",2013-05-16T23:02:31Z,0,-6,51.2789204,3.5956594,WGS84,12,2013-05-16T23:02:31Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517000309,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3638}",2013-05-17T00:03:09Z,0,-2,51.2788601,3.5956162,WGS84,11,2013-05-17T00:03:09Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517010303,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3594}",2013-05-17T01:03:03Z,0,3,51.2788524,3.5956595,WGS84,8,2013-05-17T01:03:03Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517020336,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3633}",2013-05-17T02:03:36Z,0,-4,51.2788529,3.5956232,WGS84,15,2013-05-17T02:03:36Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517030339,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3603}",2013-05-17T03:03:39Z,0,-4,51.2788534,3.595619,WGS84,20,2013-05-17T03:03:39Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517040347,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3608}",2013-05-17T04:03:47Z,0,-41,51.2789621,3.5953409,WGS84,32,2013-05-17T04:03:47Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517050409,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3622}",2013-05-17T05:04:09Z,0,1,51.2794499,3.5967279,WGS84,6,2013-05-17T05:04:09Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517060139,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":3450}",2013-05-17T06:01:39Z,0,3,51.2788502,3.5956068,WGS84,7,2013-05-17T06:01:39Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517062159,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1220}",2013-05-17T06:21:59Z,0,6,51.2788355,3.5956291,WGS84,5,2013-05-17T06:21:59Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517064159,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1200}",2013-05-17T06:41:59Z,0,-5,51.2788665,3.5956128,WGS84,7,2013-05-17T06:41:59Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517070216,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1217}",2013-05-17T07:02:16Z,0,-2,51.2794289,3.5934722,WGS84,5,2013-05-17T07:02:16Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517072215,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1199}",2013-05-17T07:22:15Z,0,2,51.2788494,3.595635,WGS84,5,2013-05-17T07:22:15Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517074227,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1212}",2013-05-17T07:42:27Z,0,0,51.2787966,3.5956648,WGS84,9,2013-05-17T07:42:27Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517080253,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1226}",2013-05-17T08:02:53Z,0,-8,51.2786366,3.5958303,WGS84,30,2013-05-17T08:02:53Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517082247,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1194}",2013-05-17T08:22:47Z,0,-4,51.2789929,3.5953911,WGS84,22,2013-05-17T08:22:47Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517084303,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1216}",2013-05-17T08:43:03Z,0,-2,51.2789026,3.5954817,WGS84,16,2013-05-17T08:43:03Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517090302,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1199}",2013-05-17T09:03:02Z,0,5,51.2807484,3.594601,WGS84,14,2013-05-17T09:03:02Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517092305,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1203}",2013-05-17T09:23:05Z,0,-3,51.2788317,3.5956652,WGS84,34,2013-05-17T09:23:05Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517094356,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1251}",2013-05-17T09:43:56Z,0,-1,51.2788782,3.5956235,WGS84,8,2013-05-17T09:43:56Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517100400,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1204}",2013-05-17T10:04:00Z,0,-6,51.2788665,3.5956228,WGS84,12,2013-05-17T10:04:00Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
586:20130517102437,Event,2015-04-29T09:34:49Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,"{""device_info_serial"":586}",female,adult,H173481,Mia,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1237}",2013-05-17T10:24:37Z,0,-20,51.2788649,3.595482,WGS84,20,2013-05-17T10:24:37Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Circus,aeruginosus,species,"(Linnaeus, 1758)",Western Marsh Harrier,ICZN
