occurrence_ID,type,language,license,rightsholder,accessRights,datasetID,institutionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dynamicProperties,sex,lifeStage,organismID,organismName,samplingProtocol,samplingEffort,eventDate,minimumElevationInMeters,minimumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,scientificName,kingdom,phylum,class,order,family,taxonRank,genus,specificEpithet,scientificNameAuthorship,vernacularName,nomenclaturalCode
610:20130001000038,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,{'device_info_serial':610},male,adult,L143451,Jozef,doi:10.1007/s10336-012-0908-1,{'secondsSinceLastOccurrence':},2013-00-01T00:00:38Z,0,295,15.2350727,-9.0755456,WGS84,4,2013-00-01T00:00:38Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,Circus,aeruginosus,wmh,wmh,ICZN
610:20130001010034,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,{'device_info_serial':610},male,adult,L143451,Jozef,doi:10.1007/s10336-012-0908-1,{'secondsSinceLastOccurrence':3596},2013-00-01T01:00:34Z,0,301,15.2350427,-9.0755447,WGS84,7,2013-00-01T01:00:34Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,Circus,aeruginosus,wmh,wmh,ICZN
610:20130001020051,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,{'device_info_serial':610},male,adult,L143451,Jozef,doi:10.1007/s10336-012-0908-1,{'secondsSinceLastOccurrence':3617},2013-00-01T02:00:51Z,0,294,15.2350597,-9.0754986,WGS84,11,2013-00-01T02:00:51Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,Circus,aeruginosus,wmh,wmh,ICZN
610:20130001030050,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,{'device_info_serial':610},male,adult,L143451,Jozef,doi:10.1007/s10336-012-0908-1,{'secondsSinceLastOccurrence':3599},2013-00-01T03:00:50Z,0,295,15.2350671,-9.0755573,WGS84,9,2013-00-01T03:00:50Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,Circus,aeruginosus,wmh,wmh,ICZN
610:20130007230002,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,{'device_info_serial':610},male,adult,L143451,Jozef,doi:10.1007/s10336-012-0908-1,{'secondsSinceLastOccurrence':71952},2013-00-07T23:00:02Z,0,290,15.233957,-9.0764906,WGS84,6,2013-00-07T23:00:02Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,Circus,aeruginosus,wmh,wmh,ICZN
610:20130008010033,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,{'device_info_serial':610},male,adult,L143451,Jozef,doi:10.1007/s10336-012-0908-1,{'secondsSinceLastOccurrence':7231},2013-00-08T01:00:33Z,0,292,15.2337971,-9.0775141,WGS84,4,2013-00-08T01:00:33Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,Circus,aeruginosus,wmh,wmh,ICZN
610:20130008020031,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,{'device_info_serial':610},male,adult,L143451,Jozef,doi:10.1007/s10336-012-0908-1,{'secondsSinceLastOccurrence':3598},2013-00-08T02:00:31Z,0,300,15.2328343,-9.0776732,WGS84,8,2013-00-08T02:00:31Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,Circus,aeruginosus,wmh,wmh,ICZN
610:20130008030031,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,{'device_info_serial':610},male,adult,L143451,Jozef,doi:10.1007/s10336-012-0908-1,{'secondsSinceLastOccurrence':3600},2013-00-08T03:00:31Z,0,289,15.2328493,-9.0776852,WGS84,11,2013-00-08T03:00:31Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,Circus,aeruginosus,wmh,wmh,ICZN
610:20130008230002,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,{'device_info_serial':610},male,adult,L143451,Jozef,doi:10.1007/s10336-012-0908-1,{'secondsSinceLastOccurrence':71971},2013-00-08T23:00:02Z,0,298,15.2277976,-9.0780138,WGS84,8,2013-00-08T23:00:02Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,Circus,aeruginosus,wmh,wmh,ICZN
610:20130009000000,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,{'device_info_serial':610},male,adult,L143451,Jozef,doi:10.1007/s10336-012-0908-1,{'secondsSinceLastOccurrence':3598},2013-00-09T00:00:00Z,0,296,15.2278179,-9.0780156,WGS84,14,2013-00-09T00:00:00Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,Circus,aeruginosus,wmh,wmh,ICZN
610:20130009010002,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://dataset.inbo.be/bird-tracking-wmh-occurrences,INBO,Bird tracking - GPS tracking of Western Marsh Harriers breeding near the Belgium-Netherlands border,INBO,MachineObservation,see metadata,{'device_info_serial':610},male,adult,L143451,Jozef,doi:10.1007/s10336-012-0908-1,{'secondsSinceLastOccurrence':3602},2013-00-09T01:00:02Z,0,303,15.2278182,-9.0779663,WGS84,26,2013-00-09T01:00:02Z,doi:10.1080/13658810412331280211,GPS,unverified,Circus aeruginosus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,Circus,aeruginosus,wmh,wmh,ICZN
