occurrenceid,type,language,license,rightsholder,accessrights,datasetid,institutioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,dynamicproperties,sex,lifestage,organismid,organismname,samplingprotocol,samplingeffort,eventdate,minimumelevationinmeters,minimumdistanceabovesurfaceinmeters,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,georeferencesources,georeferenceverificationstatus,scientificname,kingdom,phylum,class,_order,family,taxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode
703:20130531033119,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1933}",2013-05-31T03:31:19Z,0,7,51.3431878,3.1852121,WGS84,5,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531040111,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1792}",2013-05-31T04:01:11Z,0,4,51.3431875,3.1852303,WGS84,5,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531043119,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1808}",2013-05-31T04:31:19Z,0,5,51.3431721,3.1852183,WGS84,6,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531050129,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1810}",2013-05-31T05:01:29Z,0,6,51.343156,3.1852525,WGS84,10,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531053218,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1849}",2013-05-31T05:32:18Z,0,7,51.3431731,3.1852438,WGS84,13,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531060308,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1850}",2013-05-31T06:03:08Z,0,2,51.343175,3.185283,WGS84,4,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531063315,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1807}",2013-05-31T06:33:15Z,0,2,51.3171495,3.2065275,WGS84,26,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531070304,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1789}",2013-05-31T07:03:04Z,0,25,51.3369308,3.189048,WGS84,7,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531073303,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":1799}",2013-05-31T07:33:03Z,0,-1,51.3432095,3.185282,WGS84,32,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531073454,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":111}",2013-05-31T07:34:54Z,0,3,51.3432129,3.1852509,WGS84,26,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531074437,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":583}",2013-05-31T07:44:37Z,0,4,51.3432065,3.1852958,WGS84,35,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531075124,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":407}",2013-05-31T07:51:24Z,0,7,51.3431507,3.1852684,WGS84,41,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531075847,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":443}",2013-05-31T07:58:47Z,0,11,51.3431754,3.1852447,WGS84,8,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531080337,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":290}",2013-05-31T08:03:37Z,0,87,51.3437962,3.1845616,WGS84,10,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531081047,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":430}",2013-05-31T08:10:47Z,0,66,51.343831,3.1846948,WGS84,12,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531081801,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":434}",2013-05-31T08:18:01Z,0,14,51.3438872,3.1842387,WGS84,18,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531082514,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":433}",2013-05-31T08:25:14Z,0,-16,51.3436407,3.1841222,WGS84,14,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531083151,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":397}",2013-05-31T08:31:51Z,0,41,51.343526,3.1846435,WGS84,16,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531083907,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":436}",2013-05-31T08:39:07Z,0,86,51.3434565,3.1843485,WGS84,21,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531083953,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":46}",2013-05-31T08:39:53Z,0,59,51.3435441,3.1843512,WGS84,20,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531085521,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":928}",2013-05-31T08:55:21Z,0,11,51.3431757,3.1852796,WGS84,30,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531090026,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":305}",2013-05-31T09:00:26Z,0,20,51.3431554,3.1853642,WGS84,42,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531090532,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":306}",2013-05-31T09:05:32Z,0,19,51.343155,3.1853435,WGS84,54,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531091109,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":337}",2013-05-31T09:11:09Z,0,7,51.3431703,3.1852706,WGS84,13,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531091608,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":299}",2013-05-31T09:16:08Z,0,2,51.343163,3.1852767,WGS84,9,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531092339,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":451}",2013-05-31T09:23:39Z,0,2,51.3431648,3.1852695,WGS84,16,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531092826,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":287}",2013-05-31T09:28:26Z,0,9,51.3431799,3.1852658,WGS84,17,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531093312,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":286}",2013-05-31T09:33:12Z,0,4,51.3431715,3.1853065,WGS84,9,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531093759,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":287}",2013-05-31T09:37:59Z,0,5,51.3431532,3.1852405,WGS84,7,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
