occurrenceID;datasetID;type;language;license;rightsHolder;accessRights;institutionCode;datasetName;basisOfRecord;recordedBy;organismQuantity;organismQuantityType;eventDate;verbatimEventDate;decimalLongitude;decimalLatitude;geodeticDatum;coordinateUncertaintyInMeters;verbatimCoordinateSystem;verbatimSRS;countryCode;continent;municipality;identifiedBy;scientificName;kingdom;scientificNameAuthorship;taxonRank;nomenclaturalCode;occurrenceStatus
POV:EPR:EPR485;to complete;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Province East-Flanders;http://www.inbo.be/en/norms-for-data-use;POV;Monitoring of Oak processionary (Thaumetopoea processionea) in the province of East Flanders, Belgium;HumanObservation;POV;;number of nests in a tree;2007-06-06;6/06/2007;4.15683         ;51.15516        ;WGS84;30;Lambert coordinates;Belgian Datum 1972;BE;Europe;SINT-NIKLAAS;Province East Flanders;Thaumetopoea processionea;Animalia;Linnaeus, 1758;species;ICZN;present
POV:EPR:EPR1540;to complete;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Province East-Flanders;http://www.inbo.be/en/norms-for-data-use;POV;Monitoring of Oak processionary (Thaumetopoea processionea) in the province of East Flanders, Belgium;HumanObservation;POV;55;number of nests in a tree;2021-07-26;26/07/2021;3.85757         ;51.19175        ;WGS84;30;Lambert coordinates;Belgian Datum 1972;BE;Europe;Wachtebeke;Province East Flanders;Thaumetopoea processionea;Animalia;Linnaeus, 1758;species;ICZN;present
POV:EPR:EPR1541;to complete;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Province East-Flanders;http://www.inbo.be/en/norms-for-data-use;POV;Monitoring of Oak processionary (Thaumetopoea processionea) in the province of East Flanders, Belgium;HumanObservation;POV;80;number of nests in a tree;2021-07-26;26/07/2021;3.90383         ;51.19398        ;WGS84;30;Lambert coordinates;Belgian Datum 1972;BE;Europe;Wachtebeke;Province East Flanders;Thaumetopoea processionea;Animalia;Linnaeus, 1758;species;ICZN;present
POV:EPR:EPR1542;to complete;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Province East-Flanders;http://www.inbo.be/en/norms-for-data-use;POV;Monitoring of Oak processionary (Thaumetopoea processionea) in the province of East Flanders, Belgium;HumanObservation;POV;;number of nests in a tree;2021-06-30;30/06/2021;3.88475         ;51.15402        ;WGS84;30;Lambert coordinates;Belgian Datum 1972;BE;Europe;Wachtebeke;Province East Flanders;Thaumetopoea processionea;Animalia;Linnaeus, 1758;species;ICZN;present
POV:EPR:EPR1543;to complete;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Province East-Flanders;http://www.inbo.be/en/norms-for-data-use;POV;Monitoring of Oak processionary (Thaumetopoea processionea) in the province of East Flanders, Belgium;HumanObservation;POV;;number of nests in a tree;2021-06-30;30/06/2021;3.86395         ;51.15178        ;WGS84;30;Lambert coordinates;Belgian Datum 1972;BE;Europe;Wachtebeke;Province East Flanders;Thaumetopoea processionea;Animalia;Linnaeus, 1758;species;ICZN;present
POV:EPR:EPR1544;to complete;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Province East-Flanders;http://www.inbo.be/en/norms-for-data-use;POV;Monitoring of Oak processionary (Thaumetopoea processionea) in the province of East Flanders, Belgium;HumanObservation;POV;;number of nests in a tree;2021-06-30;30/06/2021;3.88475         ;51.15402        ;WGS84;30;Lambert coordinates;Belgian Datum 1972;BE;Europe;Wachtebeke;Province East Flanders;Thaumetopoea processionea;Animalia;Linnaeus, 1758;species;ICZN;present
POV:EPR:EPR1545;to complete;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Province East-Flanders;http://www.inbo.be/en/norms-for-data-use;POV;Monitoring of Oak processionary (Thaumetopoea processionea) in the province of East Flanders, Belgium;HumanObservation;POV;;number of nests in a tree;2021-06-30;30/06/2021;3.88475         ;51.15402        ;WGS84;30;Lambert coordinates;Belgian Datum 1972;BE;Europe;Wachtebeke;Province East Flanders;Thaumetopoea processionea;Animalia;Linnaeus, 1758;species;ICZN;present
POV:EPR:EPR1546;to complete;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Province East-Flanders;http://www.inbo.be/en/norms-for-data-use;POV;Monitoring of Oak processionary (Thaumetopoea processionea) in the province of East Flanders, Belgium;HumanObservation;POV;;number of nests in a tree;2021-06-30;30/06/2021;3.88475         ;51.15402        ;WGS84;30;Lambert coordinates;Belgian Datum 1972;BE;Europe;Wachtebeke;Province East Flanders;Thaumetopoea processionea;Animalia;Linnaeus, 1758;species;ICZN;present
POV:EPR:EPR1547;to complete;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Province East-Flanders;http://www.inbo.be/en/norms-for-data-use;POV;Monitoring of Oak processionary (Thaumetopoea processionea) in the province of East Flanders, Belgium;HumanObservation;POV;;number of nests in a tree;2021-07-02;2/07/2021;3.86395         ;51.15178        ;WGS84;30;Lambert coordinates;Belgian Datum 1972;BE;Europe;Wachtebeke;Province East Flanders;Thaumetopoea processionea;Animalia;Linnaeus, 1758;species;ICZN;present
POV:EPR:EPR1549;to complete;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Province East-Flanders;http://www.inbo.be/en/norms-for-data-use;POV;Monitoring of Oak processionary (Thaumetopoea processionea) in the province of East Flanders, Belgium;HumanObservation;POV;;number of nests in a tree;2021-07-02;2/07/2021;3.88527         ;51.14867        ;WGS84;30;Lambert coordinates;Belgian Datum 1972;BE;Europe;Wachtebeke;Province East Flanders;Thaumetopoea processionea;Animalia;Linnaeus, 1758;species;ICZN;present
