"UniqueID";"TaxonomicGroup";"YearPublished";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"SpeciesnameAsPublished";"SpeciesnameDutch";"RLCAsPublished";"RLC";"RLCEurope";"Criteria";"IUCNCriteria";"Reference";"Biome";"Biotope1";"Biotope2";"Cuddliness";"Lifespan";"Mobility";"NutrientLevel";"Spine"
"INBO_RL_VAL_AMP_2013_15";"Amphibians";2013;"Animalia";"Chordata";"Amphibia";"Anura";"Alytidae";"Alytes";"obstetricans";"Alytes obstetricans";"Vroedmeesterpad";"Bedreigd";"EN";"LC";"IUCN";"B2a(i)b(iii)c(iv);C2a(i)";"Jooris_etal_2012";"Aquatic";"Limnophilous";;"Low";"Longlived";"Low";"Mesotrophic";"Vertebrate"
"INBO_RL_VAL_AMP_2013_16";"Amphibians";2013;"Animalia";"Chordata";"Amphibia";"Anura";"Bombinatoridae";"Bombina";"variegata";"Bombina variegata";"Geelbuikvuurpad";"Regionaal uitgestorven";"RE";"LC";"IUCN";;"Jooris_etal_2012";"Aquatic";"Limnophilous";;"Low";"Longlived";"Low";"Mesotrophic";"Vertebrate"
"INBO_RL_VAL_AMP_2013_17";"Amphibians";2013;"Animalia";"Chordata";"Amphibia";"Anura";"Bufonidae";"Bufo";"bufo";"Bufo bufo";"Gewone pad";"Momenteel niet in gevaar";"LC";"LC";"IUCN";;"Jooris_etal_2012";"Aquatic";"Eurytopic";;"Low";"Longlived";"Low";"Eutrophic";"Vertebrate"
"INBO_RL_VAL_AMP_2013_18";"Amphibians";2013;"Animalia";"Chordata";"Amphibia";"Anura";"Bufonidae";"Bufo";"calamita";"Bufo calamita";"Rugstreeppad";"Kwetsbaar";"VU";"LC";"IUCN";"B2a(i);C2a(i)";"Jooris_etal_2012";"Aquatic";"Heathlands";;"Low";"Longlived";"Low";"Oligotrophic";"Vertebrate"
"INBO_RL_VAL_AMP_2013_19";"Amphibians";2013;"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Hyla";"arborea";"Hyla arborea";"Boomkikker";"Ernstig bedreigd";"CR";"LC";"IUCN";"B2a(i)b(iii)c(iv);C2a(i)";"Jooris_etal_2012";"Aquatic";"Limnophilous";;"Low";"Longlived";"Low";"Mesotrophic";"Vertebrate"
"INBO_RL_VAL_AMP_2013_20";"Amphibians";2013;"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Ichthyosaura";"alpestris";"Ichthyosaura alpestris";"Alpenwatersalamander";"Momenteel niet in gevaar";"LC";"LC";"IUCN";;"Jooris_etal_2012";"Aquatic";"Limnophilous";;"Low";"Longlived";"Low";"Eutrophic";"Vertebrate"
"INBO_RL_VAL_AMP_2013_21";"Amphibians";2013;"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Lissotriton";"helveticus";"Lissotriton helveticus";"Vinpootsalamander";"Momenteel niet in gevaar";"LC";"LC";"IUCN";;"Jooris_etal_2012";"Aquatic";"Limnophilous";;"Low";"Longlived";"Low";"Oligotrophic";"Vertebrate"
"INBO_RL_VAL_AMP_2013_22";"Amphibians";2013;"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Lissotriton";"vulgaris";"Lissotriton vulgaris";"Kleine watersalamander";"Momenteel niet in gevaar";"LC";"LC";"IUCN";;"Jooris_etal_2012";"Aquatic";"Limnophilous";;"Low";"Longlived";"Low";"Eutrophic";"Vertebrate"
"INBO_RL_VAL_AMP_2013_23";"Amphibians";2013;"Animalia";"Chordata";"Amphibia";"Anura";"Pelobatidae";"Pelobates";"fuscus";"Pelobates fuscus";"Knoflookpad";"Ernstig bedreigd";"CR";"LC";"IUCN";"A2c;B2a(i,ii)b(ii,iii)c(iv);C1,C2a(i)";"Jooris_etal_2012";"Aquatic";"Limnophilous";;"Low";"Longlived";"Low";"Mesotrophic";"Vertebrate"
"INBO_RL_VAL_AMP_2013_24";"Amphibians";2013;"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Pelophylax";"kl. Esculentus";"Pelophylax kl. esculentus";"Bastaardkikker";"Momenteel niet in gevaar";"LC";"LC";"IUCN";;"Jooris_etal_2012";"Aquatic";"Eurytopic";;"Low";"Longlived";"Low";"Eutrophic";"Vertebrate"
