TaxonomicGroup	Kingdom	Phylum	Class	Order	Family	Genus	Species	SpeciesnameAsPublished	TAXON_VERSION_KEY_SCNAME	SpeciesnameDutch	TAXON_VERSION_KEY_DUNAME	RLCAsPublished	RLC	RLCEurope	Criteria	Validated
Amphibians	Animalia	Chordata	Amphibia	Anura	Alytidae	Alytes	obstetricans	Alytes obstetricans	NHMSYS0000080161	Vroedmeesterpad	INBSYS0000012362	Bedreigd	EN	LC	IUCN	Yes
Amphibians	Animalia	Chordata	Amphibia	Anura	Alytidae	Alytes	obstetricans	Alytes obstetricans	NHMSYS0000080161	Vroedmeesterpad	INBSYS0000012362	Bedreigd	EN	LC	Regional	No
Amphibians	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	variegata	Bombina variegata	NHMSYS0000080163	Geelbuikvuurpad	INBSYS0000012363	Regionaal uitgestorven	RE	LC	IUCN	Yes
Amphibians	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	variegata	Bombina variegata	NHMSYS0000080163	Geelbuikvuurpad	INBSYS0000012363	Uitgestorven in Vlaanderen	RE	LC	Regional	No
Amphibians	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	bufo	Bufo bufo	NHMSYS0000080159	Gewone pad	INBSYS0000012365	Momenteel niet in gevaar	LC	LC	IUCN	Yes
Amphibians	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	bufo	Bufo bufo	NHMSYS0000080159	Gewone pad	INBSYS0000012365	Momenteel niet bedreigd	LC	LC	Regional	No
Amphibians	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	calamita	Bufo calamita	INBSYS0000012399	Rugstreeppad	INBSYS0000012366	Kwetsbaar	VU	LC	IUCN	Yes
Amphibians	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	calamita	Bufo calamita	INBSYS0000012399	Rugstreeppad	INBSYS0000012366	Zeldzaam	NT	LC	Regional	No
Amphibians	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	arborea	Hyla arborea	NHMSYS0000080165	Boomkikker	INBSYS0000012367	Ernstig bedreigd	CR	LC	IUCN	Yes
Amphibians	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	arborea	Hyla arborea	NHMSYS0000080165	Boomkikker	INBSYS0000012367	Met uitsterven bedreigd	CR	LC	Regional	No
Amphibians	Animalia	Chordata	Amphibia	Anura	Pelobatidae	Pelobates	fuscus	Pelobates fuscus	INBSYS0000012398	Knoflookpad	INBSYS0000012364	Ernstig bedreigd	CR	LC	IUCN	Yes
Amphibians	Animalia	Chordata	Amphibia	Anura	Pelobatidae	Pelobates	fuscus	Pelobates fuscus	INBSYS0000012398	Knoflookpad	INBSYS0000012364	Bedreigd	EN	LC	Regional	No
Amphibians	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	kl. Esculentus	Pelophylax kl. esculentus	INBSYS0000012402	Bastaardkikker	INBSYS0000012369	Momenteel niet in gevaar	LC	LC	IUCN	Yes
