"UniqueID";"TaxonomicGroup";"YearPublished";"Kingdom";"SpeciesnameAsPublished";"SpeciesnameDutch";"RLCAsPublished";"RLC";"RLCEurope";"Criteria";"Reference"
"INBO:RL:NONVAL:AMP:1996:1";"Amphibians";1996;"Animalia";"Alytes obstetricans";"Vroedmeesterpad";"Bedreigd";"EN";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:10";"Amphibians";1996;"Animalia";"Salamandra salamandra";"Vuursalamander";"Kwetsbaar";"VU";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:11";"Amphibians";1996;"Animalia";"Triturus alpestris";"Alpenwatersalamander";"Momenteel niet bedreigd";"LC";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:12";"Amphibians";1996;"Animalia";"Triturus cristatus";"Kamsalamander";"Zeldzaam";"NT";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:13";"Amphibians";1996;"Animalia";"Triturus helveticus";"Vinpootsalamander";"Zeldzaam";"NT";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:14";"Amphibians";1996;"Animalia";"Triturus vulgaris";"Kleine watersalamander";"Momenteel niet bedreigd";"LC";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:2";"Amphibians";1996;"Animalia";"Bombina variegata";"Geelbuikvuurpad";"Uitgestorven in Vlaanderen";"RE";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:3";"Amphibians";1996;"Animalia";"Bufo bufo";"Gewone pad";"Momenteel niet bedreigd";"LC";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:4";"Amphibians";1996;"Animalia";"Bufo calamita";"Rugstreeppad";"Zeldzaam";"NT";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:5";"Amphibians";1996;"Animalia";"Hyla arborea";"Boomkikker";"Met uitsterven bedreigd";"CR";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:6";"Amphibians";1996;"Animalia";"Pelobates fuscus";"Knoflookpad";"Bedreigd";"EN";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:7";"Amphibians";1996;"Animalia";"Rana arvalis";"Heikikker";"Zeldzaam";"NT";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:8";"Amphibians";1996;"Animalia";"Rana esculenta synklepton";"Groene kikker";"Momenteel niet bedreigd";"LC";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:9";"Amphibians";1996;"Animalia";"Rana temporaria";"Bruine kikker";"Momenteel niet bedreigd";"LC";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:ANT:2013:31";"Ants";2003;"Animalia";"Anergates atratulus";"Woekermier";"Met uitsterven bedreigd";"CR";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:33";"Ants";2003;"Animalia";"Formica cunicularia";"Bruine renmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:34";"Ants";2003;"Animalia";"Formica fusca";"Grauwzwarte mier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:35";"Ants";2003;"Animalia";"Formica lusatica";"Duinrenmier";"Bedreigd maar mate waarin ongekend";"DD(PT)";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:36";"Ants";2003;"Animalia";"Formica polyctena";"Kale bosmier";"Kwetsbaar";"VU";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:37";"Ants";2003;"Animalia";"Formica pratensis";"Zwartrugbosmier";"Kwetsbaar";"VU";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:38";"Ants";2003;"Animalia";"Formica rufa";"Behaarde bosmier";"Kwetsbaar";"VU";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:39";"Ants";2003;"Animalia";"Formica rufa x polyctena";"hybride van Formica rufa-complex";"Bedreigd maar mate waarin ongekend";"DD(PT)";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:40";"Ants";2003;"Animalia";"Formica rufibarbis";"Rode baardmier";"Kwetsbaar";"VU";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:41";"Ants";2003;"Animalia";"Formica sanguinea";"Bloedrode roofmier";"Kwetsbaar";"VU";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:42";"Ants";2003;"Animalia";"Formica transkaucasica";"Veenmier";"Sterk bedreigd";"EN";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:43";"Ants";2003;"Animalia";"Formicoxenus nitidulus";"Glanzende gastmier";"Met uitsterven bedreigd";"CR";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:46";"Ants";2003;"Animalia";"Lasius brunneus";"Boommier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:47";"Ants";2003;"Animalia";"Lasius emarginatus";"Muurmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:48";"Ants";2003;"Animalia";"Lasius flavus";"Gele weidemier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:49";"Ants";2003;"Animalia";"Lasius fuliginosus";"Glanzende houtmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:50";"Ants";2003;"Animalia";"Lasius jensi";"Puntschubmier";"Geografisch beperkt";"NT";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:51";"Ants";2003;"Animalia";"Lasius meridionalis";"Veldmier";"Kwetsbaar";"VU";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:52";"Ants";2003;"Animalia";"Lasius mixtus";"Wintermier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:53";"Ants";2003;"Animalia";"Lasius myops";"Kleinoogweidemier";"Bedreigd maar mate waarin ongekend";"DD(PT)";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:55";"Ants";2003;"Animalia";"Lasius niger";"Wegmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:56";"Ants";2003;"Animalia";"Lasius platythorax";"Humusmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:57";"Ants";2003;"Animalia";"Lasius psammophilus";"Buntgrasmier";"Kwetsbaar";"VU";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:58";"Ants";2003;"Animalia";"Lasius sabularum";"Breedschubmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:59";"Ants";2003;"Animalia";"Lasius umbratus";"Schaduwmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:60";"Ants";2003;"Animalia";"Leptothorax acervorum";"Behaarde slankmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:61";"Ants";2003;"Animalia";"Leptothorax affinis";"Boomslankmier";"Geografisch beperkt";"NT";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:62";"Ants";2003;"Animalia";"Leptothorax muscorum";"Mosslankmier";"Sterk bedreigd";"EN";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:63";"Ants";2003;"Animalia";"Leptothorax nylanderi";"Bosslankmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:65";"Ants";2003;"Animalia";"Myrmecina graminicola";"Oprolmier";"Kwetsbaar";"VU";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:66";"Ants";2003;"Animalia";"Myrmica lonae";"	Lepelsteekmier";"Sterk bedreigd";"EN";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:67";"Ants";2003;"Animalia";"Myrmica microrubra";"Gaststeekmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:68";"Ants";2003;"Animalia";"Myrmica rubra";"Gewone steekmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:69";"Ants";2003;"Animalia";"Myrmica ruginodis";"Bossteekmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:70";"Ants";2003;"Animalia";"Myrmica rugulosa";"Kleine steekmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:71";"Ants";2003;"Animalia";"Myrmica sabuleti";"Zandsteekmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:72";"Ants";2003;"Animalia";"Myrmica scabrinodis";"Moerassteekmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:73";"Ants";2003;"Animalia";"Myrmica schencki";"Kokersteekmier";"Kwetsbaar";"VU";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:74";"Ants";2003;"Animalia";"Myrmica specioides";"Duinsteekmier";"Kwetsbaar";"VU";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:75";"Ants";2003;"Animalia";"Myrmica sulcinodis";"Heidesteekmier";"Met uitsterven bedreigd";"CR";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:76";"Ants";2003;"Animalia";"Polyergus rufescens";"Amazonemier";"Met uitsterven bedreigd";"CR";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:77";"Ants";2003;"Animalia";"Ponera coarctata";"Gewone staafmier";"Sterk bedreigd";"EN";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:78";"Ants";2003;"Animalia";"Solenopsis fugax";"Diefmier";"Met uitsterven bedreigd";"CR";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:79";"Ants";2003;"Animalia";"Stenamma debile";"Gewone drentelmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:80";"Ants";2003;"Animalia";"Stenamma westwoodi";"Engelse drentelmier";"Bedreigd maar mate waarin ongekend";"DD(PT)";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:81";"Ants";2003;"Animalia";"Strongylognathus testaceus";"Sabelmier";"Sterk bedreigd";"EN";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:82";"Ants";2003;"Animalia";"Tapinoma ambiguum";"Heidedraaigatje";"Sterk bedreigd";"EN";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:83";"Ants";2003;"Animalia";"Tapinoma erraticum";"Mergeldraaigatje";"Met uitsterven bedreigd";"CR";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:84";"Ants";2003;"Animalia";"Tetramorium caespitum";"Zwarte zaadmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:85";"Ants";2003;"Animalia";"Tetramorium impurum";"Bruine zaadmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:BIR:1999:100";"BreedingBirds";1999;"Animalia";"Charadrius hiaticula";"Bontbekplevier";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:101";"BreedingBirds";1999;"Animalia";"Chlidonias niger";"Zwarte stern";"Uitgestorven in Vlaanderen";"RE";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:102";"BreedingBirds";1999;"Animalia";"Circus aeruginosus";"Bruine kiekendief";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:103";"BreedingBirds";1999;"Animalia";"Circus pygargus";"Grauwe kiekendief";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:104";"BreedingBirds";1999;"Animalia";"Coturnix coturnix";"Kwartel";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:105";"BreedingBirds";1999;"Animalia";"Crex crex";"Kwartelkoning";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:106";"BreedingBirds";1999;"Animalia";"Delichon urbicum";"Huiszwaluw";"Achteruitgaand";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:107";"BreedingBirds";1999;"Animalia";"Emberiza citrinella";"Geelgors";"Bedreigd";"EN";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:108";"BreedingBirds";1999;"Animalia";"Emberiza hortulana";"Ortolaan";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:109";"BreedingBirds";1999;"Animalia";"Emberiza schoeniclus";"Rietgors";"Achteruitgaand";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:110";"BreedingBirds";1999;"Animalia";"Galerida cristata";"Kuifleeuwerik";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:111";"BreedingBirds";1999;"Animalia";"Gallinago gallinago";"Watersnip";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:112";"BreedingBirds";1999;"Animalia";"Himantopus himantopus";"Steltkluut";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:113";"BreedingBirds";1999;"Animalia";"Hirundo rustica";"Boerenzwaluw";"Achteruitgaand";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:114";"BreedingBirds";1999;"Animalia";"Ixobrychus minutus";"Woudaap";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:115";"BreedingBirds";1999;"Animalia";"Jynx torquilla";"Draaihals";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:116";"BreedingBirds";1999;"Animalia";"Lanius collurio";"Grauwe klauwier";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:117";"BreedingBirds";1999;"Animalia";"Lanius excubitor";"Klapekster";"Met uitsterven bedreigd";"CR";"VU";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:118";"BreedingBirds";1999;"Animalia";"Lanius senator";"Roodkopklauwier";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:119";"BreedingBirds";1999;"Animalia";"Larus argentatus";"Zilvermeeuw";"Kwetsbaar";"VU";"NT";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:120";"BreedingBirds";1999;"Animalia";"Larus canus";"Stormmeeuw";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:121";"BreedingBirds";1999;"Animalia";"Larus fuscus";"Kleine mantelmeeuw";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:122";"BreedingBirds";1999;"Animalia";"Larus melanocephalus";"Zwartkopmeeuw";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:123";"BreedingBirds";1999;"Animalia";"Locustella luscinioides";"Snor";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:124";"BreedingBirds";1999;"Animalia";"Locustella naevia";"Sprinkhaanzanger";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:125";"BreedingBirds";1999;"Animalia";"Lullula arborea";"Boomleeuwerik";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:126";"BreedingBirds";1999;"Animalia";"Luscinia megarhynchos";"Nachtegaal";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:127";"BreedingBirds";1999;"Animalia";"Miliaria calandra";"Grauwe gors";"Bedreigd";"EN";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:128";"BreedingBirds";1999;"Animalia";"Milvus milvus";"Rode wouw";"Zeldzaam";"NT";"NT";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:129";"BreedingBirds";1999;"Animalia";"Nycticorax nycticorax";"Kwak";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:130";"BreedingBirds";1999;"Animalia";"Oenanthe oenanthe";"Tapuit";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:131";"BreedingBirds";1999;"Animalia";"Oriolus oriolus";"Wielewaal";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:132";"BreedingBirds";1999;"Animalia";"Panurus biarmicus";"Baardmannetje";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:133";"BreedingBirds";1999;"Animalia";"Passer domesticus";"Huismus";"Achteruitgaand";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:134";"BreedingBirds";1999;"Animalia";"Passer montanus";"Ringmus";"Achteruitgaand";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:135";"BreedingBirds";1999;"Animalia";"Perdix perdix";"Patrijs";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:136";"BreedingBirds";1999;"Animalia";"Phalacrocorax carbo";"Aalscholver";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:137";"BreedingBirds";1999;"Animalia";"Philomachus pugnax";"Kemphaan";"Uitgestorven in Vlaanderen";"RE";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:138";"BreedingBirds";1999;"Animalia";"Phoenicurus phoenicurus";"Gekraagde roodstaart";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:139";"BreedingBirds";1999;"Animalia";"Podiceps nigricollis";"Geoorde fuut";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:140";"BreedingBirds";1999;"Animalia";"Porzana porzana";"Porseleinhoen";"Bedreigd";"EN";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:141";"BreedingBirds";1999;"Animalia";"Recurvirostra avosetta";"Kluut";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:142";"BreedingBirds";1999;"Animalia";"Remiz pendulinus";"Buidelmees";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:143";"BreedingBirds";1999;"Animalia";"Riparia riparia";"Oeverzwaluw";"Bedreigd";"EN";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:144";"BreedingBirds";1999;"Animalia";"Saxicola rubetra";"Paapje";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:145";"BreedingBirds";1999;"Animalia";"Saxicola torquata";"Roodborsttapuit";"Bedreigd";"EN";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:146";"BreedingBirds";1999;"Animalia";"Sterna albifrons";"Dwergstern";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:147";"BreedingBirds";1999;"Animalia";"Sterna hirundo";"Visdief";"Bedreigd";"EN";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:148";"BreedingBirds";1999;"Animalia";"Sterna paradisaea";"Noordse stern";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:149";"BreedingBirds";1999;"Animalia";"Sterna sandvicensis";"Grote stern";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:150";"BreedingBirds";1999;"Animalia";"Streptopelia turtur";"Zomertortel";"Achteruitgaand";"NT";"NE";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:151";"BreedingBirds";1999;"Animalia";"Sturnus vulgaris";"Spreeuw";"Achteruitgaand";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:152";"BreedingBirds";1999;"Animalia";"Tachybaptus ruficollis";"Dodaars";"Achteruitgaand";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:153";"BreedingBirds";1999;"Animalia";"Tetrao tetrix";"Korhoen";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:154";"BreedingBirds";1999;"Animalia";"Tringa totanus";"Tureluur";"Bedreigd";"EN";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:155";"BreedingBirds";1999;"Animalia";"Tyto alba";"Kerkuil";"Kwetsbaar";"VU";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:156";"BreedingBirds";1999;"Animalia";"Upupa epops";"Hop";"Uitgestorven in Vlaanderen";"RE";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:86";"BreedingBirds";1999;"Animalia";"Acrocephalus arundinaceus";"Grote karekiet";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:87";"BreedingBirds";1999;"Animalia";"Acrocephalus schoenobaenus";"Rietzanger";"Bedreigd";"EN";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:88";"BreedingBirds";1999;"Animalia";"Alauda arvensis";"Veldleeuwerik";"Achteruitgaand";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:89";"BreedingBirds";1999;"Animalia";"Alcedo atthis";"Ijsvogel";"Kwetsbaar";"VU";"VU";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:90";"BreedingBirds";1999;"Animalia";"Anas acuta";"Pijlstaart";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:91";"BreedingBirds";1999;"Animalia";"Anthus campestris";"Duinpieper";"Uitgestorven in Vlaanderen";"RE";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:92";"BreedingBirds";1999;"Animalia";"Anthus pratensis";"Graspieper";"Achteruitgaand";"NT";"NT";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:93";"BreedingBirds";1999;"Animalia";"Anthus trivialis";"Boompieper";"Achteruitgaand";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:94";"BreedingBirds";1999;"Animalia";"Asio flammeus";"Velduil";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:95";"BreedingBirds";1999;"Animalia";"Botaurus stellaris";"Roerdomp";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:96";"BreedingBirds";1999;"Animalia";"Caprimulgus europaeus";"Nachtzwaluw";"Bedreigd";"EN";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:97";"BreedingBirds";1999;"Animalia";"Carduelis spinus";"Sijs";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:98";"BreedingBirds";1999;"Animalia";"Cettia cetti";"Cetti’s zanger";"Zeldzaam";"NT";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:BIR:1999:99";"BreedingBirds";1999;"Animalia";"Charadrius alexandrinus";"Strandplevier";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";"DevosAnselin_1999"
"INBO:RL:NONVAL:CAR:1995:1000";"CarabidBeetles";1995;"Animalia";"Lebia cyanocephala";"Blauwe pronkloper";"Uitgestorven in Vlaanderen";"RE";;"Regional";"Desender_etal_1995"
"INBO:RL:NONVAL:CAR:1995:1001";"CarabidBeetles";1995;"Animalia";"Lebia marginata";"Geelrandpronkloper";"Uitgestorven in Vlaanderen";"RE";;"Regional";"Desender_etal_1995"
"INBO:RL:NONVAL:CAR:1995:1002";"CarabidBeetles";1995;"Animalia";"Leistus ferrugineus";"Roestbaardloper";"Momenteel niet bedreigd";"LC";;"Regional";"Desender_etal_1995"
"INBO:RL:NONVAL:CAR:1995:1003";"CarabidBeetles";1995;"Animalia";"Leistus fulvibarbis";"Zwartblauwe baardloper";"Momenteel niet bedreigd";"LC";;"Regional";"Desender_etal_1995"
