District,Rivier,Zone,Vegtype1,Vegtype2,Vegtype3,Beheer,Sloot,Opmerking,Lengte
1,Boven-Zeeschelde1,KL,7,0,0,Maaibeheer,0,,101.52233405400
1,Boven-Zeeschelde1,KR,7,0,0,,0,,380.36980102200
1,Boven-Zeeschelde1,R,7,0,0,,0,,370.80188147700
1,Boven-Zeeschelde1,KR,7,0,0,Maaibeheer,0,,102.48335509100
1,Boven-Zeeschelde1,R,7,0,0,Maaibeheer,0,,102.37404815700
2,Beneden-Zeeschelde,KL,7,0,0,Maaibeheer,0,,302.45181248700
2,Beneden-Zeeschelde,L,7,0,0,Maaibeheer,0,,170.07307666400
1,Boven-Zeeschelde1,R,7,0,0,,0,,306.25647185100
1,Boven-Zeeschelde1,KR,7,0,0,,0,,188.17723683600
1,Boven-Zeeschelde1,R,7,0,0,,0,,60.94838152680
2,Rupel,R,7,0,0,Maaibeheer,0,,537.60150470500
2,Beneden-Zeeschelde,KR,7,0,0,Maaibeheer,0,,114.66717966800
2,Beneden-Zeeschelde,R,7,0,0,Maaibeheer,0,,205.93456610200
1,Boven-Zeeschelde1,T,7,0,0,,0,,11.77515212420
1,Boven-Zeeschelde1,T,7,0,0,,0,,27.58378559600
1,Boven-Zeeschelde1,T,7,0,0,,0,,60.30453973420
1,Boven-Zeeschelde1,T,7,0,0,,0,,30.52396486950
1,Boven-Zeeschelde1,T,7,0,0,,0,gemaaide gracht,55.10488051780
1,Boven-Zeeschelde1,T,7,0,0,,0,,36.64884191410
2,Beneden-Zeeschelde,T,7,0,0,,0,,211.61117709100
2,Beneden-Zeeschelde,T,7,0,0,,0,,63.62829933380
2,Beneden-Zeeschelde,T,7,0,0,Maaibeheer,0,,58.95325626430
2,Beneden-Zeeschelde,T,7,0,0,Maaibeheer,0,,28.97211105840
2,Beneden-Zeeschelde,T,7,0,0,,0,,36.29942227120
2,Beneden-Zeeschelde,T,7,0,0,,0,,48.19167142120
2,Beneden-Zeeschelde,T,7,0,0,Maaibeheer,0,,169.82109365300
2,Rupel,T,7,0,0,,0,,36.75398432940
2,Rupel,T,7,0,0,,0,,106.16226625100
2,Rupel,T,7,0,0,,0,,234.06568888500
2,Rupel,T,7,0,0,,0,,31.36119078990
2,Rupel,T,7,0,0,,0,,20.30800157330
1,Boven-Zeeschelde1,T,7,0,0,Maaibeheer,0,,38.16601969560
1,Boven-Zeeschelde1,T,7,0,0,Maaibeheer,0,,53.77890581280
1,Durme,T,7,0,0,,0,,35.86510730210
1,Boven-Zeeschelde1,T,7,0,0,,0,,41.65501202310
1,Boven-Zeeschelde1,T,2,7,6,Maaibeheer,0,"7: gemaaid, + groot hoefblad",127.38102405100
1,Boven-Zeeschelde1,T,2,7,6,Maaibeheer,0,"7: gemaaid, + groot hoefblad",18.23583089080
1,Boven-Zeeschelde1,T,7,0,0,Maaibeheer,0,,16.08885756650
1,Boven-Zeeschelde1,T,7,0,0,,0,,10.67053788320
1,Boven-Zeeschelde1,T,7,0,0,Maaibeheer,0,,159.86679922100
1,Boven-Zeeschelde1,T,7,0,0,Maaibeheer,0,,75.87339055810
