OBJECTID;Join_Count;TARGET_FID;FID_1;District;Rivier;Zone;Vegtype1;Vegtype2;Vegtype3;Beheer;Sloot;Opmerking;Lengte;Species;Point_X;Point_Y;Data_Owner;Date;Location_A;Lat;Lon
16;1;16;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130146,53231600000;193322,62961800000;W&Z;2014;10,00000000000;4,08562927034;51,04972874450
17;1;17;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130136,72650900000;193324,59077900000;W&Z;2014;10,00000000000;4,08548932503;51,04974603850
18;1;18;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130126,86266400000;193326,18689900000;W&Z;2014;10,00000000000;4,08534857172;51,04976004910
19;1;19;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130116,93214100000;193327,36363800000;W&Z;2014;10,00000000000;4,08520689018;51,04977028740
20;1;20;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130107,00161800000;193328,54037600000;W&Z;2014;10,00000000000;4,08506520857;51,04978052550
21;1;21;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130097,07109500000;193329,71711400000;W&Z;2014;10,00000000000;4,08492352690;51,04979076350
22;1;22;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130087,14057200000;193330,89385200000;W&Z;2014;10,00000000000;4,08478184517;51,04980100130
23;1;23;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130077,22215600000;193332,16804800000;W&Z;2014;10,00000000000;4,08464033074;51,04981211540
24;1;24;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130067,30555400000;193333,45684900000;W&Z;2014;10,00000000000;4,08449884132;51,04982336070
25;1;25;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130057,38895200000;193334,74564900000;W&Z;2014;10,00000000000;4,08435735183;51,04983460570
26;1;26;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130047,47618800000;193336,06218100000;W&Z;2014;10,00000000000;4,08421591551;51,04984610010
27;1;27;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130037,58232600000;193337,51527600000;W&Z;2014;10,00000000000;4,08407474122;51,04985882240
28;1;28;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130027,68846300000;193338,96837000000;W&Z;2014;10,00000000000;4,08393356686;51,04987154460
29;1;29;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130017,79460100000;193340,42146400000;W&Z;2014;10,00000000000;4,08379239242;51,04988426660
30;1;30;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130007,90073800000;193341,87455900000;W&Z;2014;10,00000000000;4,08365121791;51,04989698850
31;1;31;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129998,00687500000;193343,32765300000;W&Z;2014;10,00000000000;4,08351004332;51,04990971010
32;1;32;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129988,11301300000;193344,78074700000;W&Z;2014;10,00000000000;4,08336886865;51,04992243160
33;1;33;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129978,26906900000;193346,53961600000;W&Z;2014;10,00000000000;4,08322838909;51,04993790330
34;1;34;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129968,42676200000;193348,30851000000;W&Z;2014;10,00000000000;4,08308793224;51,04995346490
35;1;35;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129958,58045300000;193350,05162400000;W&Z;2014;10,00000000000;4,08294741965;51,04996879450
36;1;36;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129948,66496700000;193351,34897800000;W&Z;2014;10,00000000000;4,08280594478;51,04998011460
37;1;37;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129938,74948000000;193352,64633100000;W&Z;2014;10,00000000000;4,08266446985;51,04999143460
38;1;38;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129928,83399400000;193353,94368400000;W&Z;2014;10,00000000000;4,08252299485;51,05000275440
39;1;39;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129918,91850700000;193355,24103800000;W&Z;2014;10,00000000000;4,08238151979;51,05001407410
40;1;40;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129908,97472200000;193356,29202400000;W&Z;2014;10,00000000000;4,08223965459;51,05002317800
41;1;41;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129899,02331300000;193357,27663000000;W&Z;2014;10,00000000000;4,08209768424;51,05003168480
42;1;42;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129889,07190300000;193358,26123500000;W&Z;2014;10,00000000000;4,08195571383;51,05004019140
43;1;43;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129879,12049300000;193359,24584000000;W&Z;2014;10,00000000000;4,08181374338;51,05004869790
44;1;44;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129869,16908400000;193360,23044600000;W&Z;2014;10,00000000000;4,08167177287;51,05005720410
45;1;45;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129859,21767400000;193361,21505100000;W&Z;2014;10,00000000000;4,08152980231;51,05006571030
46;1;46;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129849,26626500000;193362,19965600000;W&Z;2014;10,00000000000;4,08138783170;51,05007421620
47;1;47;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129839,27900100000;193362,67430700000;W&Z;2014;10,00000000000;4,08124537776;51,05007813680
48;1;48;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129829,28772200000;193363,09185300000;W&Z;2014;10,00000000000;4,08110286968;51,05008154380
49;1;49;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129819,29644300000;193363,50939900000;W&Z;2014;10,00000000000;4,08096036157;51,05008495060
50;1;50;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129809,30516400000;193363,92694500000;W&Z;2014;10,00000000000;4,08081785344;51,05008835720
51;1;51;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129799,31388500000;193364,34449100000;W&Z;2014;10,00000000000;4,08067534530;51,05009176370
52;1;52;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;129798,94440600000;193364,35993200000;W&Z;2014;10,00000000000;4,08067007533;51,05009188970
53;1;53;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130167,52478900000;193314,12819300000;W&Z;2014;10,00000000000;4,08592910048;51,04965304200
54;1;54;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130157,76347900000;193316,30002000000;W&Z;2014;10,00000000000;4,08578977867;51,04967223150
55;1;55;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130147,95851300000;193318,26516300000;W&Z;2014;10,00000000000;4,08564984537;51,04968956150
56;1;56;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130138,15270700000;193320,22632400000;W&Z;2014;10,00000000000;4,08550990018;51,04970685560
57;1;57;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130128,31499600000;193321,98681700000;W&Z;2014;10,00000000000;4,08536951078;51,04972234460
58;1;58;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130118,38447300000;193323,16355500000;W&Z;2014;10,00000000000;4,08522782935;51,04973258290
59;1;59;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130108,45395000000;193324,34029300000;W&Z;2014;10,00000000000;4,08508614786;51,04974282110
60;1;60;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130098,52342700000;193325,51703200000;W&Z;2014;10,00000000000;4,08494446632;51,04975305910
61;1;61;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130088,59290400000;193326,69377000000;W&Z;2014;10,00000000000;4,08480278471;51,04976329690
62;1;62;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130078,67176000000;193327,94601200000;W&Z;2014;10,00000000000;4,08466123269;51,04977421360
63;1;63;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130068,75515800000;193329,23481300000;W&Z;2014;10,00000000000;4,08451974339;51,04978545890
64;1;64;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130058,83855600000;193330,52361300000;W&Z;2014;10,00000000000;4,08437825402;51,04979670400
65;1;65;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130048,92195400000;193331,81241300000;W&Z;2014;10,00000000000;4,08423676459;51,04980794890
66;1;66;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130039,02734800000;193333,26013700000;W&Z;2014;10,00000000000;4,08409558012;51,04982062300
67;1;67;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130029,13348600000;193334,71323200000;W&Z;2014;10,00000000000;4,08395440588;51,04983334520
68;1;68;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130019,23962300000;193336,16632600000;W&Z;2014;10,00000000000;4,08381323156;51,04984606730
69;1;69;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;130009,34576100000;193337,61942000000;W&Z;2014;10,00000000000;4,08367205716;51,04985878910
70;1;70;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129999,45189800000;193339,07251400000;W&Z;2014;10,00000000000;4,08353088269;51,04987151080
71;1;71;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129989,55803600000;193340,52560900000;W&Z;2014;10,00000000000;4,08338970815;51,04988423240
72;1;72;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129979,70320300000;193342,21778100000;W&Z;2014;10,00000000000;4,08324907708;51,04989910410
73;1;73;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129969,86089600000;193343,98667500000;W&Z;2014;10,00000000000;4,08310862035;51,04991466580
74;1;74;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129960,01858800000;193345,75556900000;W&Z;2014;10,00000000000;4,08296816352;51,04993022720
75;1;75;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129950,11432600000;193347,12524800000;W&Z;2014;10,00000000000;4,08282684490;51,04994219790
76;1;76;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129940,19884000000;193348,42260200000;W&Z;2014;10,00000000000;4,08268537009;51,04995351790
77;1;77;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129930,28335300000;193349,71995500000;W&Z;2014;10,00000000000;4,08254389521;51,04996483780
78;1;78;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129920,36786600000;193351,01730800000;W&Z;2014;10,00000000000;4,08240242026;51,04997615740
79;1;79;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129910,43098600000;193352,12840900000;W&Z;2014;10,00000000000;4,08226065035;51,04998580200
80;1;80;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129900,47957700000;193353,11301400000;W&Z;2014;10,00000000000;4,08211868012;51,04999430880
81;1;81;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129890,52816700000;193354,09761900000;W&Z;2014;10,00000000000;4,08197670983;51,05000281540
82;1;82;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129880,57675800000;193355,08222500000;W&Z;2014;10,00000000000;4,08183473950;51,05001132190
83;1;83;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129870,62534800000;193356,06683000000;W&Z;2014;10,00000000000;4,08169276911;51,05001982820
84;1;84;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129860,67393900000;193357,05143500000;W&Z;2014;10,00000000000;4,08155079867;51,05002833440
85;1;85;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129850,72252900000;193358,03604000000;W&Z;2014;10,00000000000;4,08140882817;51,05003684030
86;1;86;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129840,74222400000;193358,60966600000;W&Z;2014;10,00000000000;4,08126646814;51,05004165090
87;1;87;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129830,75094500000;193359,02721200000;W&Z;2014;10,00000000000;4,08112396017;51,05004505790
88;1;88;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129820,75966600000;193359,44475800000;W&Z;2014;10,00000000000;4,08098145218;51,05004846470
89;1;89;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129810,76838700000;193359,86230400000;W&Z;2014;10,00000000000;4,08083894416;51,05005187140
90;1;90;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129800,77710800000;193360,27985000000;W&Z;2014;10,00000000000;4,08069643613;51,05005527790
91;1;91;2;1;Boven-Zeeschelde1;R;7;0;0;;0;;370,80188147700;Fallopia japonica;129799,97592600000;193360,31333200000;W&Z;2014;10,00000000000;4,08068500867;51,05005555100
92;1;92;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114349,94369000000;188060,00731600000;W&Z;2014;10,00000000000;3,86087187670;51,00166956970
93;1;93;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114339,94938500000;188060,13205000000;W&Z;2014;10,00000000000;3,86072948581;51,00167007790
94;1;94;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114329,95220800000;188060,36965300000;W&Z;2014;10,00000000000;3,86058704304;51,00167160030
95;1;95;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114319,95503100000;188060,60725700000;W&Z;2014;10,00000000000;3,86044460026;51,00167312250
96;1;96;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114309,95785400000;188060,84486100000;W&Z;2014;10,00000000000;3,86030215747;51,00167464450
97;1;97;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114299,96067700000;188061,08246400000;W&Z;2014;10,00000000000;3,86015971466;51,00167616640
98;1;98;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114289,96350100000;188061,32006800000;W&Z;2014;10,00000000000;3,86001727185;51,00167768820
99;1;99;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114279,96632400000;188061,55767200000;W&Z;2014;10,00000000000;3,85987482903;51,00167920970
100;1;100;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114269,96914700000;188061,79527600000;W&Z;2014;10,00000000000;3,85973238620;51,00168073110
101;1;101;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114259,97197000000;188062,03287900000;W&Z;2014;10,00000000000;3,85958994337;51,00168225230
102;1;102;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114249,97423500000;188062,24569700000;W&Z;2014;10,00000000000;3,85944749498;51,00168355050
103;1;103;3;1;Boven-Zeeschelde1;KR;7;0;0;Maaibeheer;0;;102,48335509100;Fallopia japonica;114247,49144200000;188062,29852200000;W&Z;2014;10,00000000000;3,85941211998;51,00168387260
104;1;104;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114349,91930700000;188064,01665700000;W&Z;2014;10,00000000000;3,86087113964;51,00170560770
105;1;105;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114339,92519600000;188064,13375400000;W&Z;2014;10,00000000000;3,86072875215;51,00170604730
106;1;106;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114329,92801900000;188064,37135800000;W&Z;2014;10,00000000000;3,86058630927;51,00170756970
107;1;107;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114319,93084200000;188064,60896200000;W&Z;2014;10,00000000000;3,86044386637;51,00170909190
108;1;108;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114309,93366600000;188064,84656500000;W&Z;2014;10,00000000000;3,86030142347;51,00171061400
109;1;109;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114299,93648900000;188065,08416900000;W&Z;2014;10,00000000000;3,86015898056;51,00171213590
110;1;110;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114289,93931200000;188065,32177300000;W&Z;2014;10,00000000000;3,86001653764;51,00171365760
111;1;111;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114279,94213500000;188065,55937600000;W&Z;2014;10,00000000000;3,85987409471;51,00171517910
112;1;112;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114269,94495800000;188065,79698000000;W&Z;2014;10,00000000000;3,85973165178;51,00171670050
113;1;113;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114259,94777700000;188066,03439900000;W&Z;2014;10,00000000000;3,85958920879;51,00171822000
114;1;114;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114249,95004000000;188066,24711700000;W&Z;2014;10,00000000000;3,85944676027;51,00171951730
115;1;115;4;1;Boven-Zeeschelde1;R;7;0;0;Maaibeheer;0;;102,37404815700;Fallopia japonica;114247,57652900000;188066,29761700000;W&Z;2014;10,00000000000;3,85941294231;51,00171982530
116;1;116;5;2;Beneden-Zeeschelde;KL;7;0;0;;0;;52,16049703590;Fallopia japonica;147565,91108200000;208476,17261500000;W&Z;2014;10,00000000000;4,33394899121;51,18627246290
117;1;117;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147563,80734100000;208466,39640500000;W&Z;2014;10,00000000000;4,33391896527;51,18618458070
118;1;118;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147561,70359900000;208456,62019500000;W&Z;2014;10,00000000000;4,33388893945;51,18609669850
119;1;119;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147559,59985800000;208446,84398600000;W&Z;2014;10,00000000000;4,33385891373;51,18600881630
120;1;120;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147557,19994900000;208437,15090500000;W&Z;2014;10,00000000000;4,33382465163;51,18592168010
121;1;121;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147553,90919400000;208427,70786900000;W&Z;2014;10,00000000000;4,33377764668;51,18583678780
122;1;122;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147550,61843900000;208418,26483300000;W&Z;2014;10,00000000000;4,33373064189;51,18575189550
123;1;123;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147547,32768400000;208408,82179700000;W&Z;2014;10,00000000000;4,33368363728;51,18566700310
124;1;124;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147544,03692900000;208399,37876100000;W&Z;2014;10,00000000000;4,33363663284;51,18558211070
125;1;125;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147540,74617400000;208389,93572500000;W&Z;2014;10,00000000000;4,33358962857;51,18549721830
126;1;126;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147537,45541900000;208380,49268900000;W&Z;2014;10,00000000000;4,33354262448;51,18541232590
127;1;127;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147534,22817300000;208371,02827600000;W&Z;2014;10,00000000000;4,33349652902;51,18532724160
128;1;128;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147531,13915000000;208361,51733800000;W&Z;2014;10,00000000000;4,33345241096;51,18524173960
129;1;129;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147528,05012800000;208352,00640000000;W&Z;2014;10,00000000000;4,33340829306;51,18515623760
130;1;130;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147524,96110500000;208342,49546200000;W&Z;2014;10,00000000000;4,33336417532;51,18507073560
131;1;131;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147522,31206900000;208332,88505400000;W&Z;2014;10,00000000000;4,33332635120;51,18498434130
132;1;132;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147521,00939600000;208322,97026500000;W&Z;2014;10,00000000000;4,33330778526;51,18489521660
133;1;133;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147519,70672300000;208313,05547600000;W&Z;2014;10,00000000000;4,33328921938;51,18480609190
134;1;134;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147518,40405000000;208303,14068600000;W&Z;2014;10,00000000000;4,33327065358;51,18471696720
135;1;135;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147517,10137700000;208293,22589700000;W&Z;2014;10,00000000000;4,33325208785;51,18462784250
136;1;136;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147515,72326200000;208283,32145300000;W&Z;2014;10,00000000000;4,33323244314;51,18453881050
137;1;137;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147514,30904800000;208273,42195800000;W&Z;2014;10,00000000000;4,33321228218;51,18444982280
138;1;138;5;2;Beneden-Zeeschelde;KL;7;0;0;Maaibeheer;0;;302,45181248700;Fallopia japonica;147512,89483400000;208263,52246300000;W&Z;2014;10,00000000000;4,33319212131;51,18436083510
