OBJECTID;Join_Count;TARGET_FID;FID_1;District;Rivier;Zone;Vegtype1;Vegtype2;Vegtype3;Beheer;Sloot;Opmerking;Lengte;Species;Point_X;Point_Y;Data_Owner;Date;Location_A;Lat;Lon
1;1;1;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114348,90072400000;188055,91817300000;W&Z;2014;10,00000000000;3,86085741610;51,00163274880
2;1;2;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114338,90354800000;188056,15577600000;W&Z;2014;10,00000000000;3,86071497344;51,00163427140
3;1;3;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114328,90637100000;188056,39338000000;W&Z;2014;10,00000000000;3,86057253078;51,00163579380
4;1;4;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114318,90919400000;188056,63098400000;W&Z;2014;10,00000000000;3,86043008810;51,00163731600
5;1;5;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114308,91201700000;188056,86858800000;W&Z;2014;10,00000000000;3,86028764542;51,00163883800
6;1;6;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114298,91484000000;188057,10619100000;W&Z;2014;10,00000000000;3,86014520272;51,00164035990
7;1;7;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114288,91766300000;188057,34379500000;W&Z;2014;10,00000000000;3,86000276002;51,00164188160
8;1;8;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114278,92048700000;188057,58139900000;W&Z;2014;10,00000000000;3,85986031731;51,00164340310
9;1;9;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114268,92331000000;188057,81900300000;W&Z;2014;10,00000000000;3,85971787459;51,00164492450
10;1;10;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114258,92608200000;188058,05432700000;W&Z;2014;10,00000000000;3,85957543135;51,00164642520
11;1;11;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114248,92834400000;188058,26704500000;W&Z;2014;10,00000000000;3,85943298305;51,00164772240
12;1;12;0;1;Boven-Zeeschelde1;KL;7;0;0;Maaibeheer;0;;101,52233405400;Fallopia japonica;114247,40635500000;188058,29942800000;W&Z;2014;10,00000000000;3,85941129766;51,00164791990
13;1;13;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130175,87012500000;193316,36922300000;W&Z;2014;10,00000000000;4,08604799070;51,04967347070
14;1;14;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130166,10881500000;193318,54104900000;W&Z;2014;10,00000000000;4,08590866888;51,04969266040
15;1;15;1;1;Boven-Zeeschelde1;KR;7;0;0;;0;;380,36980102200;Fallopia japonica;130156,33812300000;193320,66845600000;W&Z;2014;10,00000000000;4,08576921555;51,04971145030
