OBJECTID,occurrenceID,type,language,lisence,rightHolder,accessRights,datasetID,institutionCode,datasetName,basisOfRecord,"recordedBy""",District,Waterbody,zone,habitat,Vegtype2,Vegtype3,managementAction,Opmerking,Lengte,kingdom,Species,scientificNameAuthorship,taxonRank,verbatimLongitude,verbatimLatitude,verbatimCoordinateSystem,verbatimSRS,ownerInstitutionCode,EventDate,continent,countryCode,coordinateUncertaintyInMeters,decimalLongitude,decimalLatitude,coordinateSystem,nomenclaturalCode
1,INBO:IAS:FAL:D:1,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114348,9007","188055,9182",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.860857416,51.00163275,WGS84,ICBN
2,INBO:IAS:FAL:D:2,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114338,9035","188056,1558",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.860714973,51.00163427,WGS84,ICBN
3,INBO:IAS:FAL:D:3,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114328,9064","188056,3934",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.860572531,51.00163579,WGS84,ICBN
4,INBO:IAS:FAL:D:4,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114318,9092","188056,631",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.860430088,51.00163732,WGS84,ICBN
5,INBO:IAS:FAL:D:5,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114308,912","188056,8686",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.860287645,51.00163884,WGS84,ICBN
6,INBO:IAS:FAL:D:6,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114298,9148","188057,1062",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.860145203,51.00164036,WGS84,ICBN
7,INBO:IAS:FAL:D:7,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114288,9177","188057,3438",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.86000276,51.00164188,WGS84,ICBN
8,INBO:IAS:FAL:D:8,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114278,9205","188057,5814",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.859860317,51.0016434,WGS84,ICBN
9,INBO:IAS:FAL:D:9,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114268,9233","188057,819",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.859717875,51.00164492,WGS84,ICBN
10,INBO:IAS:FAL:D:10,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,doi,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,1,Upper-Zeeschelde1,KL,Fallopia covered dike,0,0,Maaibeheer,,"101,5223341",Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,"114258,9261","188058,0543",Belgiam Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,10,3.859575431,51.00164643,WGS84,ICBN
