taxonID,scientificName,Suggestion ScientificName,vernacularName,gbifapi_acceptedKey,gbifapi_acceptedScientificName,gbifapi_canonicalName,gbifapi_class,gbifapi_classKey,gbifapi_confidence,gbifapi_family,gbifapi_familyKey,gbifapi_genus,gbifapi_genusKey,gbifapi_kingdom,gbifapi_kingdomKey,gbifapi_matchType,gbifapi_note,gbifapi_order,gbifapi_orderKey,gbifapi_phylum,gbifapi_phylumKey,gbifapi_rank,gbifapi_scientificName,gbifapi_species,gbifapi_speciesKey,gbifapi_status,gbifapi_synonym,gbifapi_usageKey
INBO:RL:VAL:BUT:2011:689,Limenitis camilla,Limenitis camilla,Kleine ijsvogelvlinder,,,,,,,,,,,,,NONE Multiple equal matches for Limenitis camilla,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1102,Acupalpus transversalis ,Anthracus transversalis,Rivierbontloper,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1107,Agonum dorsale,Anchomenus dorsalis,Akkersnelloper,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1119,Agonum obscurum,Oxypselaphus obscurus,Smalhalssnelloper,,,,,,,,,,,,,NONE Multiple equal matches for Agonum obscurum,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1184,Bembidion atrocoeruleum ,Bembidion atrocaeruleum,Blauwe priemkever,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1188,Bembidion clarki ,Bembidion clarkii,Atlantische priemkever,8047965,"Bembidion clarkii (Dawson, 1849)",Bembidion clarkii,Insecta,216,99,Carabidae,3792,Bembidion,1035920,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Bembidion clarkii (Dawson, 1849)",Bembidion clarkii,8047965,ACCEPTED,False,8047965
INBO:RL:VAL:CAR:2008:1211,Bembidion mannerheimi,Bembidion mannerheimii,Moerasbospriemkever,6097867,"Bembidion mannerheimii C.R.Sahlberg, 1827",Bembidion mannerheimii,Insecta,216,99,Carabidae,3792,Bembidion,1035920,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Bembidion mannerheimii C.R.Sahlberg, 1827",Bembidion mannerheimii,6097867,ACCEPTED,False,6097867
INBO:RL:VAL:CAR:2008:1212,Bembidion maritimum ,,Brakwaterpriemkever,,,,,,,,,,,,,NONE Multiple equal matches for Bembidion maritimum,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1229,Bembidion quinquestriatum ,Ocys quinquestriatus,Muurpriemkever,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1232,Bembidion stephensi ,Bembidion stephensii,Grote leempriemkever,6097890,"Bembidion stephensii Crotch, 1866",Bembidion stephensii,Insecta,216,99,Carabidae,3792,Bembidion,1035920,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Bembidion stephensii Crotch, 1866",Bembidion stephensii,6097890,ACCEPTED,False,6097890
INBO:RL:VAL:CAR:2008:1240,Bembidion velox ,,Snelle priemkever,,,,,,,,,,,,,NONE Multiple equal matches for Bembidion velox,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1344,Harpalus azureus,Harpalus azureus,Azuurblauwe halmklimmer,,,,,,,,,,,,,NONE Multiple equal matches for Harpalus azureus,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1346,Harpalus cordatus,Harpalus cordatus,Duinhalmklimmer,,,,,,,,,,,,,NONE Multiple equal matches for Harpalus cordatus,,,,,,,,,,,,
INBO:RL:VAL:CAR:2008:1350,Harpalus froelichi ,Harpalus froelichii,Schraallandkruiper,6097925,"Harpalus froelichii Sturm, 1818",Harpalus froelichii,Insecta,216,99,Carabidae,3792,Harpalus,1035821,Animalia,1,FUZZY,,Coleoptera,1470,Arthropoda,54,SPECIES,"Harpalus froelichii Sturm, 1818",Harpalus froelichii,6097925,ACCEPTED,False,6097925
