UniqueID,TaxonomicGroup,YearPublished,Kingdom,Phylum,Class,Order,Family,Genus,Species,scientificName,SpeciesnameDutch,RLCAsPublished,RLC,RLCEurope,Criteria,IUCNCriteria,Reference,Biome,Biotope1,Biotope2,Cuddliness,Lifespan,Mobility,NutrientLevel,Spine,gbifapi_acceptedKey,gbifapi_acceptedScientificName,gbifapi_canonicalName,gbifapi_class,gbifapi_classKey,gbifapi_confidence,gbifapi_family,gbifapi_familyKey,gbifapi_genus,gbifapi_genusKey,gbifapi_kingdom,gbifapi_kingdomKey,gbifapi_matchType,gbifapi_note,gbifapi_order,gbifapi_orderKey,gbifapi_phylum,gbifapi_phylumKey,gbifapi_rank,gbifapi_scientificName,gbifapi_species,gbifapi_speciesKey,gbifapi_status,gbifapi_synonym,gbifapi_usageKey
INBO:RL:VAL:AMP:2013:24,Amphibians,2013,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,kl. Esculentus,Pelophylax kl. esculentus,Bastaardkikker,Momenteel niet in gevaar,LC,LC,IUCN,,Jooris_etal_2012,Aquatic,Eurytopic,,Non cuddly,Longlived,Sedentary,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:BIR:2004:234,BreedingBirds,2004,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,urbicum,Delichon urbica,Huiszwaluw,Kwetsbaar,VU,LC,Regional,,Devos_etal_2004,Terrestrial,Anthropogenic,,Cuddly,Shortlived,Mobile,Eutrophic,Vertebrate,2489214,"Delichon urbicum (Linnaeus, 1758)",Delichon urbicum,Aves,212,99,Hirundinidae,5248,Delichon,2489213,Animalia,1,FUZZY,,Passeriformes,729,Chordata,44,SPECIES,"Delichon urbicum (Linnaeus, 1758)",Delichon urbicum,2489214,ACCEPTED,False,2489214
INBO:RL:VAL:BIR:2004:244,BreedingBirds,2004,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,Erithacus rubecula,Roodborst,Momenteel niet bedreigd,LC,LC,Regional,,Devos_etal_2004,Terrestrial,Eurytopic,,Cuddly,Shortlived,Mobile,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Erithacus rubecula,,,,,,,,,,,,
INBO:RL:VAL:BIR:2004:313,BreedingBirds,2004,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Phylloscopus,sibilatrix,Phylloscopus sibilatrix,Fluiter,Momenteel niet bedreigd,LC,LC,Regional,,Devos_etal_2004,Terrestrial,Woodlands,,Cuddly,Shortlived,Mobile,Eutrophic,Vertebrate,8128385,"Phylloscopus sibillatrix (Bechstein, 1792)",Phylloscopus sibillatrix,Aves,212,99,Phylloscopidae,6100963,Phylloscopus,2493047,Animalia,1,FUZZY,,Passeriformes,729,Chordata,44,SPECIES,"Phylloscopus sibillatrix (Bechstein, 1792)",Phylloscopus sibillatrix,8128385,ACCEPTED,False,8128385
INBO:RL:VAL:BIR:2004:335,BreedingBirds,2004,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,torquatus,Saxicola torquata,Roodborsttapuit,Momenteel niet bedreigd,LC,LC,Regional,,Devos_etal_2004,Terrestrial,Heathlands,,Cuddly,Shortlived,Mobile,Oligotrophic,Vertebrate,2492526,"Saxicola torquatus (Linnaeus, 1766)",Saxicola torquatus,Aves,212,99,Muscicapidae,9322,Saxicola,2492516,Animalia,1,FUZZY,,Passeriformes,729,Chordata,44,SPECIES,"Saxicola torquatus (Linnaeus, 1766)",Saxicola torquatus,2492526,ACCEPTED,False,2492526
INBO:RL:VAL:BIR:2016:449,BreedingBirds,2016,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,urbicum,Delichon urbica,Huiszwaluw,Momenteel niet in gevaar,LC,LC,IUCN,,Devos_etal_2016,Terrestrial,Anthropogenic,,Cuddly,Shortlived,Mobile,Eutrophic,Vertebrate,2489214,"Delichon urbicum (Linnaeus, 1758)",Delichon urbicum,Aves,212,99,Hirundinidae,5248,Delichon,2489213,Animalia,1,FUZZY,,Passeriformes,729,Chordata,44,SPECIES,"Delichon urbicum (Linnaeus, 1758)",Delichon urbicum,2489214,ACCEPTED,False,2489214
INBO:RL:VAL:BIR:2016:461,BreedingBirds,2016,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,Erithacus rubecula,Roodborst,Momenteel niet in gevaar,LC,LC,IUCN,,Devos_etal_2016,Terrestrial,Eurytopic,,Cuddly,Shortlived,Mobile,Eutrophic,Vertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Erithacus rubecula,,,,,,,,,,,,
INBO:RL:VAL:BIR:2016:531,BreedingBirds,2016,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Phylloscopus,sibilatrix,Phylloscopus sibilatrix,Fluiter,Kwetsbaar,VU,LC,IUCN,D1,Devos_etal_2016,Terrestrial,Woodlands,,Cuddly,Shortlived,Mobile,Eutrophic,Vertebrate,8128385,"Phylloscopus sibillatrix (Bechstein, 1792)",Phylloscopus sibillatrix,Aves,212,99,Phylloscopidae,6100963,Phylloscopus,2493047,Animalia,1,FUZZY,,Passeriformes,729,Chordata,44,SPECIES,"Phylloscopus sibillatrix (Bechstein, 1792)",Phylloscopus sibillatrix,8128385,ACCEPTED,False,8128385
INBO:RL:VAL:BUT:1996:618,Butterflies,1996,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,camilla,Limenitis camilla,Kleine ijsvogelvlinder,Kwetsbaar,VU,LC,Regional,,Maes_VanDyck_1999,Terrestrial,Woodlands,,Cuddly,Shortlived,Sedentary,Mesotrophic,Invertebrate,,,,,,,,,,,,,NONE Multiple equal matches for Limenitis camilla,,,,,,,,,,,,
INBO:RL:VAL:BUT:2011:674,Butterflies,2011,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias,crocea,Colias crocea,Oranje luzernevlinder,Momenteel niet in gevaar,LC,LC,IUCN,,Maes_etal_2011,Terrestrial,Eurytopic,,Cuddly,Shortlived,Mobile,Eutrophic,Invertebrate,5137612,"Colias croceus (Geoffroy, 1785)",Colias croceus,Insecta,216,99,Pieridae,5481,Colias,7786896,Animalia,1,FUZZY,,Lepidoptera,797,Arthropoda,54,SPECIES,"Colias croceus (Geoffroy, 1785)",Colias croceus,5137612,ACCEPTED,False,5137612
