type;language;license;rightsHolder;accessRights;datasetID;datasetName;ownerInstitutionCode;eventID;parentEventID;samplingProtocol;eventDate;locationID;continent;countryCode;verbatimLocality;verbatimLatitude;verbatimLongitude;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;geodeticDatum;georeferenceSources
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN001790000364Z;INBO:NBN:BFN00179000030AF;observation;2015-09-01;INBSYS0000000239;Europe;BE;Schoten Peerdsbosbaan;217105.43;158062.22;Belgian Lambert 72;Belgian Datum 1972;51.26378;4.48426;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN00179000031BY;INBO:NBN:BFN0017900002VL1;observation;2015-02-25;INBSYS0000000239;Europe;BE;Schoten Buizerddreef;218045.74;158786.73;Belgian Lambert 72;Belgian Datum 1972;51.27222;4.49466;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN0017900002R4D;INBO:NBN:BFN0017900002LJY;observation;2013-12;INBSYS0000000239;Europe;BE;Schoten Acaciadreef 11;218381.11;161980.44;Belgian Lambert 72;Belgian Datum 1972;51.27518;4.54044;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN0017900002R4E;INBO:NBN:BFN0017900002LJZ;observation;2014-05-24;INBSYS0000000239;Europe;BE;Schoten Acaciadreef 11;218381.11;161980.44;Belgian Lambert 72;Belgian Datum 1972;51.27518;4.54044;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN0017900002R4F;INBO:NBN:BFN0017900002LK0;observation;2014-05-26;INBSYS0000000239;Europe;BE;Schoten Acaciadreef 11;218381.11;161980.44;Belgian Lambert 72;Belgian Datum 1972;51.27518;4.54044;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN0017900002R4G;INBO:NBN:BFN0017900002LK1;observation;2014-02-28;INBSYS0000000239;Europe;BE;Schoten Vordenstein;216927.87;158629.47;Belgian Lambert 72;Belgian Datum 1972;51.26218;4.49238;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN0017900002R4H;INBO:NBN:BFN0017900002LK2;observation;2014-02-26;INBSYS0000000239;Europe;BE;Schoten Vordenstein;216927.87;158629.47;Belgian Lambert 72;Belgian Datum 1972;51.26218;4.49238;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN0017900002R4I;INBO:NBN:BFN0017900002LK3;observation;2014-03-08;INBSYS0000000239;Europe;BE;Schoten Vordenstein;216927.87;158629.47;Belgian Lambert 72;Belgian Datum 1972;51.26218;4.49238;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN001790000379L;INBO:NBN:BFN00179000031CR;roadkill;2016-03-08;INBSYS0000000064;Europe;BE;"Dilsen-Stokkem ";193225.548;242186.574;Belgian Lambert 72;Belgian Datum 1972;51.04185;5.68327;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN0017900003CG6;INBO:NBN:BFN00179000036DX;observation;2017-02-24;NULL;Europe;BE;Brechtsebaan in Schoten richting Sint Job. (Tussen legerbaan en kempense dreef);219304.24;161861.26;Belgian Lambert 72;Belgian Datum 1972;51.28348;4.53876;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN0017900003CG7;INBO:NBN:BFN00179000036DY;observation;2016-12-29;BFN00179000006UL;Europe;BE;"Meerdaal ";190117.32;187392.78;Belgian Lambert 72;Belgian Datum 1972;51.02004;4.90168;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN0017900003BWQ;INBO:NBN:BFN00179000035UO;observation;2016-11-16;NULL;Europe;BE;;193281.29;237454.56;Belgian Lambert 72;Belgian Datum 1972;51.04308;5.61582;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN00179000038AL;INBO:NBN:BFN00179000032CY;observation;2016;INBSYS0000000285;Europe;BE;Wijnegem Koolsveldlaan;213307.27;160348.37;Belgian Lambert 72;Belgian Datum 1972;51.22961;4.51690;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN00179000038HF;INBO:NBN:BFN00179000032JM;roadkill;2004-08-31;INBSYS0000001359;Europe;BE;"Betekom ";187282.972469;179269.46175;Belgian Lambert 72;Belgian Datum 1972;50.99503;4.78568;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Muntjak in Flanders, Belgium;INBO;INBO:NBN:BFN00179000038HG;INBO:NBN:BFN00179000032JN;shooting;2004-11-01;INBSYS0000000868;Europe;BE;"Hamont ";216407.443382;231095.162755;Belgian Lambert 72;Belgian Datum 1972;51.25186;5.53032;WGS84;site centroid
