eventID;samplingProtocol;occurrenceID;recordedBy;individualCount;summaryIndividualCount;sex;lifestage;occurrenceStatus;type;basisOfRecord;identifiedBy;scientificName;kingdom;phylum;class;taxonRank;scientificNameAuthorship;vernacularName;nomenclaturalCode
INBO:NBN:BFN00179000036X2;observation;INBO:NBN:BFN001790000A4JN;BFN001790000057S;2;"""Geit"":1, ""Kits (vrouw)"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000057S;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036Y4;observation;INBO:NBN:BFN001790000A4KT;BFN001790000057S;1;"""Onbekend"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000057S;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000036X6;observation;INBO:NBN:BFN001790000A4JR;BFN001790000057V;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000057V;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036X4;observation;INBO:NBN:BFN001790000A4JP;BFN001790000057W;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000057W;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036WY;observation;INBO:NBN:BFN001790000A4JG;BFN001790000057Z;1;"""Kits (onbekend)"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000057Z;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036WY;observation;INBO:NBN:BFN001790000A4JH;BFN001790000057Z;1;"""Geit"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000057Z;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036WY;observation;INBO:NBN:BFN001790000A4JI;BFN001790000057Z;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000057Z;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036WR;observation;INBO:NBN:BFN001790000A4J7;BFN001790000057Z;1;"""Geit"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000057Z;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036WV;observation;INBO:NBN:BFN001790000A4JB;BFN0017900000582;1;"""Geit"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000582;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036WV;observation;INBO:NBN:BFN001790000A4JC;BFN0017900000582;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000582;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036XS;observation;INBO:NBN:BFN001790000A4KF;BFN0017900000585;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000585;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN0017900003793;observation;INBO:NBN:BFN001790000A510;BFN001790000058E;1;"""Onbekend"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000058G;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN001790000379L;roadkill;INBO:NBN:BFN001790000A51G;BFN001790000058J;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000058J;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000037B9;observation;INBO:NBN:BFN001790000A5KT;BFN001790000058L;1;"""Juveniel Man"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000058L;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000037BA;observation;INBO:NBN:BFN001790000A5KU;BFN001790000058M;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000058M;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000038AL;observation;INBO:NBN:BFN001790000A870;BFN001790000058X;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000058X;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000038HJ;capture;INBO:NBN:BFN001790000AACH;BFN0017900000593;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000593;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000038HG;shooting;INBO:NBN:BFN001790000AACE;BFN0017900000593;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000593;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000038HI;roadkill;INBO:NBN:BFN001790000AACG;BFN0017900000593;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000593;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000038HK;roadkill;INBO:NBN:BFN001790000AACI;BFN0017900000593;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000593;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000038HL;observation;INBO:NBN:BFN001790000AACJ;BFN0017900000593;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000593;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000038HF;roadkill;INBO:NBN:BFN001790000AACD;BFN0017900000593;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000593;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000038HH;shooting;INBO:NBN:BFN001790000AACF;BFN0017900000593;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000593;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN0017900003BXJ;capture;INBO:NBN:BFN001790000B0NZ;BFN00179000005B3;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN00179000005B3;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN0017900003CG6;observation;INBO:NBN:BFN001790000B5F1;BFN00179000005BB;1;"""Onbekend"":1";NULL;NULL;present;Event;HumanObservation;BFN00179000005BB;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
