occurrenceID	sample_cd	country_cd	region_cd	province_cd	district_cd	district_nm	municipality_PT_nm	locality_nm	location_nm	sampling_site_cd	latitude	longitude	decimalLatitude	decimalLongitude	altitude	sampling_date_b	sampling_date_e	method_cd	collector_nm	species_cd	species_nm_full	mm	ff	ID_doubtful?	coll_position_cd	identified_by	identified_date	collection cd	preservation_method_cd	remarks_spm
118253	ES/2015/006d/PA	ES	Andalucía	Almería			-	Abrucena	-	-	371.134	-28.363	37.1134	-2.8363	1215		2015-05-05	SW	Piluca Álvarez	MEDEAGLA	Medetera aglaops Pollet, 2022	0	1	ONWAAR	RC/PAL/3386	Marc Pollet	9/08/2020	MAPC	W	
120534	ES/2017/003/PA	ES	Andalucía	Almería			-	Laujar de Andarax	-	-	3.709.063	-291.408	37.09063	-2.91408	2343		2017-05-11	SW	Francisco Rodríguez-Luque	MEDEAGLA	Medetera aglaops Pollet, 2022	1	0	ONWAAR	RC/PAL/3598	Marc Pollet	5/10/2020	MAPC	W	
118249	ES/2015/002a/PA	ES	Andalucía	Almería			-	Vícar	-	-	368.389	-378.336	36.8389	-3.78336	342		2015-03-26	SW	Piluca Álvarez	MEDEAGLA	Medetera aglaops Pollet, 2022	0	1	ONWAAR	RC/PAL/3386	Marc Pollet	9/08/2020	MAPC	W	
117961	ES/2020/004/JM	ES	Andalucía	Sevilla			Sanlucar la Mayor	Corredor Verde	-	-	373.968	-62.285	37.3968	-6.2285			2020-03-11	SW	J. Mortelmans & D. Volckaert	MEDEAGLA	Medetera aglaops Pollet, 2022	0	3	ONWAAR	RC/PAL/3484	Marc Pollet	12/08/2020	MAPC	W	
118250	ES/2015/006c/PA	ES	Andalusia	Granada			-	Acequias	-	-	369.629	-354.654	36.9629	-3.54654	780		2015-04-23	SW	Piluca Álvarez	MEDEAGLA	Medetera aglaops Pollet, 2022	1	1	ONWAAR	RC/PAL/3386	Marc Pollet	9/08/2020	MAPC	W	
118258	ES/2015/007b/PA	ES	Andalusia	Granada			-	El Cerro Gordo	-	-	3.673.355	-37.711	36.73355	-3.7711	58		2015-04-24	SW	Piluca Álvarez	MEDEAGLA	Medetera aglaops Pollet, 2022	4	0	ONWAAR	RC/PAL/3386	Marc Pollet	9/08/2020	MAPC	W	
118232	ES/2015/001b/PA	ES	Andalusia	Granada			-	Lobres	-	-	367.860	-35.327	36.786	-3.5327	97		2015-04-24	SW	Piluca Álvarez	MEDEAGLA	Medetera aglaops Pollet, 2022	3	1	ONWAAR	RC/PAL/3386	Marc Pollet	9/08/2020	MAPC	W	
120531	ES/2017/001/PA	ES	Castilla - La Mancha	Toledo			-	Argés	Guajaraz Reservoir	-	3.979.655	-408.379	39.79655	-4.08379	605		2017-04-25	SW	Piluca Álvarez	MEDEAGLA	Medetera aglaops Pollet, 2022	1	0	ONWAAR	RC/PAL/3598	Marc Pollet	5/10/2020	MAPC	W	
120966	FR-COR/2020/025/MNHN	FR		Corse-du-Sud (2A)				Quenza	Plateau du Coscione, Castellu d'Ornucciu		418.327.255.249.023	915.901.279.449.463	41.83272552	9.159012794	1636	2019-06-25	2019-06-29	YPT	Claire Villemant	MEDEAGLA	Medetera aglaops Pollet, 2022	0	1	ONWAAR	RC/FR-COR/181	Marc Pollet	6/12/2020	MAPC	W	
121134	FR-COR/2020/147/MNHN	FR		Corse-du-Sud (2A)				Sorbollano	Campu di Bonza		417.698.669.433.594	912.492.656.707.764	41.76986694	9.124926567	890	2020-02-21	2020-06-05	MT	Eddy Poirier, Rémy Poncet & Julien Touroult	MEDEAGLA	Medetera aglaops Pollet, 2022	1	2	ONWAAR	RC/FR-COR/181	Marc Pollet	6/12/2020	MAPC	W	
121149	FR-COR/2020/176/MNHN	FR		Corse-du-Sud (2A)				Zicavo	-		41.876.356	9.132.745	41.876356	9.132745	1244	2019-06-24	2019-06-28	YPT	Romain Le Divelec	MEDEAGLA	Medetera aglaops Pollet, 2022	1	0	ONWAAR	RC/FR-COR/181	Marc Pollet	6/12/2020	MAPC	W	
121063	FR-COR/2020/086/MNHN	FR		Haute-Corse				Oletta	-		4.265.401.178.095.540	9.295.872.382.020.840	42.65401178	9.295872382		2020-10-17	2020-10-20	RsPT	Romain Le Divelec	MEDEAGLA	Medetera aglaops Pollet, 2022	1	2	ONWAAR	RC/FR-COR/181	Marc Pollet	6/12/2020	MAPC	W	
121029	FR-COR/2020/060/MNHN	FR		Haute-Corse				Palasca	-		426.639.556.884.766	906.591.701.507.568	42.66395569	9.065917015	87	2020-10-12	2020-10-21		Jean Ichter, Eddy Poirier, Julien Touroult & Camille Gazay	MEDEAGLA	Medetera aglaops Pollet, 2022	2	2	ONWAAR	RC/FR-COR/181	Marc Pollet	6/12/2020	MAPC	W	
121030	FR-COR/2020/060/MNHN	FR		Haute-Corse				Palasca	-		426.639.556.884.766	906.591.701.507.568	42.66395569	9.065917015	87	2020-10-12	2020-10-21		Jean Ichter, Eddy Poirier, Julien Touroult & Camille Gazay	MEDEAGLA	Medetera aglaops Pollet, 2022	0	2	ONWAAR	RC/FR-COR/181	Marc Pollet	6/12/2020	MAPC	W	
121037	FR-COR/2020/062/MNHN	FR		Haute-Corse				Palasca	Vadellare stream, Gradu		42.659.481.048.584	907.185.173.034.668	42.65948105	9.07185173	5	2020-10-12	2020-10-21	MT	Eddy Poirier	MEDEAGLA	Medetera aglaops Pollet, 2022	2	2	ONWAAR	RC/FR-COR/181	Marc Pollet	6/12/2020	MAPC	W	
121041	FR-COR/2020/062/MNHN	FR		Haute-Corse				Palasca	Vadellare stream, Gradu		42.659.481.048.584	907.185.173.034.668	42.65948105	9.07185173	5	2020-10-12	2020-10-21	MT	Eddy Poirier	MEDEAGLA	Medetera aglaops Pollet, 2022	1	0	ONWAAR	RC/FR-COR/181	Marc Pollet	6/12/2020	MAPC	W	
116596	FR/2022/045/FB	FR	Provence-Alpes-Côte d'Azur	Alpes-Maritimes				Mandelieu	Esterel		4.352.177	689.584	43.52177	6.89584	70	2022-05-03	2022-05-03	HC	Frédéric Belin	MEDEAGLA	Medetera aglaops Pollet, 2022	2	1	ONWAAR	RC/PAL/4219	Marc Pollet	27/10/2021	MAPC	W	
118397	IT/2006/009/GN	IT	Sardinia	Carbonia-Iglesias			-	Domusnovas	Valle Oridda	S3 [SAR06-S3-4°]	39.408.932	8.616.372	39.408932	8.616372	592	2006-04-17	2006-05-01	MT	G. Chessa	MEDEAGLA	Medetera aglaops Pollet, 2022	1	0	ONWAAR	26	Marc Pollet	29/06/2013	MAPC	W	
118405	IT/2006/024/GN	IT	Sardinia	Carbonia-Iglesias			-	Iglesias	Marganai, Tintillonis	Plot Conecofor SAR1	39.345.887	8.570.726	39.345887	8.570726	480	2004-09-21	2004-09-24	MT	D. Birtele, P. Cerretti, E. Gatti, F. Mason & D. Whitmore	MEDEAGLA	Medetera aglaops Pollet, 2022	3	2	ONWAAR	81	Marc Pollet	29/06/2013	MAPC	W	
118375	IT/2006/001/GN	IT	Sardinia	Carbonia-Iglesias			-	Iglesias	nr colonia Beneck	S1 [SAR06-S1-3']	39.347.590	8.563.532	39.34759	8.563532	636	2006-04-17	2006-05-01	MT	G. Chessa	MEDEAGLA	Medetera aglaops Pollet, 2022	2	0	ONWAAR	14	Marc Pollet	29/06/2013	MAPC	W	
