ï»¿eventID,type,basisOfRecord,occurrenceID,recordedBy,individualCount,summaryIndividualCount,sex,lifestage,occurrenceStatus,samplingProtocol,identifiedBy,scientificName,kingdom,phylum,class,taxonRank,scientificNameAuthorship,vernacularName
INBO:NBN:BFN0017900002WJ0,Event,HumanObservation,INBO:NBN:BFN0017900009NWV,BFN001790000015Y | BFN001790000055P,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000015Y,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900003788,Event,HumanObservation,INBO:NBN:BFN001790000A50M,BFN0017900000294,1,"""Adult Vrouw"":1","{""female"":1}","{""adult"":1}",present,Capture,BFN0017900000294,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN001790000378M,Event,HumanObservation,INBO:NBN:BFN001790000A50R,BFN00179000004PN | BFN00179000004PO | BFN00179000004PP,9,"""Adult Man"":1, ""Adult Vrouw"":1, ""Juveniel"":7","{""male"":1, ""female"":1}","{""adult"":1, ""adult"":1, ""juvenile"":7}",present,casual observation,BFN001790000055P,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O4Y,Event,HumanObservation,INBO:NBN:BFN001790000984R,BFN00179000002AG,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O52,Event,HumanObservation,INBO:NBN:BFN001790000984V,BFN00179000002AG,3,"""Pulli"":2, ""Adult Vrouw"":1","{""female"":1}","{""pulli"":2, ""adult"":1}",present,culling - shooting,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O57,Event,HumanObservation,INBO:NBN:BFN001790000984Z,BFN00179000002AG,1,"""Juveniel"":1",NULL,"{""juvenile"":1}",present,culling - shooting,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN001790000378Q,Event,HumanObservation,INBO:NBN:BFN001790000A50U,BFN00179000004PP | BFN00179000002AG,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,casual observation,BFN001790000055P,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002OHA,Event,HumanObservation,INBO:NBN:BFN001790000993U,BFN001790000005G,1,"""Juveniel"":1",NULL,"{""juvenile"":1}",present,culling - shooting,BFN001790000005G,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002XFG,Event,HumanObservation,INBO:NBN:BFN0017900009PKC,BFN00179000002AF | BFN0017900000562,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O59,Event,HumanObservation,INBO:NBN:BFN0017900009851,BFN00179000004PP,4,"""Adult Vrouw"":1, ""Adult Man"":3","{""female"":1, ""male"":3}","{""adult"":1, ""adult"":3}",present,casual observation,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O4Z,Event,HumanObservation,INBO:NBN:BFN001790000984S,BFN00179000002AG,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000037AN,Event,HumanObservation,INBO:NBN:BFN001790000A5K9,BFN00179000004PN,2,"""Adult Vrouw"":1, ""Adult Man"":1","{""female"":1, ""male"":1}","{""adult"":1, ""adult"":1}",present,casual observation,BFN00179000004PN,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002XE7,Event,HumanObservation,INBO:NBN:BFN0017900009PEK,BFN00179000002AF,2,"""Adult Vrouw"":1, ""Adult Man"":1","{""female"":1, ""male"":1}","{""adult"":1, ""adult"":1}",present,culling - shooting,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000037AT,Event,HumanObservation,INBO:NBN:BFN001790000A5KC,BFN001790000055P | BFN001790000058K,2,"""Adult Man"":1, ""Adult Vrouw"":1","{""male"":1, ""female"":1}","{""adult"":1, ""adult"":1}",present,culling - shooting,BFN001790000055P,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900003786,Event,HumanObservation,INBO:NBN:BFN001790000A50N,BFN0017900000294,1,"""Adult Vrouw"":1","{""female"":1}","{""adult"":1}",present,casual observation,BFN0017900000294,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
