type;language;license;rightsHolder;accessRights;datasetID;datasetName;institutionCode;ownerInstitutionCode;eventID;parentEventID;samplingProtocol;eventDate;locationID;continent;countryCode;verbatimLocality;verbatimLatitude;verbatimLongitude;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;geodeticDatum;georeferenceSources
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN00179000025SB;INBO:NBN:BFN001790000216S;Capture;2012-02-03;INBSYS0000001574;Europe;BE;Zwevegem Pluimbeek op de grens tss kortrijk en zwevegem;167839.628;75478.71;Belgian Lambert 72;Belgian Datum 1972;50.81623;3.31125;WGS84;estimated from map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN001790000378Z;INBO:NBN:BFN001790000216S;casual observation;2012-02-03;INBSYS0000001574;Europe;BE;Zwevegem Pluimbeek op de grens tss kortrijk en zwevegem;167839.628;75478.71;Belgian Lambert 72;Belgian Datum 1972;50.81623;3.31125;WGS84;estimated from map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN00179000025SD;INBO:NBN:BFN001790000216T;culling - shooting;2012-05-01;BFN00179000005HG;Europe;BE;Beveren - Groot Rietveld Groot Rietveld;216602.15;143274.88;Belgian Lambert 72;Belgian Datum 1972;51.25928;4.27242;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN001790000378X;INBO:NBN:BFN001790000216T;casual observation;2012-05-01;BFN00179000005HG;Europe;BE;Beveren - Groot Rietveld Groot Rietveld;216602.15;143274.88;Belgian Lambert 72;Belgian Datum 1972;51.25928;4.27242;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN00179000025SE;INBO:NBN:BFN001790000216Y;culling - shooting;2012-05-04;BFN00179000005HG;Europe;BE;Beveren - Groot Rietveld Groot Rietveld;216602.15;143274.88;Belgian Lambert 72;Belgian Datum 1972;51.25928;4.27242;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN00179000025SF;INBO:NBN:BFN001790000216Z;casual observation;2012-05-22;INBSYS0000000029;Europe;BE;Beveren Groot Rietveld en Haasop;216246.42;143917.92;Belgian Lambert 72;Belgian Datum 1972;51.25609;4.28164;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002NOY;INBO:NBN:BFN0017900002ICA;culling - shooting;2013-09-14;BFN00179000006RZ;Europe;BE;Rangeerstation Antwerpen-Noord - Verlegde Schijn Verlegde Schijns;221643.0;148683.0;Belgian Lambert 72;Belgian Datum 1972;51.30462;4.34987;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN001790000378M;INBO:NBN:BFN0017900002ICA;casual observation;2013-09-14;BFN00179000006RZ;Europe;BE;Rangeerstation Antwerpen-Noord - Verlegde Schijn Verlegde Schijns;221643.0;148683.0;Belgian Lambert 72;Belgian Datum 1972;51.30462;4.34987;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002O4X;INBO:NBN:BFN0017900002IRX;culling - shooting;2011-05-10;BFN00179000006U8;Europe;BE;Beveren - Haasop Haasop;215384.35;140300.9;Belgian Lambert 72;Belgian Datum 1972;51.24829;4.22985;WGS84;internal map
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002O4Y;INBO:NBN:BFN0017900002IRY;culling - shooting;2011-06-30;BFN00179000005HG;Europe;BE;Beveren - Groot Rietveld Groot Rietveld;215392.0;144946.0;Belgian Lambert 72;Belgian Datum 1972;51.24842;4.29638;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002O4Z;INBO:NBN:BFN0017900002IRZ;culling - shooting;2011-07-08;INBSYS0000000029;Europe;BE;Beveren - Groot Rietveld Groot Rietveld;216064.17;140771.98;Belgian Lambert 72;Belgian Datum 1972;51.25441;4.23658;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002O51;INBO:NBN:BFN0017900002IS0;casual observation;2011-07-28;BFN00179000005HG;Europe;BE;Beveren - Groot Rietveld Groot Rietveld;215392.0;144946.0;Belgian Lambert 72;Belgian Datum 1972;51.24842;4.29638;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002O50;INBO:NBN:BFN0017900002IS0;culling - shooting;2011-07-28;BFN00179000005HG;Europe;BE;Beveren - Groot Rietveld Groot Rietveld;215392.0;144946.0;Belgian Lambert 72;Belgian Datum 1972;51.24842;4.29638;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002O52;INBO:NBN:BFN0017900002IS1;culling - shooting;2011-08-17;BFN00179000005HG;Europe;BE;"Beveren - Groot Rietveld eerst zijgracht kant fort ";215392.0;144946.0;Belgian Lambert 72;Belgian Datum 1972;51.24842;4.29638;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002O53;INBO:NBN:BFN0017900002IS1;casual observation;2011-08-17;BFN00179000005HG;Europe;BE;"Beveren - Groot Rietveld eerst zijgracht kant fort ";215392.0;144946.0;Belgian Lambert 72;Belgian Datum 1972;51.24842;4.29638;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002O55;INBO:NBN:BFN0017900002IS1;casual observation;2011-08-17;BFN00179000005HG;Europe;BE;"Beveren - Groot Rietveld rietveld ";215392.0;144946.0;Belgian Lambert 72;Belgian Datum 1972;51.24842;4.29638;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002O54;INBO:NBN:BFN0017900002IS1;culling - shooting;2011-08-17;BFN00179000005HG;Europe;BE;"Beveren - Groot Rietveld rietveld ";215392.0;144946.0;Belgian Lambert 72;Belgian Datum 1972;51.24842;4.29638;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002O57;INBO:NBN:BFN0017900002IS2;culling - shooting;2011-08-18;BFN00179000005HG;Europe;BE;Beveren - Groot Rietveld groot rietveld;215392.0;144946.0;Belgian Lambert 72;Belgian Datum 1972;51.24842;4.29638;WGS84;site centroid
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;http://www.inbo.be/en/norms-for-data-use;Complete with DOI;datasetName - Ruddy duck in Flanders, Belgium;INBO;INBO;INBO:NBN:BFN0017900002O58;INBO:NBN:BFN0017900002IS2;casual observation;2011-08-18;BFN00179000005HG;Europe;BE;Beveren - Groot Rietveld groot rietveld;215392.0;144946.0;Belgian Lambert 72;Belgian Datum 1972;51.24842;4.29638;WGS84;site centroid
