type,datasetName,language,license,rightsHolder,eventID,countryCode,stateProvince,district_cd,county,municipality,locality,sampling_site_cd,continent,verbatimLongitude,verbatimLatitude,verbatimSRS,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,verbatimElevation,eventDate,samplingProtocol,recordedBy,ID_doubtful?,sampling_date_b,verbatimEventDate,sampling_date_e,identificationRemarks
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:001:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | Aves aq.,Aves aq.,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-09-23,sweep net,Rui Andrade,false,2009-09-23,2009-09-23 / 2009-09-23,2009-09-23,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:002:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | Eufórbias,Eufórbias,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-09-05,sweep net,Rui Andrade,false,2009-09-05,2009-09-05 / 2009-09-05,2009-09-05,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:003:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Mafamude | Jardim Soares dos Reis | Flores,Flores,Europe,"8° 36'44.0""W","41° 07'22.4""N",WGS84,41.11733,-8.60111,30,WGS84,125,2009-09-29,yellow pan trap,Rui Andrade,false,2009-09-29,2009-09-29 / 2009-09-29,2009-09-29,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:004:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | Eufórbias,Eufórbias,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-09-23,sweep net,Rui Andrade,false,2009-09-23,2009-09-23 / 2009-09-23,2009-09-23,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:005:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Oliveira do Douro | Parque Municipal da Lavandeira | Relvado,Relvado,Europe,"8° 35'40.9""W","41° 07'18.4""N ",WGS84,41.11900,-8.58358,30,WGS84,100,2009-10-29,yellow pan trap,Rui Andrade,false,2009-10-29,2009-10-29 / 2009-10-29,2009-10-29,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:006:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | Urtigas,Urtigas,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-09-05,yellow pan trap,Rui Andrade,false,2009-09-05,2009-09-05 / 2009-09-05,2009-09-05,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:007:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | Chasco,Chasco,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-09-23,sweep net,Rui Andrade,false,2009-09-23,2009-09-23 / 2009-09-23,2009-09-23,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:008:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Canidelo | Reserva Natural Local do Estuário do Douro (Cabedelo) | -,-,Europe,"8° 39'53.4""W","41° 08'13.3""N",WGS84,41.13425,-8.65094,30,WGS84,"7,5",2009-09-21,yellow pan trap,Rui Andrade,false,2009-09-21,2009-09-21 / 2009-09-21,2009-09-21,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:009:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Canidelo | Reserva Natural Local do Estuário do Douro (Cabedelo) | -,-,Europe,"8° 39'53.4""W","41° 08'13.3""N",WGS84,41.13425,-8.65094,30,WGS84,"7,5",2009-10-27,yellow pan trap,Rui Andrade,false,2009-10-27,2009-10-27 / 2009-10-27,2009-10-27,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:010:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | Aves aq.,Aves aq.,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-09-23,yellow pan trap,Rui Andrade,false,2009-09-23,2009-09-23 / 2009-09-23,2009-09-23,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:011:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | -,-,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-09-05,sweep net,Rui Andrade,false,2009-09-05,2009-09-05 / 2009-09-05,2009-09-05,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:012:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | Chasco,Chasco,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-10-14,sweep net,Rui Andrade,false,2009-10-14,2009-10-14 / 2009-10-14,2009-10-14,"tiIII entirely pale, taIII dark with extreme basis pale"
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:013:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Mafamude | Jardim Soares dos Reis | Flores,Flores,Europe,"8° 36'44.0""W","41° 07'22.4""N",WGS84,41.11733,-8.60111,30,WGS84,125,2009-09-15,yellow pan trap,Rui Andrade,false,2009-09-15,2009-09-15 / 2009-09-15,2009-09-15,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:014:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | Aves aq.,Aves aq.,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-10-14,sweep net,Rui Andrade,false,2009-10-14,2009-10-14 / 2009-10-14,2009-10-14,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:015:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | Aves aq.,Aves aq.,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-09-23,sweep net,Rui Andrade,false,2009-09-23,2009-09-23 / 2009-09-23,2009-09-23,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:016:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | Aves aq.,Aves aq.,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-09-05,yellow pan trap,Rui Andrade,false,2009-09-05,2009-09-05 / 2009-09-05,2009-09-05,
event,Dolichopodidae of Portugal - dataset 2018,en,https://creativecommons.org/licenses/by/2.0/,Marc Pollet | Rui Andrade,PT:2009:017:RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes | Parque Biológico de Gaia (PBG) | Aves aq.,Aves aq.,Europe,"8° 33'35.0""W","41° 05'57.9""N",WGS84,41.08553,-8.55139,30,WGS84,60,2009-09-05,sweep net,Rui Andrade,false,2009-09-05,2009-09-05 / 2009-09-05,2009-09-05,
