occurrenceID,type,basisOfRecord,eventID,samplingProtocol,collectedBy,scientificName,individualCount,sex,identifiedBy,dateIdentified,collectionCode,preparations
PT:DOL:95883,event,preservedSpecimen,PT:2010:034:RA,yellow pan trap,Pedro Andrade,"Acropsilus niger (Loew, 1869)",1,1 male | 0 female,Marc Pollet,2011-12-04,MAPC,Wet | 75% alcohol
PT:DOL:95881,event,preservedSpecimen,PT:2010:029:RA,yellow pan trap,Pedro Andrade,"Acropsilus niger (Loew, 1869)",1,0 male | 1 female,Marc Pollet,2011-12-04,MAPC,Wet | 75% alcohol
PT:DOL:95880,event,preservedSpecimen,PT:2009:011:RA,sweep net,Rui Andrade,"Acropsilus niger (Loew, 1869)",1,0 male | 1 female,Marc Pollet,2011-10-07,MAPC,Wet | 75% alcohol
PT:DOL:95885,event,preservedSpecimen,PT:2010:056:RA,yellow pan trap,Pedro Andrade,"Acropsilus niger (Loew, 1869)",4,1 male | 3 female,Marc Pollet,2011-12-04,MAPC,Wet | 75% alcohol
PT:DOL:97659,event,preservedSpecimen,PT:2013:008:RA,sweep net,Rui Andrade,"Acropsilus niger (Loew, 1869)",1,1 male | 0 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:97626,event,preservedSpecimen,PT:2013:010:RA,sweep net,Rui Andrade,"Acropsilus niger (Loew, 1869)",1,0 male | 1 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:97774,event,preservedSpecimen,PT:2016:373:RA,sweep net,Rui Andrade,"Acropsilus niger (Loew, 1869)",1,1 male | 0 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:96519,event,preservedSpecimen,PT:2016:001:VJ,collection by hand,Valter Jacinto,"Anahydrophorus cinereus (Fabricius, 1805)",2,0 male | 2 female,Marc Pollet,2016-08-29,MAPC,Wet | 75% alcohol
PT:DOL:98136,event,preservedSpecimen,PT:2015:412:AG,sweep net,Ana Rita Gonçalves,"Anahydrophorus cinereus (Fabricius, 1805)",2,1 male | 1 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:96063,event,preservedSpecimen,PT:2011:058:RA,sweep net,Rui Andrade,"Anepsiomyia flaviventris (Meigen, 1824)",1,0 male | 1 female,Marc Pollet,2011-10-30,MAPC,Wet | 75% alcohol
PT:DOL:96155,event,preservedSpecimen,PT:2011:075:RA,sweep net,Rui Andrade,"Anepsiomyia flaviventris (Meigen, 1824)",1,0 male | 1 female,Marc Pollet,2011-10-30,MAPC,Wet | 75% alcohol
PT:DOL:97974,event,preservedSpecimen,PT:2014:009:ADB,sweep net,Anja De Braekeleer,"Anepsiomyia flaviventris (Meigen, 1824)",3,0 male | 3 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:95851,event,preservedSpecimen,PT:2011:030:RA,sweep net,Rui Andrade,"Anepsiomyia flaviventris (Meigen, 1824)",2,2 male | 0 female,Marc Pollet,2011-06-18,MAPC,Wet | 75% alcohol
PT:DOL:96462,event,preservedSpecimen,PT:2011:235:RA,collection by hand,Rui Andrade,"Anepsiomyia flaviventris (Meigen, 1824)",1,1 male | 0 female,Marc Pollet,2012-01-28,MAPC,Wet | 75% alcohol
PT:DOL:95629,event,preservedSpecimen,PT:2010:006:RA,sweep net,Rui Andrade,"Anepsiomyia flaviventris (Meigen, 1824)",7,3 male | 4 female,Marc Pollet,2011-04-26,MAPC,Wet | 75% alcohol
PT:DOL:97861,event,preservedSpecimen,PT:2014:028:MP,sweep net,Marc Pollet,"Anepsiomyia flaviventris (Meigen, 1824)",6,5 male | 1 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:96487,event,preservedSpecimen,PT:2011:239:RA,sweep net,Rui Andrade,"Anepsiomyia flaviventris (Meigen, 1824)",1,0 male | 1 female,Marc Pollet,2012-01-28,MAPC,Wet | 75% alcohol
PT:DOL:96053,event,preservedSpecimen,PT:2011:057:RA,sweep net,Rui Andrade,"Anepsiomyia flaviventris (Meigen, 1824)",1,1 male | 0 female,Marc Pollet,2011-10-30,MAPC,Wet | 75% alcohol
PT:DOL:97904,event,preservedSpecimen,PT:2014:010:ADB,sweep net,Anja De Braekeleer,"Anepsiomyia flaviventris (Meigen, 1824)",18,0 male | 18 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:95820,event,preservedSpecimen,PT:2011:024:RA,sweep net,Rui Andrade,"Anepsiomyia flaviventris (Meigen, 1824)",12,4 male | 8 female,Marc Pollet,2011-06-18,MAPC,Wet | 75% alcohol
PT:DOL:97928,event,preservedSpecimen,PT:2014:029:MP,sweep net,Marc Pollet,"Anepsiomyia flaviventris (Meigen, 1824)",8,7 male | 1 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:97847,event,preservedSpecimen,PT:2014:008:ADB,sweep net,Anja De Braekeleer,"Anepsiomyia flaviventris (Meigen, 1824)",3,0 male | 3 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:96293,event,preservedSpecimen,PT:2009:139:RA,yellow pan trap,Rui Andrade,"Anepsiomyia flaviventris (Meigen, 1824)",1,0 male | 1 female,Marc Pollet,2012-01-10,MAPC,Wet | 75% alcohol
PT:DOL:96156,event,preservedSpecimen,PT:2011:112:RA,sweep net,Rui Andrade,"Anepsiomyia flaviventris (Meigen, 1824)",1,1 male | 0 female,Marc Pollet,2011-12-04,MAPC,Wet | 75% alcohol
PT:DOL:97968,event,preservedSpecimen,PT:2014:006:MP,sweep net,Marc Pollet,"Anepsiomyia flaviventris (Meigen, 1824)",2,2 male | 0 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:97796,event,preservedSpecimen,PT:2014:007:MP,sweep net,Marc Pollet,"Anepsiomyia flaviventris (Meigen, 1824)",87,1 male | 86 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:97803,event,preservedSpecimen,PT:2014:005:MP,sweep net,Marc Pollet,"Anepsiomyia flaviventris (Meigen, 1824)",5,0 male | 5 female,Marc Pollet,2017-01-30,MAPC,Wet | 75% alcohol
PT:DOL:95735,event,preservedSpecimen,PT:2011:001:RA,sweep net,Rui Andrade,"Anepsiomyia flaviventris (Meigen, 1824)",2,0 male | 2 female,Marc Pollet,2011-06-18,MAPC,Wet | 75% alcohol
