occurrrenceID;eventDataControle;eventData;waterBody;locality;X;Y;vernacularName;lenght;weight;individualCount;dataSet;samplingProtocol;Mesohabitat;habitat
INBO:AQ:43;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 1;152032,155;184397,392;paling;680;;1;NTMBZeekanaal;schietfuiken;NTMB;houtige begroeiing
INBO:AQ:44;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 2;152073,166;184314,048;paling;315;;1;NTMBZeekanaal;schietfuiken;NTMB;afkalvende oever
INBO:AQ:45;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 2;152073,166;184314,048;paling;413;;1;NTMBZeekanaal;schietfuiken;NTMB;afkalvende oever
INBO:AQ:46;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 2;152073,166;184314,048;paling;505;;1;NTMBZeekanaal;schietfuiken;NTMB;afkalvende oever
INBO:AQ:47;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 2;152073,166;184314,048;paling;530;;1;NTMBZeekanaal;schietfuiken;NTMB;afkalvende oever
INBO:AQ:48;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 2;152073,166;184314,048;paling;532;;1;NTMBZeekanaal;schietfuiken;NTMB;afkalvende oever
INBO:AQ:49;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 2;152073,166;184314,048;paling;595;;1;NTMBZeekanaal;schietfuiken;NTMB;afkalvende oever
INBO:AQ:50;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 2;152073,166;184314,048;paling;695;;1;NTMBZeekanaal;schietfuiken;NTMB;afkalvende oever
INBO:AQ:51;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 2;152073,166;184314,048;paling;752;;1;NTMBZeekanaal;schietfuiken;NTMB;afkalvende oever
INBO:AQ:52;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_A;152539,338;183111,462;paling;602;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:53;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_A;152539,338;183111,462;paling;662;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:54;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_A;152539,338;183111,462;paling;700;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:55;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;paling;408;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:56;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;paling;524;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:57;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;paling;585;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:58;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;paling;629;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:59;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;paling;641;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:60;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;paling;648;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:61;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4a;152143,521;183945,43;paling;128;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:62;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4a;152143,521;183945,43;paling;350;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:63;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4a;152143,521;183945,43;paling;546;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:64;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4a;152143,521;183945,43;paling;562;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:65;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4a;152143,521;183945,43;paling;650;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:66;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;143396,457;199875,659;paling;325;;1;NTMBZeekanaal;schietfuiken;VVO;betonnen kopbalk
INBO:AQ:67;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;143396,457;199875,659;paling;340;;1;NTMBZeekanaal;schietfuiken;VVO;betonnen kopbalk
INBO:AQ:68;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;143396,457;199875,659;paling;404;;1;NTMBZeekanaal;schietfuiken;VVO;betonnen kopbalk
INBO:AQ:69;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;143396,457;199875,659;paling;465;;1;NTMBZeekanaal;schietfuiken;VVO;betonnen kopbalk
INBO:AQ:70;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;143396,457;199875,659;paling;530;;1;NTMBZeekanaal;schietfuiken;VVO;betonnen kopbalk
INBO:AQ:71;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;143396,457;199875,659;paling;585;;1;NTMBZeekanaal;schietfuiken;VVO;betonnen kopbalk
INBO:AQ:72;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;362;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:73;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;375;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:74;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;412;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:75;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;435;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:76;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;490;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:77;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;532;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:78;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;565;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:79;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;566;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:80;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;567;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:81;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;632;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:82;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;662;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:83;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;668;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:84;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;702;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:85;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;814;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:86;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 2;145327,264;200389,792;paling;336;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:87;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 2;145327,264;200389,792;paling;384;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:88;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 2;145327,264;200389,792;paling;395;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:89;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 2;145327,264;200389,792;paling;489;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:90;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 2;145327,264;200389,792;paling;508;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:91;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 2;145327,264;200389,792;paling;634;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:92;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 2;145327,264;200389,792;paling;710;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:93;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;384;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:94;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;408;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:95;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;454;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:96;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;475;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:97;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;482;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:98;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;497;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:99;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;498;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:100;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;503;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:101;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;510;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:102;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;520;;2;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:103;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;521;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:104;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;531;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:105;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;534;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:106;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;555;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:107;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;562;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:108;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;572;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:109;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;585;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:110;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;586;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:111;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;592;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:112;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;602;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:113;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;606;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:114;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;641;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:115;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;652;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:116;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;730;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:117;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;742;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:118;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;750;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:119;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;145328,14;200090,246;paling;395;;1;NTMBZeekanaal;schietfuiken;NTMB;riet
INBO:AQ:120;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;145328,14;200090,246;paling;478;;1;NTMBZeekanaal;schietfuiken;NTMB;riet
INBO:AQ:121;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;145328,14;200090,246;paling;512;;1;NTMBZeekanaal;schietfuiken;NTMB;riet
INBO:AQ:122;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;145328,14;200090,246;paling;542;;1;NTMBZeekanaal;schietfuiken;NTMB;riet
INBO:AQ:123;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;145328,14;200090,246;paling;549;;1;NTMBZeekanaal;schietfuiken;NTMB;riet
INBO:AQ:124;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;145328,14;200090,246;paling;561;;1;NTMBZeekanaal;schietfuiken;NTMB;riet
INBO:AQ:125;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;145328,14;200090,246;paling;595;;1;NTMBZeekanaal;schietfuiken;NTMB;riet
INBO:AQ:126;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;145328,14;200090,246;paling;607;;1;NTMBZeekanaal;schietfuiken;NTMB;riet
INBO:AQ:127;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;145328,14;200090,246;paling;686;;1;NTMBZeekanaal;schietfuiken;NTMB;riet
INBO:AQ:128;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;LO Lot;142638,982;161424,946;paling;513;;1;NTMBZeekanaal;schietfuiken;NTMB;riet
INBO:AQ:129;24/06/2014;24/06/2014;Kanaal Leuven-Dijle;LO stroomopwaarts Bieststraat;163228,966;185098,805;paling;400;;1;NTMBZeekanaal;elektrische bevissing;VVO;schanskorven
INBO:AQ:130;24/06/2014;24/06/2014;Kanaal Leuven-Dijle;LO stroomafwaarts Bieststraat;162275;186062,066;paling;643;;1;NTMBZeekanaal;elektrische bevissing;NTMB;moerasvegetaties
INBO:AQ:131;24/06/2014;24/06/2014;Kanaal Leuven-Dijle;LO stroomafwaarts Bieststraat;162275;186062,066;paling;696;;1;NTMBZeekanaal;elektrische bevissing;NTMB;moerasvegetaties
INBO:AQ:132;22/07/2014;22/07/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 2;152073,166;184314,048;kolblei;85;;1;NTMBZeekanaal;elektrische bevissing;NTMB;afkalvende oever
INBO:AQ:133;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;LO Lot;142638,982;161424,946;kolblei;48;;1;NTMBZeekanaal;elektrische bevissing;NTMB;riet
INBO:AQ:134;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;LO Lot;142638,982;161424,946;kolblei;51;;1;NTMBZeekanaal;elektrische bevissing;NTMB;riet
INBO:AQ:135;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;LO Lot;142638,982;161424,946;kolblei;52;;1;NTMBZeekanaal;elektrische bevissing;NTMB;riet
INBO:AQ:136;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;LO Lot;142638,982;161424,946;kolblei;55;;1;NTMBZeekanaal;elektrische bevissing;NTMB;riet
INBO:AQ:137;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;LO Lot;142638,982;161424,946;kolblei;57;;2;NTMBZeekanaal;elektrische bevissing;NTMB;riet
INBO:AQ:138;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam;143396,457;199875,659;kolblei;83;;1;NTMBZeekanaal;schietfuiken;VVO;betonnen kopbalk
INBO:AQ:139;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;kolblei;120;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
INBO:AQ:140;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 2;145327,264;200389,792;kolblei;66;;1;NTMBZeekanaal;schietfuiken;NTMB;moerasvegetaties
