occurrrenceID;eventDataControle;eventData;waterBody;locality;X;Y;vernacularName;lenght;weight;individualCount;dataSet;samplingProtocol;Mesohabitat;habitat
INBO:AQ:1;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 2;152073,166;184314,048;brasem;222;;1;NTMBZeekanaal;schietfuiken;NTMB;afkalvende oever
INBO:AQ:2;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 2;152073,166;184314,048;brasem;236;;1;NTMBZeekanaal;schietfuiken;NTMB;afkalvende oever
INBO:AQ:3;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;brasem;83;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:4;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;brasem;84;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:5;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;brasem;85;;2;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:6;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;brasem;87;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:7;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;brasem;89;;2;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:8;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4b_B;152257,821;183714,713;brasem;100;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:9;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;LO Grimbergen zone 4a;152143,521;183945,43;brasem;90;;1;NTMBZeekanaal;schietfuiken;NTMB;breuksteen
INBO:AQ:10;22/07/2014;22/07/2014;Kanaal Brussel-Schelde;LO Grimbergen 4a;151933,97;184364,531;alver;24;;1;NTMBZeekanaal;elektrische bevissing;NTMB;houtige begroeiing
INBO:AQ:11;22/07/2014;22/07/2014;Kanaal Brussel-Schelde;LO Grimbergen 4a;151933,97;184364,531;alver;33;;1;NTMBZeekanaal;elektrische bevissing;NTMB;houtige begroeiing
INBO:AQ:12;23/07/2014;23/07/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;alver;60;;1;NTMBZeekanaal;elektrische bevissing;NTMB;moerasvegetaties
INBO:AQ:13;23/06/2014;23/06/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;150;;9;NTMBZeekanaal;elektrische bevissing;VVO;schanskorven
INBO:AQ:14;24/06/2014;24/06/2014;Kanaal Brussel-Schelde;RO Wintam zone 2;145327,264;200389,792;paling;80;;1;NTMBZeekanaal;elektrische bevissing;NTMB;moerasvegetaties
INBO:AQ:15;24/06/2014;24/06/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;200;;1;NTMBZeekanaal;elektrische bevissing;NTMB;moerasvegetaties
INBO:AQ:16;22/07/2014;22/07/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;100;;4;NTMBZeekanaal;elektrische bevissing;VVO;schanskorven
INBO:AQ:17;22/07/2014;22/07/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;120;;1;NTMBZeekanaal;elektrische bevissing;VVO;schanskorven
INBO:AQ:18;22/07/2014;22/07/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;150;;1;NTMBZeekanaal;elektrische bevissing;VVO;schanskorven
INBO:AQ:19;22/07/2014;22/07/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;200;;1;NTMBZeekanaal;elektrische bevissing;VVO;schanskorven
INBO:AQ:20;22/07/2014;22/07/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;300;;1;NTMBZeekanaal;elektrische bevissing;VVO;schanskorven
INBO:AQ:21;22/07/2014;22/07/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;600;;1;NTMBZeekanaal;elektrische bevissing;VVO;schanskorven
INBO:AQ:22;22/07/2014;22/07/2014;Kanaal Brussel-Schelde;LO Grimbergen 4a;152143,521;183945,43;paling;100;;1;NTMBZeekanaal;elektrische bevissing;NTMB;breuksteen
INBO:AQ:23;23/07/2014;23/07/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;100;;2;NTMBZeekanaal;elektrische bevissing;NTMB;moerasvegetaties
INBO:AQ:24;23/07/2014;23/07/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;450;;1;NTMBZeekanaal;elektrische bevissing;NTMB;moerasvegetaties
INBO:AQ:25;23/07/2014;23/07/2014;Kanaal Brussel-Schelde;RO Wintam;145328,14;200090,246;paling;190;;1;NTMBZeekanaal;elektrische bevissing;NTMB;riet
INBO:AQ:26;1/09/2014;1/09/2014;Kanaal Brussel-Schelde;LO Grimbergen;151843,59;184560,438;paling;580;;1;NTMBZeekanaal;elektrische bevissing;VVO;betonnen kopbalk
INBO:AQ:27;3/09/2014;3/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 1;145583,319;200539,564;paling;237;;1;NTMBZeekanaal;elektrische bevissing;NTMB;breuksteen
INBO:AQ:28;3/09/2014;3/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;74;;1;NTMBZeekanaal;elektrische bevissing;NTMB;breuksteen
INBO:AQ:29;3/09/2014;3/09/2014;Kanaal Brussel-Schelde;RO Wintam zone 3;145322,009;200218,122;paling;118;;1;NTMBZeekanaal;elektrische bevissing;NTMB;breuksteen
INBO:AQ:30;4/09/2014;4/09/2014;Kanaal Brussel-Schelde;LO Lot;142617,889;161353,806;paling;135;;1;NTMBZeekanaal;elektrische bevissing;VVO;schanskorven
INBO:AQ:31;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;464;;1;NTMBZeekanaal;schietfuiken;VVO;schanskorven
INBO:AQ:32;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;477;;1;NTMBZeekanaal;schietfuiken;VVO;schanskorven
INBO:AQ:33;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;520;;1;NTMBZeekanaal;schietfuiken;VVO;schanskorven
INBO:AQ:34;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;540;;1;NTMBZeekanaal;schietfuiken;VVO;schanskorven
INBO:AQ:35;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;550;;1;NTMBZeekanaal;schietfuiken;VVO;schanskorven
INBO:AQ:36;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;614;;1;NTMBZeekanaal;schietfuiken;VVO;schanskorven
INBO:AQ:37;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;662;;1;NTMBZeekanaal;schietfuiken;VVO;schanskorven
INBO:AQ:38;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen;151952,138;184548,152;paling;755;;1;NTMBZeekanaal;schietfuiken;VVO;schanskorven
INBO:AQ:39;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 1;152032,155;184397,392;paling;504;;1;NTMBZeekanaal;schietfuiken;NTMB;houtige begroeiing
INBO:AQ:40;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 1;152032,155;184397,392;paling;640;;1;NTMBZeekanaal;schietfuiken;NTMB;houtige begroeiing
INBO:AQ:41;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 1;152032,155;184397,392;paling;666;;1;NTMBZeekanaal;schietfuiken;NTMB;houtige begroeiing
INBO:AQ:42;2/09/2014;2/09/2014;Kanaal Brussel-Schelde;RO Grimbergen zone 1;152032,155;184397,392;paling;678;;1;NTMBZeekanaal;schietfuiken;NTMB;houtige begroeiing
