occurrrenceID,eventDataControle,eventData,day,month,year,eventDate,waterBody,locality,X,Y,vernacularName,vernacularNameGBIF,verName,scientificName2,scientificName,lifeStage,lenght,weight,individualCount,dataSet,samplingProtocol,Mesohabitat,habitat
INBO:AQ:1,2/09/2014,2/09/2014,02,09,2014,2014-09-02,Kanaal Brussel-Schelde,RO Grimbergen zone 2,152073.166,184314.048,brasem,Brasem,,"Abramis brama (Linnaeus, 1758)","Abramis brama (Linnaeus, 1758)", ,222,,1,NTMBZeekanaal,schietfuiken,NTMB,afkalvende oever
INBO:AQ:2,2/09/2014,2/09/2014,02,09,2014,2014-09-02,Kanaal Brussel-Schelde,RO Grimbergen zone 2,152073.166,184314.048,brasem,Brasem,,"Abramis brama (Linnaeus, 1758)","Abramis brama (Linnaeus, 1758)", ,236,,1,NTMBZeekanaal,schietfuiken,NTMB,afkalvende oever
INBO:AQ:3,2/09/2014,2/09/2014,02,09,2014,2014-09-02,Kanaal Brussel-Schelde,LO Grimbergen zone 4b_B,152257.821,183714.713,brasem,Brasem,,"Abramis brama (Linnaeus, 1758)","Abramis brama (Linnaeus, 1758)", ,83,,1,NTMBZeekanaal,schietfuiken,NTMB,breuksteen
INBO:AQ:4,2/09/2014,2/09/2014,02,09,2014,2014-09-02,Kanaal Brussel-Schelde,LO Grimbergen zone 4b_B,152257.821,183714.713,brasem,Brasem,,"Abramis brama (Linnaeus, 1758)","Abramis brama (Linnaeus, 1758)", ,84,,1,NTMBZeekanaal,schietfuiken,NTMB,breuksteen
INBO:AQ:5,2/09/2014,2/09/2014,02,09,2014,2014-09-02,Kanaal Brussel-Schelde,LO Grimbergen zone 4b_B,152257.821,183714.713,brasem,Brasem,,"Abramis brama (Linnaeus, 1758)","Abramis brama (Linnaeus, 1758)", ,85,,2,NTMBZeekanaal,schietfuiken,NTMB,breuksteen
INBO:AQ:6,2/09/2014,2/09/2014,02,09,2014,2014-09-02,Kanaal Brussel-Schelde,LO Grimbergen zone 4b_B,152257.821,183714.713,brasem,Brasem,,"Abramis brama (Linnaeus, 1758)","Abramis brama (Linnaeus, 1758)", ,87,,1,NTMBZeekanaal,schietfuiken,NTMB,breuksteen
INBO:AQ:7,2/09/2014,2/09/2014,02,09,2014,2014-09-02,Kanaal Brussel-Schelde,LO Grimbergen zone 4b_B,152257.821,183714.713,brasem,Brasem,,"Abramis brama (Linnaeus, 1758)","Abramis brama (Linnaeus, 1758)", ,89,,2,NTMBZeekanaal,schietfuiken,NTMB,breuksteen
INBO:AQ:8,2/09/2014,2/09/2014,02,09,2014,2014-09-02,Kanaal Brussel-Schelde,LO Grimbergen zone 4b_B,152257.821,183714.713,brasem,Brasem,,"Abramis brama (Linnaeus, 1758)","Abramis brama (Linnaeus, 1758)", ,100,,1,NTMBZeekanaal,schietfuiken,NTMB,breuksteen
INBO:AQ:9,2/09/2014,2/09/2014,02,09,2014,2014-09-02,Kanaal Brussel-Schelde,LO Grimbergen zone 4a,152143.521,183945.43,brasem,Brasem,,"Abramis brama (Linnaeus, 1758)","Abramis brama (Linnaeus, 1758)", ,90,,1,NTMBZeekanaal,schietfuiken,NTMB,breuksteen
INBO:AQ:10,22/07/2014,22/07/2014,22,07,2014,2014-07-22,Kanaal Brussel-Schelde,LO Grimbergen 4a,151933.97,184364.531,alver,Alver,,"Alburnus alburnus (Linnaeus, 1758)","Alburnus alburnus (Linnaeus, 1758)", ,24,,1,NTMBZeekanaal,elektrische bevissing,NTMB,houtige begroeiing
INBO:AQ:11,22/07/2014,22/07/2014,22,07,2014,2014-07-22,Kanaal Brussel-Schelde,LO Grimbergen 4a,151933.97,184364.531,alver,Alver,,"Alburnus alburnus (Linnaeus, 1758)","Alburnus alburnus (Linnaeus, 1758)", ,33,,1,NTMBZeekanaal,elektrische bevissing,NTMB,houtige begroeiing
INBO:AQ:12,23/07/2014,23/07/2014,23,07,2014,2014-07-23,Kanaal Brussel-Schelde,RO Wintam zone 3,145322.009,200218.122,alver,Alver,,"Alburnus alburnus (Linnaeus, 1758)","Alburnus alburnus (Linnaeus, 1758)", ,60,,1,NTMBZeekanaal,elektrische bevissing,NTMB,moerasvegetaties
INBO:AQ:13,23/06/2014,23/06/2014,23,06,2014,2014-06-23,Kanaal Brussel-Schelde,RO Grimbergen,151952.138,184548.152,paling,Aal,,"Anguilla anguilla (Linnaeus, 1758)","Epilachna paling Yu, 2001", ,150,,9,NTMBZeekanaal,elektrische bevissing,VVO,schanskorven
INBO:AQ:14,24/06/2014,24/06/2014,24,06,2014,2014-06-24,Kanaal Brussel-Schelde,RO Wintam zone 2,145327.264,200389.792,paling,Aal,,"Anguilla anguilla (Linnaeus, 1758)","Epilachna paling Yu, 2001", ,80,,1,NTMBZeekanaal,elektrische bevissing,NTMB,moerasvegetaties
INBO:AQ:15,24/06/2014,24/06/2014,24,06,2014,2014-06-24,Kanaal Brussel-Schelde,RO Wintam zone 3,145322.009,200218.122,paling,Aal,,"Anguilla anguilla (Linnaeus, 1758)","Epilachna paling Yu, 2001", ,200,,1,NTMBZeekanaal,elektrische bevissing,NTMB,moerasvegetaties
INBO:AQ:16,22/07/2014,22/07/2014,22,07,2014,2014-07-22,Kanaal Brussel-Schelde,RO Grimbergen,151952.138,184548.152,paling,Aal,,"Anguilla anguilla (Linnaeus, 1758)","Epilachna paling Yu, 2001", ,100,,4,NTMBZeekanaal,elektrische bevissing,VVO,schanskorven
INBO:AQ:17,22/07/2014,22/07/2014,22,07,2014,2014-07-22,Kanaal Brussel-Schelde,RO Grimbergen,151952.138,184548.152,paling,Aal,,"Anguilla anguilla (Linnaeus, 1758)","Epilachna paling Yu, 2001", ,120,,1,NTMBZeekanaal,elektrische bevissing,VVO,schanskorven
